Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2015,19.0,UTA,NBA,PG,82.0,41.0,1817.0,4.2,12.2,0.349,2.4,7.7,0.314,1.8,4.4,0.408,0.6,0.9,0.625,0.8,3.0,3.8,5.8,1.2,0.4,3.4,4.3,11.5,,90.0,109.0
2017,21.0,UTA,NBA,PG,66.0,26.0,1228.0,6.6,15.5,0.427,1.9,6.4,0.295,4.7,9.1,0.519,2.5,3.1,0.795,1.3,4.4,5.6,4.7,0.9,0.5,3.4,6.2,17.6,,100.0,109.0
2018,22.0,UTA,NBA,PG,14.0,0.0,235.0,9.0,18.6,0.483,1.1,3.8,0.278,7.9,14.7,0.536,5.3,6.6,0.806,0.9,4.7,5.5,9.2,1.7,0.6,4.3,4.3,24.3,,110.0,106.0
2019,23.0,UTA,NBA,PG,42.0,1.0,664.0,7.3,17.4,0.419,1.3,4.5,0.29,6.0,12.9,0.464,4.9,6.2,0.791,1.2,3.7,4.9,7.9,1.0,0.4,3.7,5.0,20.8,,104.0,110.0
2020,24.0,TOT,NBA,SG,35.0,1.0,485.0,5.6,11.9,0.471,1.5,4.3,0.349,4.1,7.6,0.539,3.2,4.3,0.744,1.2,5.5,6.7,4.0,1.3,0.8,3.1,3.8,16.0,,106.0,115.0
2020,24.0,UTA,NBA,SG,11.0,0.0,83.0,5.9,13.5,0.435,1.2,3.5,0.333,4.7,10.0,0.471,1.2,1.2,1.0,1.8,5.3,7.0,4.1,0.6,1.2,5.9,4.7,14.1,,83.0,112.0
2020,24.0,CLE,NBA,SG,24.0,1.0,402.0,5.6,11.6,0.479,1.6,4.5,0.351,4.0,7.1,0.559,3.6,5.0,0.732,1.1,5.6,6.7,4.0,1.5,0.7,2.5,3.6,16.3,,112.0,116.0
2021,25.0,CLE,NBA,SG,6.0,3.0,116.0,4.3,11.1,0.385,0.9,4.7,0.182,3.4,6.4,0.533,0.4,0.9,0.5,0.9,6.4,7.2,5.5,1.7,0.9,3.0,3.8,9.8,,86.0,107.0
