Season,Team ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2015,6,CLE,Cleveland Cavaliers,89,Lou Amundson,PF,6-9,220,1982-12-07,US,8,UNLV
2015,6,CLE,Cleveland Cavaliers,5,Will Cherry,PG,6-0,185,1991-02-08,US,R,Montana
2015,6,CLE,Cleveland Cavaliers,8,Matthew Dellavedova,SG,6-3,200,1990-09-08,AU,1,Saint Mary's
2015,6,CLE,Cleveland Cavaliers,12,Joe Harris,SG,6-6,220,1991-09-06,US,R,Virginia
2015,6,CLE,Cleveland Cavaliers,33,Brendan Haywood,C,7-0,268,1979-11-27,US,12,UNC
2015,6,CLE,Cleveland Cavaliers,2,Kyrie Irving,PG,6-2,195,1992-03-23,AU,3,Duke
2015,6,CLE,Cleveland Cavaliers,23,LeBron James,SF,6-9,250,1984-12-30,US,11,
2015,6,CLE,Cleveland Cavaliers,1,James Jones,SF,6-8,218,1980-10-04,US,11,Miami (FL)
2015,6,CLE,Cleveland Cavaliers,53,Alex Kirk,C,7-0,245,1991-11-14,US,R,New Mexico
2015,6,CLE,Cleveland Cavaliers,0,Kevin Love,PF,6-8,251,1988-09-07,US,6,UCLA
2015,6,CLE,Cleveland Cavaliers,31,Shawn Marion,SF,6-7,220,1978-05-07,US,15,UNLV
2015,6,CLE,Cleveland Cavaliers,18,Mike Miller,SF,6-8,218,1980-02-19,US,14,Florida
2015,6,CLE,Cleveland Cavaliers,20,Timofey Mozgov,C,7-1,275,1986-07-16,RU,4,
2015,6,CLE,Cleveland Cavaliers,3,Kendrick Perkins,C,6-10,270,1984-11-10,US,11,
2015,6,CLE,Cleveland Cavaliers,21,A.J. Price,PG,6-2,181,1986-10-07,US,5,UConn
2015,6,CLE,Cleveland Cavaliers,4,Iman Shumpert,SG,6-5,215,1990-06-26,US,3,Georgia Tech
2015,6,CLE,Cleveland Cavaliers,5,J.R. Smith,SG,6-6,225,1985-09-09,US,10,
2015,6,CLE,Cleveland Cavaliers,13,Tristan Thompson,PF,6-9,254,1991-03-13,CA,3,Texas
2015,6,CLE,Cleveland Cavaliers,17,Anderson Varejao,C,6-10,273,1982-09-28,BR,10,
2015,6,CLE,Cleveland Cavaliers,3,Dion Waiters,SG,6-3,215,1991-12-10,US,2,Syracuse
