TEAM,OPP_G,OPP_MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
CLE,82,19780,37.9,88.1,0.43,6.6,19.8,0.33,31.4,68.3,0.46,20.0,25.9,0.77,12.0,31.6,43.6,21.4,7.1,4.6,15.5,22.8,102.4
SAS,82,19905,40.5,89.6,0.45,6.1,16.1,0.38,34.5,73.5,0.47,17.1,22.3,0.77,10.2,35.1,45.2,20.2,7.2,4.8,13.1,20.6,104.3
BOS,82,19880,36.9,85.7,0.43,6.8,19.4,0.35,30.1,66.3,0.45,21.7,28.2,0.77,11.1,30.0,41.2,20.7,7.8,5.2,16.0,24.3,102.3
POR,82,19830,40.5,88.0,0.46,6.8,18.2,0.37,33.7,69.9,0.48,20.0,24.9,0.8,11.0,30.6,41.6,22.2,7.2,4.5,15.1,24.2,107.8
NOH,82,19755,39.4,87.6,0.45,8.0,22.5,0.35,31.5,65.1,0.48,20.1,26.0,0.77,11.4,34.0,45.4,22.8,6.6,4.0,15.1,23.2,107.0
ORL,82,19730,38.7,89.4,0.43,5.8,17.1,0.34,32.8,72.3,0.45,18.7,24.8,0.76,11.4,34.1,45.5,19.6,7.4,4.1,14.1,24.2,101.9
HOU,82,19805,40.2,90.5,0.44,6.2,17.4,0.36,34.0,73.0,0.46,17.4,23.2,0.75,11.7,32.2,44.0,21.8,7.9,5.8,13.6,22.7,104.0
DET,82,19905,40.0,88.7,0.45,6.0,17.1,0.35,33.9,71.6,0.47,22.0,28.3,0.78,12.0,34.1,46.1,23.0,6.4,4.8,13.4,22.4,108.0
CHA,82,19930,39.3,86.6,0.45,7.6,20.8,0.37,31.7,65.8,0.48,19.9,26.3,0.76,12.0,31.5,43.5,21.9,8.5,6.7,16.4,23.4,106.1
ALT,82,19705,40.8,89.8,0.45,7.2,20.3,0.35,33.6,69.5,0.48,18.8,24.5,0.77,13.0,33.7,46.7,23.2,7.2,4.8,15.2,22.8,107.6
PHI,82,19755,40.5,87.6,0.46,7.9,21.5,0.37,32.6,66.1,0.49,18.9,24.2,0.78,12.6,30.9,43.5,24.3,7.8,5.4,17.3,24.1,107.8
MIA,82,19955,39.1,85.8,0.46,7.9,20.3,0.39,31.2,65.5,0.48,21.5,27.9,0.77,12.0,33.9,45.9,22.0,7.1,4.5,16.7,21.8,107.6
LAL,82,19780,39.2,87.8,0.45,7.5,21.9,0.34,31.7,65.9,0.48,18.7,24.8,0.75,12.3,31.4,43.7,23.9,8.2,5.0,16.4,23.4,104.7
MEM,82,19805,40.6,85.7,0.47,7.2,20.3,0.36,33.4,65.4,0.51,21.2,27.5,0.77,11.3,32.7,44.0,23.3,8.5,6.0,16.1,24.0,109.5
DAL,82,19805,40.7,89.5,0.46,6.8,18.3,0.38,33.8,71.2,0.48,20.2,25.3,0.8,11.7,33.2,45.0,21.3,7.8,4.4,14.1,21.8,108.4
MIL,82,19780,37.4,81.7,0.46,7.4,19.5,0.38,30.0,62.2,0.48,25.7,32.5,0.79,10.9,33.1,44.0,22.7,8.1,4.9,17.7,24.1,107.9
NJN,82,19830,39.8,86.0,0.46,8.1,20.7,0.39,31.7,65.3,0.48,23.4,30.7,0.76,11.7,34.0,45.7,24.1,7.6,5.3,14.8,22.6,111.0
DEN,82,19730,38.3,87.0,0.44,7.8,21.2,0.37,30.5,65.7,0.46,22.5,28.8,0.78,12.8,30.9,43.6,22.7,8.4,5.8,16.3,25.1,106.8
UTA,82,19880,39.1,84.4,0.46,6.9,19.2,0.36,32.2,65.2,0.49,22.1,28.9,0.76,11.8,31.0,42.8,21.3,8.5,5.5,17.1,25.6,107.3
TOR,82,19805,41.8,89.9,0.46,8.3,22.6,0.37,33.5,67.3,0.5,18.2,23.2,0.78,11.8,33.4,45.2,24.9,6.9,5.1,14.4,21.7,110.0
CHI,82,19930,40.6,88.8,0.46,6.3,18.1,0.35,34.4,70.7,0.49,21.1,26.9,0.79,13.2,32.2,45.4,22.3,8.0,5.8,15.2,22.1,108.7
MIN,82,19805,41.1,86.8,0.47,7.1,18.8,0.38,34.0,68.0,0.5,22.1,28.4,0.78,10.8,33.6,44.4,23.4,8.1,6.4,13.6,21.7,111.4
OKC,82,19805,41.8,88.0,0.48,6.8,18.6,0.36,35.0,69.4,0.5,19.0,25.0,0.76,11.4,32.3,43.8,22.9,9.0,5.3,14.8,21.4,109.4
WAS,82,19705,42.4,87.9,0.48,9.0,23.3,0.39,33.3,64.6,0.52,19.9,26.2,0.76,12.5,33.3,45.8,27.0,7.9,5.8,15.3,21.9,113.6
LAC,82,19880,42.2,89.2,0.47,7.0,18.8,0.38,35.2,70.5,0.5,20.3,26.7,0.76,12.6,34.8,47.4,25.6,8.5,5.4,14.3,21.1,111.7
IND,82,19830,39.4,86.1,0.46,7.1,19.1,0.38,32.3,67.0,0.48,23.3,30.5,0.76,11.4,34.0,45.4,21.7,8.0,5.6,14.4,21.2,109.2
PHO,82,19755,41.5,88.9,0.47,7.9,20.7,0.38,33.6,68.2,0.49,20.7,26.7,0.78,12.6,29.8,42.3,22.0,8.9,4.7,14.7,23.8,111.6
NYK,82,19805,42.3,88.2,0.48,7.2,20.4,0.35,35.2,67.9,0.52,19.0,25.0,0.76,12.0,35.4,47.4,22.2,8.2,5.5,14.9,20.0,110.8
SAC,82,19905,42.0,86.9,0.48,7.4,18.3,0.41,34.6,68.6,0.5,23.3,30.9,0.76,13.0,33.2,46.2,23.0,9.0,5.4,15.1,22.2,114.7
GSW,82,19880,41.8,89.4,0.47,7.2,18.8,0.38,34.7,70.6,0.49,22.5,28.8,0.78,14.3,33.1,47.5,24.3,8.0,5.1,15.1,23.7,113.3
