TEAM,OPP_G,OPP_MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
MEM,82,19855,37.7,86.5,0.44,5.7,17.1,0.33,32.0,69.3,0.46,20.5,27.2,0.75,13.0,33.7,46.7,22.5,8.4,6.4,17.0,26.2,101.6
SAS,82,19805,38.1,87.9,0.43,4.1,12.1,0.34,34.0,75.8,0.45,19.4,26.2,0.74,12.1,33.1,45.2,18.3,8.2,4.7,15.6,23.4,99.6
DET,82,19830,40.7,90.0,0.45,4.6,14.1,0.32,36.1,75.9,0.48,17.2,23.4,0.74,13.3,33.5,46.7,21.5,6.7,4.0,16.0,24.1,103.1
HOU,82,19830,37.2,86.8,0.43,7.4,20.1,0.37,29.8,66.6,0.45,21.4,29.4,0.73,12.0,34.1,46.1,22.6,8.0,5.1,15.0,23.6,103.3
IND,82,19730,38.4,88.2,0.44,5.0,14.7,0.34,33.4,73.5,0.45,20.5,27.9,0.73,13.1,32.8,45.9,20.6,9.0,5.4,15.1,24.4,102.4
NJN,82,19780,36.9,84.0,0.44,6.3,18.0,0.35,30.6,66.0,0.46,22.3,30.1,0.74,10.6,35.1,45.7,22.2,8.0,4.4,15.9,25.5,102.4
DAL,82,19880,38.5,86.9,0.44,5.6,15.4,0.36,33.0,71.5,0.46,22.4,29.8,0.75,12.9,30.4,43.2,19.7,7.4,5.5,15.8,26.9,105.0
MIN,82,19855,38.8,88.2,0.44,6.1,16.7,0.36,32.7,71.4,0.46,20.8,28.2,0.74,13.3,32.8,46.1,21.2,7.3,5.1,15.5,23.6,104.5
UTA,82,19880,37.5,83.5,0.45,6.7,17.8,0.38,30.8,65.7,0.47,25.3,33.9,0.75,12.0,30.7,42.7,20.8,9.1,6.4,16.0,28.9,107.0
CLE,82,19830,39.7,87.3,0.46,6.2,17.4,0.36,33.6,69.9,0.48,19.7,26.5,0.74,10.9,32.6,43.5,22.5,7.3,4.8,14.5,24.8,105.4
LAC,82,19805,38.1,87.7,0.44,6.3,18.1,0.35,31.9,69.6,0.46,21.0,28.7,0.73,11.3,32.1,43.5,23.3,7.5,4.7,13.9,23.5,103.6
NOK,82,19805,39.3,85.6,0.46,7.4,20.2,0.37,31.8,65.4,0.49,20.8,27.4,0.76,11.7,34.0,45.7,21.6,7.2,5.9,16.3,26.0,106.8
ORL,82,19905,39.2,86.4,0.45,6.3,17.6,0.36,32.9,68.8,0.48,22.8,31.2,0.73,12.4,30.6,43.0,22.4,8.4,5.3,15.0,25.9,107.5
MIA,82,19755,38.1,86.6,0.44,6.5,18.0,0.36,31.6,68.6,0.46,21.8,29.5,0.74,11.0,31.3,42.3,21.2,7.4,4.0,14.1,25.7,104.5
LAL,82,19855,39.2,87.1,0.45,6.3,17.8,0.35,32.9,69.2,0.48,21.1,28.2,0.75,11.9,31.9,43.8,23.0,7.1,4.7,15.4,25.6,105.7
CHI,82,19905,36.0,84.5,0.43,6.5,18.5,0.35,29.5,66.0,0.45,24.9,32.1,0.78,11.4,33.0,44.4,21.4,7.9,5.4,15.9,24.4,103.4
SAC,82,19830,40.2,88.5,0.45,6.1,17.3,0.35,34.1,71.2,0.48,18.6,24.9,0.75,12.5,32.9,45.5,22.8,8.6,5.3,15.8,24.8,105.0
POR,82,19730,42.1,89.8,0.47,6.9,18.1,0.38,35.2,71.7,0.49,20.8,27.4,0.76,14.3,33.9,48.2,24.1,8.2,5.6,14.7,23.7,111.9
MIL,82,19855,39.4,84.6,0.47,6.5,18.4,0.35,32.9,66.2,0.5,22.1,29.6,0.75,11.0,32.8,43.8,24.5,8.0,5.5,15.7,25.7,107.4
BOS,82,19880,38.6,84.6,0.46,5.8,16.6,0.35,32.7,68.1,0.48,23.9,32.2,0.74,11.9,31.0,42.9,23.1,9.0,5.3,15.8,24.1,106.9
WAS,82,19830,39.5,85.0,0.46,6.6,18.1,0.36,33.0,66.9,0.49,21.7,29.1,0.74,12.6,32.5,45.1,23.2,7.0,4.5,17.4,27.2,107.3
GSW,82,19830,39.5,86.6,0.46,6.1,17.3,0.35,33.4,69.3,0.48,21.1,28.4,0.74,12.8,34.5,47.3,23.7,7.5,5.3,16.3,24.9,106.2
DEN,82,19930,39.4,86.7,0.45,6.8,19.0,0.36,32.6,67.7,0.48,19.7,26.8,0.74,12.4,31.7,44.0,25.1,7.5,5.6,17.0,24.5,105.2
CHA,82,19905,39.6,82.7,0.48,5.9,16.6,0.36,33.6,66.1,0.51,21.7,29.5,0.74,12.1,34.4,46.5,24.3,7.4,5.7,18.9,24.9,106.7
PHI,82,19905,40.3,87.1,0.46,6.5,18.5,0.35,33.9,68.7,0.49,20.9,27.5,0.76,12.7,33.0,45.6,24.5,8.2,5.0,16.5,24.7,108.1
ALT,82,19880,41.1,85.9,0.48,5.9,16.1,0.37,35.1,69.8,0.5,23.6,31.7,0.74,13.1,31.2,44.3,22.5,8.0,5.6,16.4,24.8,111.6
NYK,82,19930,39.4,84.4,0.47,7.5,19.8,0.38,31.9,64.5,0.49,24.8,32.9,0.75,11.7,30.2,42.0,23.1,8.9,5.8,15.3,27.6,111.0
PHO,82,19955,40.7,89.6,0.45,6.5,17.9,0.36,34.2,71.8,0.48,17.9,24.5,0.73,12.9,34.3,47.2,19.4,7.4,3.5,15.3,20.4,105.8
TOR,82,19955,41.8,85.2,0.49,6.7,18.0,0.37,35.1,67.2,0.52,22.4,29.9,0.75,11.0,33.5,44.6,25.6,6.8,4.7,15.4,24.2,112.7
SEA,82,19830,42.3,87.1,0.48,7.2,19.1,0.38,35.1,68.0,0.52,22.6,29.8,0.76,13.2,30.6,43.8,26.1,7.9,5.3,15.8,24.0,114.4
