TEAM,OPP_G,OPP_MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
NYK,82,19805,39.2,82.0,0.48,0.8,3.4,0.25,38.4,78.7,0.49,25.8,33.7,0.77,14.3,31.8,46.1,24.7,8.6,5.5,20.0,24.8,105.2
SEA,82,19930,40.8,83.7,0.49,0.7,2.8,0.25,40.1,81.0,0.5,23.6,30.8,0.77,12.7,28.5,41.2,25.2,8.1,5.0,18.1,24.8,106.0
BOS,82,19855,41.1,89.3,0.46,1.0,3.6,0.27,40.2,85.7,0.47,19.3,25.8,0.75,13.0,27.7,40.7,23.0,8.7,4.1,15.0,23.5,102.6
WAB,82,19855,41.9,89.8,0.47,0.9,3.2,0.27,41.0,86.6,0.47,20.1,26.6,0.76,15.2,31.6,46.9,24.6,8.7,5.5,16.8,23.3,104.8
MIL,82,19805,39.0,83.6,0.47,1.2,3.9,0.3,37.8,79.7,0.48,23.5,31.7,0.74,13.9,27.6,41.5,23.2,7.5,4.7,19.4,25.4,102.7
ALT,82,19805,40.7,85.7,0.48,1.1,3.4,0.31,39.7,82.3,0.48,23.1,30.4,0.76,14.6,28.2,42.8,23.6,8.4,4.5,18.1,25.8,105.6
IND,82,19755,40.6,85.8,0.47,0.9,3.3,0.26,39.7,82.5,0.48,23.8,31.0,0.77,12.6,29.9,42.5,24.8,9.0,5.4,15.8,23.0,105.9
PHI,82,19905,43.4,87.9,0.49,1.0,3.4,0.29,42.4,84.5,0.5,18.5,24.5,0.76,14.3,26.7,41.0,27.1,9.6,5.6,18.2,26.2,106.3
UTA,82,19780,40.8,86.2,0.47,0.8,2.9,0.26,40.0,83.3,0.48,22.3,29.2,0.76,14.2,29.5,43.7,23.2,8.8,5.5,18.0,26.1,104.6
LAL,82,19830,42.1,87.8,0.48,0.6,2.9,0.21,41.5,84.9,0.49,20.9,27.9,0.75,13.0,26.2,39.2,26.3,9.3,4.2,15.7,23.5,105.8
CLE,82,19780,41.0,86.4,0.48,1.0,3.5,0.29,40.0,82.9,0.48,25.3,32.9,0.77,13.5,29.8,43.3,25.3,8.5,4.3,15.9,23.2,108.3
NJN,82,19805,41.1,83.6,0.49,1.1,3.7,0.3,40.0,79.8,0.5,23.6,30.8,0.77,12.2,27.8,39.9,23.7,9.2,4.6,17.9,23.5,106.9
HOU,82,19755,42.7,86.9,0.49,1.0,3.1,0.32,41.7,83.7,0.5,21.2,28.2,0.75,14.0,28.0,42.0,25.8,8.0,4.5,17.2,23.2,107.6
SAC,82,19780,42.4,86.0,0.49,0.9,3.3,0.26,41.6,82.6,0.5,23.5,31.0,0.76,13.6,27.8,41.4,25.2,8.9,5.7,16.8,24.8,109.2
DET,82,19780,42.2,85.8,0.49,0.8,3.0,0.28,41.3,82.8,0.5,22.8,30.1,0.76,13.7,29.6,43.3,24.3,7.7,5.8,17.4,23.0,107.9
PHO,82,19805,41.3,84.5,0.49,1.0,3.2,0.32,40.2,81.3,0.5,23.6,31.1,0.76,13.1,26.2,39.3,24.9,9.7,5.4,17.5,25.6,107.2
SAS,82,19805,42.4,86.0,0.49,1.1,3.8,0.3,41.2,82.2,0.5,22.4,29.1,0.77,13.5,26.9,40.4,26.5,9.3,5.3,17.7,24.6,108.2
CHI,82,19855,43.6,86.5,0.5,0.8,2.8,0.3,42.8,83.7,0.51,24.3,31.8,0.76,13.4,28.6,42.0,26.3,8.0,6.0,15.7,24.3,112.4
DEN,82,19755,41.4,84.3,0.49,0.7,3.0,0.23,40.7,81.3,0.5,22.4,30.7,0.73,14.7,31.1,45.8,24.0,7.3,5.5,19.8,24.1,105.9
POR,82,19855,42.1,83.9,0.5,1.0,2.9,0.34,41.1,81.0,0.51,23.0,30.5,0.76,13.6,27.3,41.0,26.1,8.8,4.9,19.0,26.2,108.2
DAL,82,19805,45.8,91.2,0.5,1.1,3.7,0.29,44.8,87.5,0.51,18.3,24.3,0.75,14.5,29.3,43.7,28.2,7.3,5.0,15.2,26.0,111.0
LAC,82,19755,45.5,89.8,0.51,0.9,3.1,0.28,44.7,86.7,0.52,20.2,27.0,0.75,15.0,29.1,44.1,29.2,9.0,5.4,16.5,25.0,112.1
GSW,82,19780,45.0,86.5,0.52,0.8,2.7,0.28,44.2,83.9,0.53,20.9,28.0,0.75,13.6,29.3,43.0,27.1,8.1,5.1,17.3,24.1,111.6
