SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1992,24,PHO,Jeff Hornacek,28,8,8,343,62,128,0.48,8,17,0.47,54,111,0.49,0.52,31,34,0.91,12,39,51,42,14,2,19,23,163
1992,24,PHO,Kevin Johnson,25,8,8,335,62,128,0.48,3,6,0.5,59,122,0.48,0.5,62,72,0.86,8,25,33,93,12,2,25,24,189
1992,24,PHO,Dan Majerle,26,7,0,266,48,111,0.43,9,33,0.27,39,78,0.5,0.47,25,26,0.96,13,31,44,20,10,0,9,11,130
1992,24,PHO,Tom Chambers,32,7,0,194,39,85,0.46,4,7,0.57,35,78,0.45,0.48,27,32,0.84,8,23,31,19,2,5,15,25,109
1992,24,PHO,Andrew Lang,25,8,8,192,15,40,0.38,0,0,,15,40,0.38,0.38,15,19,0.79,15,17,32,2,3,15,8,33,45
1992,24,PHO,Cedric Ceballos,22,8,8,188,44,80,0.55,0,0,,44,80,0.55,0.55,20,30,0.67,20,31,51,12,6,6,11,14,108
1992,24,PHO,Tim Perry,26,8,8,185,38,63,0.6,0,0,,38,63,0.6,0.6,23,32,0.72,12,27,39,11,3,6,14,24,99
1992,24,PHO,Steve Burtt,29,8,0,104,16,38,0.42,0,2,0.0,16,36,0.44,0.42,18,21,0.86,3,9,12,14,5,0,8,18,50
1992,24,PHO,Mark West,31,8,0,96,14,19,0.74,0,0,,14,19,0.74,0.74,4,8,0.5,8,9,17,2,2,4,2,21,32
1992,24,PHO,Ed Nealy,31,8,0,67,7,18,0.39,5,13,0.38,2,5,0.4,0.53,4,4,1.0,4,14,18,4,3,0,0,12,23
