SEASON,TEAM ID,TEAM,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
1997,9,DET,2,Stacey Augmon,SG,6-8,205,1968-08-01,US,5,UNLV
1997,9,DET,3,Randolph Childress,PG,6-2,188,1972-09-21,US,1,Wake Forest
1997,9,DET,12,Michael Curry,SG,6-5,210,1968-08-22,US,2,Georgia Southern University
1997,9,DET,4,Joe Dumars,SG,6-3,190,1963-05-24,US,11,McNeese State University
1997,9,DET,9,Litterial Green,PG,6-1,185,1970-03-07,US,2,Georgia
1997,9,DET,33,Grant Hill,SF,6-8,225,1972-10-05,US,2,Duke
1997,9,DET,1,Lindsey Hunter,PG,6-2,170,1970-12-03,US,3,"Alcorn State, Jackson State University"
1997,9,DET,43,Grant Long,PF,6-8,225,1966-03-12,US,8,Eastern Michigan
1997,9,DET,44,Rick Mahorn,C,6-10,240,1958-09-21,US,15,Hampton
1997,9,DET,23,Aaron McKie,SG,6-5,209,1972-10-02,US,2,Temple
1997,9,DET,6,Terry Mills,PF,6-10,230,1967-12-21,US,6,Michigan
1997,9,DET,42,Theo Ratliff,C,6-10,225,1973-04-17,US,1,Wyoming
1997,9,DET,52,Don Reid,PF,6-8,250,1973-12-30,US,1,Georgetown
1997,9,DET,30,Kenny Smith,PG,6-3,170,1965-03-08,US,9,UNC
1997,9,DET,50,Otis Thorpe,C,6-9,225,1962-08-05,US,12,Providence
1997,9,DET,13,Jerome Williams,PF,6-9,206,1973-05-10,US,R,Georgetown
