Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1989,13,1828,LAC,Los Angeles Clippers,22.0,NBA,PF,26.0,18.0,950.0,6.7,13.6,0.49,0.0,0.2,0.2,6.7,13.4,0.5,3.0,3.9,0.77,2.7,3.8,6.5,3.1,1.7,0.9,3.5,3.4,16.4
1990,13,1828,LAC,Los Angeles Clippers,23.0,NBA,PF,71.0,42.0,2269.0,7.0,13.1,0.53,0.0,0.1,0.0,7.0,13.0,0.54,4.3,5.9,0.74,2.3,4.4,6.7,3.0,1.4,0.6,3.0,4.1,18.3
1991,13,1828,LAC,Los Angeles Clippers,24.0,NBA,PF,73.0,47.0,2197.0,7.7,14.8,0.52,0.0,0.0,0.0,7.7,14.8,0.52,3.6,5.0,0.72,2.8,4.2,7.0,3.2,1.9,1.0,3.1,4.6,19.0
1992,13,1828,LAC,Los Angeles Clippers,25.0,NBA,PF,82.0,82.0,2904.0,8.1,14.9,0.54,0.0,0.1,0.0,8.1,14.8,0.54,3.5,4.8,0.72,2.8,4.2,7.0,3.5,1.7,1.5,2.6,3.6,19.6
1993,13,1828,LAC,Los Angeles Clippers,26.0,NBA,PF,79.0,77.0,2761.0,9.2,18.0,0.51,0.1,0.4,0.27,9.0,17.6,0.51,5.1,6.3,0.8,2.6,4.2,6.8,2.7,1.4,1.3,3.0,4.2,23.5
1994,31,1828,TOT,Total After Trade,27.0,NBA,PF,68.0,66.0,2520.0,8.4,17.2,0.49,0.0,0.2,0.18,8.3,16.9,0.49,3.3,4.9,0.67,1.9,4.8,6.6,3.7,1.4,1.2,3.3,3.7,20.0
1994,13,1828,LAC,Los Angeles Clippers,27.0,NBA,PF,42.0,41.0,1595.0,9.2,18.7,0.49,0.0,0.3,0.14,9.2,18.4,0.5,3.9,5.8,0.67,1.9,4.8,6.7,4.0,1.2,1.3,3.3,3.8,22.4
1994,1,1828,ATL,Atlanta Hawks,27.0,NBA,PF,26.0,25.0,925.0,6.9,14.5,0.48,0.0,0.1,0.33,6.8,14.4,0.48,2.1,3.2,0.65,1.9,4.7,6.6,3.3,1.8,1.0,3.3,3.6,15.9
1995,24,1828,PHO,Phoenix Suns,28.0,NBA,PF,46.0,19.0,1510.0,8.1,14.8,0.55,0.1,0.5,0.29,8.0,14.3,0.56,3.2,4.8,0.67,2.3,4.3,6.6,3.7,1.0,1.4,2.9,4.2,19.6
1996,24,1828,PHO,Phoenix Suns,29.0,NBA,PF,33.0,4.0,816.0,7.9,17.1,0.46,0.1,0.6,0.21,7.7,16.5,0.47,3.6,4.8,0.75,1.3,5.0,6.3,2.9,1.7,1.1,3.4,5.3,19.5
1997,24,1828,PHO,Phoenix Suns,30.0,NBA,PF,77.0,17.0,2134.0,7.2,13.4,0.54,0.1,0.6,0.19,7.1,12.8,0.55,3.1,4.2,0.72,2.3,5.6,7.9,2.9,1.4,1.2,2.7,4.5,17.5
1998,24,1828,PHO,Phoenix Suns,31.0,NBA,PF,70.0,11.0,1794.0,7.8,15.2,0.52,0.0,0.1,0.0,7.8,15.0,0.52,3.4,4.5,0.74,2.2,5.7,7.9,2.8,1.4,0.9,2.0,4.0,19.0
1999,24,1828,PHO,Phoenix Suns,32.0,NBA,PF,50.0,5.0,1184.0,5.7,11.7,0.48,0.0,0.3,0.11,5.7,11.5,0.49,2.4,3.4,0.7,1.9,4.8,6.7,3.4,1.1,1.2,2.1,3.9,13.8
2001,29,1828,UTA,Utah Jazz,34.0,NBA,PF,82.0,0.0,1305.0,6.8,13.8,0.49,0.2,0.8,0.25,6.6,13.0,0.51,2.8,3.9,0.73,1.8,4.1,5.9,2.5,1.3,0.8,2.6,6.0,16.6
2002,7,1828,DAL,Dallas Mavericks,35.0,NBA,PF,41.0,10.0,552.0,4.6,9.7,0.48,0.1,0.5,0.14,4.6,9.3,0.49,1.4,2.2,0.67,1.6,5.4,7.0,2.0,1.4,1.4,1.6,5.2,10.8
2003,9,1828,DET,Detroit Pistons,36.0,NBA,PF,13.0,0.0,89.0,5.3,12.9,0.41,1.2,3.2,0.38,4.0,9.7,0.42,2.0,2.4,0.83,2.8,4.4,7.3,2.8,3.6,1.2,2.8,4.4,13.8
