PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Paul George,25,7,7,275,11.0,24.2,0.455,3.5,8.4,0.419,7.5,15.7,0.475,12.0,12.6,0.953,1.8,8.6,10.4,5.9,2.8,1.0,4.5,4.7,37.5,,121,101
George Hill,29,7,7,235,7.4,13.1,0.561,3.0,6.2,0.48100000000000004,4.4,6.9,0.633,4.1,5.1,0.818,1.4,3.0,4.4,3.4,1.4,0.2,1.8,3.7,21.8,,135,109
Monta Ellis,30,7,7,225,7.9,18.3,0.434,1.7,5.0,0.33299999999999996,6.2,13.2,0.473,1.9,2.4,0.8,1.0,5.5,6.5,7.2,3.6,0.0,4.1,4.1,19.5,,98,102
Solomon Hill,24,7,0,198,3.8,8.5,0.452,3.0,5.2,0.579,0.8,3.3,0.25,4.1,4.4,0.938,1.4,6.3,7.6,2.2,0.5,0.0,0.8,5.5,14.7,,143,108
Myles Turner,19,7,4,197,9.1,19.5,0.465,0.0,0.5,0.0,9.1,18.9,0.478,1.6,2.5,0.667,4.4,8.0,12.3,0.8,0.5,6.3,3.3,6.6,19.7,,93,102
Ian Mahinmi,29,7,7,172,6.6,13.2,0.5,0.0,0.0,,6.6,13.2,0.5,4.7,7.9,0.6,3.8,7.5,11.3,2.5,1.6,1.9,4.4,7.9,17.9,,97,103
Rodney Stuckey,29,7,0,125,7.3,18.6,0.395,2.2,4.3,0.5,5.2,14.3,0.364,2.2,3.9,0.556,0.4,6.1,6.5,6.1,1.7,0.4,2.6,3.9,19.0,,97,106
C.J. Miles,28,7,0,92,5.9,22.3,0.263,1.2,11.7,0.1,4.7,10.6,0.444,1.2,1.8,0.667,2.3,11.7,14.1,2.3,0.6,0.6,1.8,4.1,14.1,,71,103
Ty Lawson,28,7,0,74,4.4,13.1,0.33299999999999996,0.0,2.2,0.0,4.4,11.0,0.4,2.9,4.4,0.667,0.7,4.4,5.1,7.3,2.2,0.0,4.4,5.8,11.7,,80,106
Lavoy Allen,26,6,3,51,3.2,10.6,0.3,0.0,0.0,,3.2,10.6,0.3,0.0,0.0,,4.2,10.6,14.8,2.1,1.1,1.1,1.1,2.1,6.4,,85,102
Jordan Hill,28,5,0,15,0.0,10.8,0.0,0.0,0.0,,0.0,10.8,0.0,0.0,0.0,,7.2,14.4,21.6,7.2,0.0,0.0,0.0,3.6,0.0,,72,102
Glenn Robinson,22,4,0,10,16.2,21.6,0.75,0.0,0.0,,16.2,21.6,0.75,5.4,5.4,1.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,37.8,,155,111
Joe Young,23,4,0,10,16.2,43.2,0.375,5.4,21.6,0.25,10.8,21.6,0.5,10.8,10.8,1.0,0.0,5.4,5.4,5.4,0.0,0.0,10.8,16.2,48.6,,87,110
