Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
2005,28,TOR,Toronto Raptors,Chris Bosh,20,81,81,3017,8.1,17.3,0.47,0.1,0.2,0.3,8.1,17.1,0.47,7.1,9.3,0.76,3.3,9.0,12.3,2.6,1.3,1.9,3.2,3.9,23.4,,107,107
2005,28,TOR,Toronto Raptors,Rafer Alston,28,80,78,2717,7.7,18.6,0.41,2.6,7.4,0.36,5.0,11.2,0.45,3.6,4.9,0.74,0.8,4.5,5.3,9.8,2.2,0.1,3.2,4.0,21.7,,108,109
2005,28,TOR,Toronto Raptors,Jalen Rose,32,81,65,2710,10.1,22.1,0.46,2.1,5.2,0.39,8.0,16.9,0.47,6.4,7.5,0.85,0.8,4.4,5.3,4.0,1.2,0.2,3.4,3.6,28.6,,107,112
2005,28,TOR,Toronto Raptors,Morris Peterson,27,82,61,2510,7.3,17.5,0.42,2.7,6.9,0.38,4.7,10.6,0.44,3.9,4.7,0.83,1.5,5.6,7.0,3.5,1.9,0.4,1.9,4.5,21.2,,110,109
2005,28,TOR,Toronto Raptors,Donyell Marshall,31,65,2,1645,8.2,18.6,0.44,4.8,11.4,0.42,3.5,7.2,0.48,2.3,2.9,0.79,3.0,10.5,13.5,2.6,1.8,1.4,1.3,4.3,23.5,,120,105
2005,28,TOR,Toronto Raptors,Matt Bonner,24,82,0,1553,8.2,15.4,0.53,1.3,3.1,0.42,6.9,12.4,0.56,1.9,2.4,0.79,3.6,5.9,9.5,1.6,1.3,0.6,1.3,7.3,19.6,,120,110
2005,28,TOR,Toronto Raptors,Milt Palacio,26,80,4,1533,5.9,13.2,0.45,0.1,0.4,0.17,5.8,12.8,0.46,3.9,5.2,0.74,0.9,3.6,4.5,9.4,1.6,0.4,3.5,4.3,15.8,,104,111
2005,28,TOR,Toronto Raptors,Lamond Murray,31,62,1,918,7.4,17.5,0.43,2.6,5.9,0.44,4.9,11.6,0.42,3.4,4.5,0.76,2.5,6.8,9.3,2.7,1.8,0.9,3.0,4.8,20.9,,103,108
2005,28,TOR,Toronto Raptors,Rafael Araujo,24,59,41,736,5.3,12.3,0.43,0.1,0.2,0.33,5.3,12.1,0.44,3.0,3.9,0.78,4.2,8.9,13.0,1.1,1.5,0.6,3.7,11.0,13.8,,92,107
2005,28,TOR,Toronto Raptors,Loren Woods,26,45,30,712,5.2,11.9,0.43,0.0,0.1,0.0,5.2,11.9,0.44,2.5,4.3,0.58,5.9,10.1,16.0,1.2,0.6,2.8,2.7,5.7,12.8,,98,106
2005,28,TOR,Toronto Raptors,Vince Carter,28,20,20,608,10.6,25.7,0.41,1.6,5.0,0.32,8.9,20.7,0.43,4.3,6.1,0.69,2.4,3.2,5.6,5.2,2.1,1.3,1.9,4.8,27.0,,102,109
2005,28,TOR,Toronto Raptors,Eric Williams,32,34,18,583,4.9,12.9,0.38,1.0,2.9,0.33,3.9,9.9,0.39,3.4,4.7,0.72,1.4,5.4,6.8,4.4,2.0,0.2,2.3,6.0,14.1,,98,109
2005,28,TOR,Toronto Raptors,Pape Sow,23,27,4,255,4.7,11.8,0.4,0.0,0.0,,4.7,11.8,0.4,3.2,5.5,0.59,3.7,7.9,11.6,0.4,2.4,0.8,2.0,9.3,12.6,,92,106
2005,28,TOR,Toronto Raptors,Aaron Williams,33,23,4,165,4.7,11.3,0.42,0.0,0.0,,4.7,11.3,0.42,1.9,2.2,0.86,3.1,6.0,9.1,0.6,0.3,0.9,1.9,14.1,11.3,,94,111
2005,28,TOR,Toronto Raptors,Omar Cook,23,5,0,74,7.0,16.8,0.42,0.0,2.8,0.0,7.0,14.0,0.5,2.1,4.2,0.5,1.4,3.5,4.9,15.4,4.2,0.7,4.2,4.2,16.1,,99,105
2005,28,TOR,Toronto Raptors,JerA´me MoA¯so,26,8,1,69,2.3,6.8,0.33,0.0,0.8,0.0,2.3,6.0,0.38,6.0,6.8,0.89,4.5,12.8,17.3,0.0,1.5,2.3,4.5,5.3,10.5,,91,103
