Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
2005,15,MEM,Memphis Grizzlies,Shane Battier,26,80,72,2516,5.8,13.2,0.44,1.5,3.8,0.4,4.3,9.4,0.46,3.9,4.9,0.79,3.4,5.5,8.9,2.7,2.0,1.7,1.6,4.3,17.1,,117,103
2005,15,MEM,Memphis Grizzlies,Lorenzen Wright,29,80,77,2287,7.6,16.2,0.47,0.0,0.1,0.0,7.6,16.1,0.47,3.1,4.7,0.66,4.2,10.3,14.5,2.1,1.4,1.6,2.4,6.0,18.3,,103,101
2005,15,MEM,Memphis Grizzlies,Mike Miller,24,76,51,2278,9.2,18.2,0.5,3.3,7.7,0.43,5.9,10.6,0.56,2.6,3.6,0.72,0.9,6.3,7.1,5.2,1.3,0.5,3.0,4.7,24.3,,114,105
2005,15,MEM,Memphis Grizzlies,Jason Williams,29,71,68,1952,7.4,17.9,0.41,3.0,9.2,0.32,4.4,8.7,0.51,2.2,2.8,0.79,0.5,2.9,3.4,11.1,2.1,0.1,3.6,2.5,20.0,,107,107
2005,15,MEM,Memphis Grizzlies,Earl Watson,25,80,14,1808,7.1,16.6,0.43,1.6,4.9,0.32,5.5,11.7,0.47,2.7,4.1,0.66,1.1,3.9,4.9,10.8,2.5,0.6,5.0,5.5,18.5,,98,104
2005,15,MEM,Memphis Grizzlies,Pau Gasol,24,56,53,1790,10.8,21.1,0.51,0.0,0.2,0.17,10.8,20.9,0.52,8.5,11.1,0.77,3.9,8.5,12.4,4.1,1.1,2.8,4.2,4.4,30.2,,112,102
2005,15,MEM,Memphis Grizzlies,Bonzi Wells,28,69,19,1489,9.9,22.5,0.44,1.3,3.8,0.35,8.6,18.7,0.46,5.1,6.9,0.75,1.8,6.6,8.3,2.9,3.1,1.0,3.3,6.0,26.3,,100,101
2005,15,MEM,Memphis Grizzlies,Brian Cardinal,27,58,16,1433,6.1,16.4,0.37,1.7,4.7,0.35,4.4,11.6,0.38,6.0,6.9,0.87,2.4,6.1,8.5,4.3,3.3,0.7,3.1,6.5,19.8,,104,101
2005,15,MEM,Memphis Grizzlies,James Posey,28,50,18,1382,5.0,14.0,0.36,2.2,7.0,0.31,2.8,7.0,0.4,3.8,4.4,0.86,1.8,6.8,8.6,3.5,1.9,0.9,2.7,5.3,15.9,,100,103
2005,15,MEM,Memphis Grizzlies,Stromile Swift,25,60,14,1279,9.3,20.7,0.45,0.0,0.2,0.0,9.3,20.5,0.45,7.0,9.3,0.76,3.9,7.7,11.6,1.8,1.7,3.9,3.8,7.7,25.6,,101,100
2005,15,MEM,Memphis Grizzlies,Dahntay Jones,24,52,7,649,6.9,15.9,0.44,1.9,5.0,0.38,5.0,10.9,0.46,3.7,5.4,0.69,0.9,4.8,5.8,1.8,1.1,0.9,2.4,6.8,19.5,,101,106
2005,15,MEM,Memphis Grizzlies,Ryan Humphrey,25,35,0,317,7.2,17.6,0.41,0.0,0.3,0.0,7.2,17.3,0.42,3.1,6.3,0.49,8.6,6.3,14.9,1.0,1.7,0.2,3.9,6.0,17.5,,91,105
2005,15,MEM,Memphis Grizzlies,Jake Tsakalidis,25,31,1,278,6.2,12.5,0.5,0.0,0.0,,6.2,12.5,0.5,2.7,3.5,0.78,4.1,6.8,10.9,2.0,0.6,3.1,2.3,8.2,15.2,,108,104
2005,15,MEM,Memphis Grizzlies,Antonio Burks,24,24,0,219,6.9,14.9,0.47,0.7,2.7,0.27,6.2,12.1,0.51,3.5,4.7,0.74,0.2,2.7,3.0,6.9,3.2,0.2,3.0,6.2,18.1,,106,104
2005,15,MEM,Memphis Grizzlies,Andre Emmett,22,8,0,28,3.9,11.6,0.33,0.0,0.0,,3.9,11.6,0.33,5.8,9.7,0.6,0.0,3.9,3.9,0.0,0.0,0.0,1.9,7.8,13.6,,82,110
