Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2009,25,195,POR,Portland Trail Blazers,20.0,NBA,PG,53.0,655.0,8.2,0.49,0.14,0.55,1.5,9.4,5.4,18.2,1.4,0.2,19.3,20.9,,-0.2,0.5,0.3,0.02,,-4.3,-0.7,-5.0,-0.5
2010,25,195,POR,Portland Trail Blazers,21.0,NBA,SG,74.0,1304.0,14.3,0.53,0.19,0.5,1.7,9.8,5.7,22.1,1.1,0.3,13.8,24.9,,1.7,1.0,2.7,0.1,,-0.7,-1.0,-1.7,0.1
2011,31,195,TOT,Total After Trade,22.0,NBA,PG,71.0,1496.0,14.1,0.54,0.28,0.4,2.0,11.3,6.6,27.6,1.3,0.3,17.3,22.1,,1.4,0.3,1.6,0.05,,0.1,-1.9,-1.8,0.1
2011,19,195,NOH,New Orleans Hornets,22.0,NBA,PG,11.0,149.0,7.2,0.44,0.29,0.35,1.6,10.7,6.1,29.9,0.7,0.6,23.1,23.5,,-0.3,0.1,-0.2,-0.05,,-4.8,-2.5,-7.3,-0.2
2011,28,195,TOR,Toronto Raptors,22.0,NBA,PG,60.0,1347.0,14.9,0.55,0.28,0.4,2.1,11.4,6.6,27.4,1.4,0.2,16.6,22.0,,1.7,0.1,1.8,0.06,,0.6,-1.8,-1.2,0.3
2012,28,195,TOR,Toronto Raptors,23.0,NBA,PG,31.0,705.0,17.7,0.56,0.38,0.32,1.3,9.5,5.5,30.7,1.8,0.5,14.4,24.6,,1.5,0.6,2.0,0.14,,2.4,-0.7,1.7,0.6
2013,15,195,MEM,Memphis Grizzlies,24.0,NBA,PG,80.0,1765.0,13.5,0.51,0.32,0.2,1.4,10.5,5.9,24.9,1.8,0.8,15.1,20.8,,1.5,2.5,4.0,0.11,,-0.6,0.7,0.1,1.0
2014,31,195,TOT,Total After Trade,25.0,NBA,PG,72.0,1686.0,12.0,0.5,0.34,0.19,1.5,8.6,5.0,18.5,1.9,0.4,10.9,20.1,,1.1,1.3,2.4,0.07,,-1.6,-0.2,-1.8,0.1
2014,15,195,MEM,Memphis Grizzlies,25.0,NBA,PG,31.0,650.0,11.3,0.47,0.35,0.24,1.5,9.3,5.4,15.6,1.6,0.6,7.7,20.3,,0.4,0.6,1.0,0.08,,-2.3,0.2,-2.1,0.0
2014,2,195,BOS,Boston Celtics,25.0,NBA,PG,41.0,1036.0,12.5,0.51,0.34,0.16,1.5,8.1,4.7,20.4,2.0,0.3,12.9,19.9,,0.7,0.7,1.4,0.06,,-1.2,-0.4,-1.7,0.1
2015,17,195,MIL,Milwaukee Bucks,26.0,NBA,PG,77.0,1717.0,11.1,0.52,0.23,0.27,1.5,12.5,7.0,21.0,1.8,0.6,18.8,18.6,,0.3,2.0,2.4,0.07,,-2.5,0.4,-2.1,0.0
2016,17,195,MIL,Milwaukee Bucks,27.0,NBA,SG,52.0,1505.0,12.4,0.57,0.53,0.21,1.6,9.0,5.4,16.2,1.6,0.6,13.3,16.4,,1.8,0.6,2.4,0.08,,0.2,-1.0,-0.8,0.4
2017,23,195,PHI,Philadelphia 76Ers,28.0,NBA,PG,3.0,71.0,8.7,0.45,0.16,0.31,4.6,14.0,9.3,29.4,0.0,0.0,19.8,27.7,,-0.1,0.0,-0.1,-0.07,,-2.1,-2.4,-4.4,0.0
2018,23,195,PHI,Philadelphia 76Ers,29.0,NBA,SG,39.0,925.0,7.5,0.55,0.56,0.17,1.8,7.3,4.7,8.0,1.2,0.5,14.1,15.1,,0.2,0.9,1.1,0.06,,-2.7,-0.2,-2.8,-0.2
2019,18,195,MIN,Minnesota Timberwolves,30.0,NBA,PG,34.0,657.0,8.5,0.43,0.43,0.12,1.8,8.4,5.0,24.6,1.3,0.3,11.7,17.6,,-0.2,0.2,0.0,-0.0,,-2.9,-1.7,-4.6,-0.4
