PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Scottie Pippen,27,19,19,789,6.9,14.9,0.465,0.1,0.8,0.17600000000000002,6.8,14.1,0.48100000000000004,3.4,5.3,0.638,1.7,4.3,6.0,4.9,1.9,0.6,3.2,2.8,17.4
Michael Jordan,29,19,19,783,11.5,24.3,0.475,1.3,3.3,0.389,10.3,21.0,0.489,6.3,7.8,0.805,1.5,4.4,5.9,5.2,1.8,0.8,2.1,2.7,30.6
Horace Grant,27,19,19,651,4.6,8.4,0.546,0.0,0.0,,4.6,8.4,0.546,2.0,3.0,0.685,3.4,5.3,8.6,2.4,1.3,1.3,0.9,3.3,11.2
B.J. Armstrong,25,19,19,643,4.9,9.4,0.524,1.2,2.3,0.512,3.8,7.1,0.528,1.1,1.2,0.909,0.3,1.2,1.6,3.5,1.1,0.1,0.8,2.7,12.1
Bill Cartwright,35,19,19,444,3.7,8.0,0.465,0.0,0.0,,3.7,8.0,0.465,2.3,2.9,0.778,2.3,4.6,6.9,2.4,0.9,0.2,1.1,4.1,9.7
Scott Williams,24,19,0,395,4.0,7.9,0.506,0.0,0.2,0.0,4.0,7.7,0.518,1.5,2.6,0.552,3.6,6.5,10.1,2.4,0.6,1.5,2.2,5.3,9.5
John Paxson,32,19,0,331,3.8,6.5,0.583,1.6,2.6,0.625,2.2,3.9,0.556,0.9,1.2,0.727,0.5,1.5,2.1,3.5,0.7,0.1,0.4,3.3,10.1
Stacey King,26,19,0,229,4.1,10.4,0.39399999999999996,0.0,0.0,,4.1,10.4,0.39399999999999996,3.9,4.9,0.8059999999999999,3.1,3.1,6.3,2.2,1.4,0.6,2.2,6.0,12.1
Trent Tucker,33,19,0,208,3.3,8.0,0.413,2.1,4.5,0.462,1.2,3.5,0.35,0.5,1.0,0.5,0.7,2.3,2.9,3.3,1.2,0.0,1.2,2.6,9.2
Will Perdue,27,13,0,101,3.6,7.1,0.5,0.0,0.0,,3.6,7.1,0.5,1.8,3.6,0.5,5.3,5.3,10.7,1.8,0.4,0.7,2.9,6.4,8.9
Rodney McCray,31,7,0,39,0.9,5.5,0.16699999999999998,0.0,0.0,,0.9,5.5,0.16699999999999998,0.0,0.0,,1.8,10.2,12.0,4.6,0.0,0.9,3.7,3.7,1.8
Darrell Walker,31,9,0,22,1.6,6.5,0.25,0.0,0.0,,1.6,6.5,0.25,3.3,4.9,0.667,0.0,1.6,1.6,8.2,0.0,0.0,1.6,0.0,6.5
