PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Hakeem Olajuwon,30,12,12,518,8.5,16.5,0.517,0.0,0.1,0.0,8.5,16.5,0.519,4.3,5.2,0.8270000000000001,3.6,8.1,11.7,4.0,1.5,4.1,3.1,2.6,21.4
Otis Thorpe,30,12,12,419,6.3,9.9,0.635,0.0,0.0,,6.3,9.9,0.635,2.4,3.7,0.6509999999999999,3.1,5.8,8.8,2.7,0.5,0.1,1.5,3.0,14.9
Kenny Smith,27,12,12,391,5.8,11.8,0.49200000000000005,2.1,4.2,0.5,3.7,7.5,0.488,2.6,3.3,0.778,0.2,2.0,2.2,4.6,0.8,0.1,2.4,1.7,16.3
Robert Horry,22,12,12,374,4.5,9.7,0.465,0.9,2.9,0.3,3.7,6.8,0.535,1.9,2.6,0.741,1.3,4.6,6.0,3.7,1.7,1.5,2.7,2.9,11.8
Vernon Maxwell,27,9,7,308,5.5,13.7,0.402,1.3,5.4,0.239,4.2,8.3,0.507,2.5,2.8,0.875,0.4,2.2,2.6,3.7,1.3,0.2,2.0,2.0,14.7
Winston Garland,28,12,5,246,4.4,10.8,0.405,0.0,0.1,0.0,4.4,10.7,0.41100000000000003,2.5,2.5,1.0,0.9,4.0,4.8,4.5,2.3,0.0,3.2,4.0,11.3
Scott Brooks,27,12,0,197,2.9,7.7,0.381,0.9,2.4,0.385,2.0,5.3,0.379,1.8,2.4,0.769,0.2,1.6,1.8,5.7,1.6,0.0,2.4,3.8,8.6
Carl Herrera,26,12,0,195,4.1,10.5,0.386,0.0,0.4,0.0,4.1,10.2,0.4,2.2,3.7,0.6,3.0,5.4,8.3,1.3,0.6,0.4,2.0,6.6,10.3
Matt Bullard,25,12,0,169,4.3,8.9,0.47600000000000003,3.2,6.0,0.536,1.1,3.0,0.35700000000000004,1.3,1.3,1.0,0.9,4.0,4.9,2.8,0.9,1.1,1.9,2.3,13.0
Sleepy Floyd,32,7,0,60,3.6,11.4,0.316,0.6,1.8,0.33299999999999996,3.0,9.6,0.313,4.2,6.0,0.7,0.6,1.8,2.4,4.8,1.2,0.0,5.4,1.2,12.0
Tree Rollins,37,6,0,16,0.0,6.8,0.0,0.0,2.3,0.0,0.0,4.5,0.0,0.0,0.0,,2.3,6.8,9.0,0.0,4.5,0.0,0.0,4.5,0.0
Terry Teagle,32,5,0,12,6.0,15.0,0.4,0.0,0.0,,6.0,15.0,0.4,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,12.0
