Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2009,18,1779,MIN,Minnesota Timberwolves,20.0,NBA,C,81.0,37.0,2048.0,8.1,17.6,0.46,0.1,0.5,0.1,8.0,17.1,0.47,6.8,8.6,0.79,7.0,11.8,18.8,2.1,0.9,1.3,3.0,5.2,23.0,,112.0,109.0
2010,18,1779,MIN,Minnesota Timberwolves,21.0,NBA,PF,60.0,22.0,1714.0,8.5,18.8,0.45,1.0,3.1,0.33,7.5,15.7,0.47,6.6,8.0,0.82,6.6,12.6,19.2,4.0,1.3,0.7,3.4,4.0,24.5,,113.0,109.0
2011,18,1779,MIN,Minnesota Timberwolves,22.0,NBA,PF,73.0,73.0,2611.0,9.2,19.6,0.47,1.7,4.0,0.42,7.5,15.5,0.48,8.1,9.5,0.85,6.3,14.9,21.2,3.5,0.9,0.5,3.0,2.8,28.1,,123.0,108.0
2012,18,1779,MIN,Minnesota Timberwolves,23.0,NBA,PF,55.0,55.0,2145.0,11.4,25.4,0.45,2.5,6.8,0.37,8.8,18.6,0.48,9.1,11.0,0.82,5.4,12.2,17.6,2.7,1.1,0.7,3.1,3.6,34.3,,117.0,104.0
2013,18,1779,MIN,Minnesota Timberwolves,24.0,NBA,PF,18.0,18.0,618.0,8.8,24.9,0.35,1.7,7.7,0.22,7.1,17.2,0.41,8.4,11.9,0.7,5.4,15.7,21.1,3.5,1.1,0.8,3.3,2.8,27.6,,99.0,102.0
2014,18,1779,MIN,Minnesota Timberwolves,25.0,NBA,PF,77.0,77.0,2797.0,11.5,25.1,0.46,3.4,8.9,0.38,8.1,16.2,0.5,9.2,11.2,0.82,3.9,13.0,17.0,6.0,1.0,0.6,3.5,2.4,35.4,,120.0,104.0
2015,6,1779,CLE,Cleveland Cavaliers,26.0,NBA,PF,75.0,75.0,2532.0,8.5,19.5,0.43,3.0,8.0,0.37,5.5,11.5,0.48,5.3,6.6,0.8,2.9,12.1,15.0,3.4,1.0,0.8,2.5,2.9,25.2,,115.0,105.0
2016,6,1779,CLE,Cleveland Cavaliers,27.0,NBA,PF,77.0,77.0,2424.0,8.7,20.7,0.42,3.4,9.3,0.36,5.3,11.4,0.47,5.5,6.7,0.82,3.2,13.0,16.2,3.9,1.2,0.9,3.0,3.4,26.2,,112.0,102.0
2017,6,1779,CLE,Cleveland Cavaliers,28.0,NBA,PF,60.0,60.0,1885.0,9.8,23.0,0.43,3.8,10.3,0.37,6.0,12.7,0.47,6.8,7.8,0.87,3.9,13.7,17.6,3.1,1.4,0.6,3.2,3.3,30.2,,114.0,107.0
2018,6,1779,CLE,Cleveland Cavaliers,29.0,NBA,C,59.0,59.0,1651.0,9.9,21.6,0.46,4.1,9.8,0.42,5.8,11.8,0.49,6.9,7.9,0.88,3.0,13.2,16.2,3.1,1.3,0.7,2.7,3.6,30.8,,120.0,109.0
2019,6,1779,CLE,Cleveland Cavaliers,30.0,NBA,PF,22.0,21.0,598.0,9.1,23.5,0.38,4.4,12.2,0.36,4.7,11.3,0.41,8.6,9.5,0.9,2.7,17.1,19.9,4.0,0.5,0.4,3.5,4.5,31.1,,112.0,114.0
2020,6,1779,CLE,Cleveland Cavaliers,31.0,NBA,PF,56.0,56.0,1780.0,8.9,19.9,0.45,4.0,10.7,0.37,4.9,9.2,0.54,5.1,6.0,0.85,1.5,13.5,15.0,4.9,0.9,0.5,3.8,2.5,27.0,,112.0,113.0
2021,6,1779,CLE,Cleveland Cavaliers,32.0,NBA,PF,2.0,2.0,46.0,6.5,19.4,0.33,3.2,9.7,0.33,3.2,9.7,0.33,4.3,5.4,0.8,2.2,10.8,12.9,5.4,1.1,0.0,3.2,1.1,20.4,,98.0,111.0
