PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Chandler Parsons,25,74,74,2783,8.3,17.7,0.47200000000000003,2.3,6.3,0.37,6.0,11.4,0.528,2.9,4.0,0.742,1.2,6.1,7.3,5.3,1.6,0.5,2.6,3.0,22.0,,114,108
James Harden,24,73,73,2777,9.9,21.6,0.456,3.2,8.7,0.366,6.7,13.0,0.515,10.3,11.9,0.866,1.1,5.1,6.2,8.0,2.1,0.5,4.8,3.2,33.2,,120,107
Dwight Howard,28,71,71,2396,9.8,16.6,0.591,0.0,0.1,0.28600000000000003,9.8,16.5,0.594,7.3,13.3,0.547,4.8,13.2,18.0,2.7,1.2,2.7,4.8,5.0,27.0,,109,101
Terrence Jones,22,76,71,2078,9.3,17.1,0.542,0.7,2.4,0.307,8.5,14.7,0.581,2.8,4.7,0.605,3.9,8.8,12.7,2.1,1.3,2.4,1.7,3.3,22.1,,119,105
Jeremy Lin,25,71,33,2054,7.2,16.1,0.446,2.0,5.6,0.358,5.2,10.5,0.49200000000000005,5.3,6.4,0.823,0.8,3.7,4.5,7.1,1.6,0.7,4.3,4.0,21.6,,109,109
Patrick Beverley,25,56,55,1751,5.7,13.7,0.414,2.6,7.3,0.361,3.0,6.4,0.473,2.4,2.9,0.8140000000000001,2.0,3.5,5.6,4.3,2.2,0.7,1.9,5.0,16.3,,115,108
Omri Casspi,25,71,2,1283,6.7,15.9,0.42200000000000004,2.4,6.8,0.34700000000000003,4.4,9.1,0.479,3.2,4.7,0.68,2.1,8.0,10.1,3.4,1.7,0.5,2.8,3.9,19.0,,105,106
Francisco García,32,55,4,1083,5.4,13.5,0.401,3.2,8.9,0.358,2.3,4.6,0.485,0.5,0.9,0.526,1.0,4.6,5.6,2.9,1.2,1.5,1.4,5.5,14.5,,108,108
James Harden,27,48,19,968,5.2,9.8,0.532,0.0,0.0,,5.2,9.8,0.532,4.0,6.5,0.619,5.2,14.3,19.5,1.3,0.7,1.9,3.0,4.7,14.4,,109,103
Donatas Motiejūnas,23,62,3,952,6.9,15.5,0.44299999999999995,1.1,4.4,0.25,5.8,11.1,0.519,3.0,5.0,0.604,3.1,8.6,11.8,1.8,1.0,1.1,2.6,6.9,17.9,,101,106
Aaron Brooks,29,43,0,716,7.2,18.3,0.395,3.8,9.2,0.409,3.5,9.1,0.382,2.6,3.1,0.841,1.6,2.7,4.3,5.8,1.7,0.4,3.6,5.3,20.8,,106,110
Jordan Hamilton,23,21,1,349,6.9,17.4,0.39299999999999996,3.6,9.9,0.36200000000000004,3.3,7.6,0.434,2.4,2.9,0.85,1.3,7.4,8.7,2.6,1.9,1.0,2.7,5.1,19.7,,103,106
Isaiah Canaan,22,22,0,252,6.1,17.2,0.35600000000000004,3.6,10.9,0.327,2.6,6.3,0.406,4.2,5.7,0.7240000000000001,1.4,3.4,4.7,4.4,1.6,0.8,4.2,4.9,20.0,,97,109
Ronnie Brewer,28,23,3,158,0.9,4.7,0.2,0.3,2.5,0.125,0.6,2.2,0.28600000000000003,0.0,0.6,0.0,0.6,3.8,4.4,3.2,1.9,0.3,0.6,1.3,2.2,,77,109
Greg Smith,23,11,0,100,9.0,14.0,0.643,0.0,0.0,,9.0,14.0,0.643,1.0,2.5,0.4,5.5,8.0,13.5,0.0,0.5,1.0,2.5,8.5,18.9,,116,108
Troy Daniels,22,5,1,75,10.0,20.6,0.484,8.0,16.6,0.48,2.0,4.0,0.5,0.0,0.0,,0.0,2.7,2.7,3.3,0.0,0.0,2.0,4.0,27.9,,126,114
Robert Covington,23,7,0,34,8.8,20.5,0.429,5.9,16.1,0.364,2.9,4.4,0.667,0.0,0.0,,2.9,4.4,7.3,0.0,2.9,0.0,1.5,4.4,23.5,,112,106
Josh Powell,31,1,0,19,5.2,15.7,0.33299999999999996,0.0,0.0,,5.2,15.7,0.33299999999999996,0.0,0.0,,0.0,13.1,13.1,0.0,0.0,2.6,2.6,2.6,10.5,,60,104
