Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1998,5,CHI,Charlotte Bobcats,Michael Jordan,34.0,82,82.0,3181,881,1893,0.46,30,126,0.24,851,1767,0.48,0.47,565,721,0.78,130,345,475,283,141,45,185,151,2357
1998,5,CHI,Charlotte Bobcats,Dennis Rodman,36.0,80,66.0,2856,155,360,0.43,4,23,0.17,151,337,0.45,0.44,61,111,0.55,421,780,1201,230,47,18,147,238,375
1998,5,CHI,Charlotte Bobcats,Ron Harper,34.0,82,82.0,2284,293,665,0.44,16,84,0.19,277,581,0.48,0.45,162,216,0.75,107,183,290,241,108,48,91,181,764
1998,5,CHI,Charlotte Bobcats,Toni Kukoc,29.0,74,52.0,2235,383,841,0.46,63,174,0.36,320,667,0.48,0.49,155,219,0.71,121,206,327,314,76,37,154,149,984
1998,5,CHI,Charlotte Bobcats,Luc Longley,29.0,58,58.0,1703,277,609,0.46,0,0,,277,609,0.46,0.46,109,148,0.74,113,228,341,161,34,62,130,206,663
1998,5,CHI,Charlotte Bobcats,Scottie Pippen,32.0,44,44.0,1652,315,704,0.45,61,192,0.32,254,512,0.5,0.49,150,193,0.78,53,174,227,254,79,43,109,116,841
1998,5,CHI,Charlotte Bobcats,Randy Brown,29.0,71,6.0,1147,116,302,0.38,0,5,0.0,116,297,0.39,0.38,56,78,0.72,34,60,94,151,71,12,63,118,288
1998,5,CHI,Charlotte Bobcats,Steve Kerr,32.0,50,0.0,1119,137,302,0.45,57,130,0.44,80,172,0.46,0.55,45,49,0.92,14,63,77,96,26,5,27,71,376
1998,5,CHI,Charlotte Bobcats,Scott Burrell,27.0,80,3.0,1096,159,375,0.42,51,144,0.35,108,231,0.47,0.49,47,64,0.73,80,118,198,65,64,37,50,131,416
1998,5,CHI,Charlotte Bobcats,Jason Caffey,24.0,51,8.0,710,100,199,0.5,0,1,0.0,100,198,0.5,0.5,68,103,0.66,76,97,173,36,13,17,48,92,268
1998,5,CHI,Charlotte Bobcats,Jud Buechler,29.0,74,0.0,608,85,176,0.48,25,65,0.38,60,111,0.54,0.55,3,6,0.5,24,53,77,49,22,15,21,47,198
1998,5,CHI,Charlotte Bobcats,Bill Wennington,34.0,48,8.0,467,75,172,0.44,0,0,,75,172,0.44,0.44,17,21,0.81,32,48,80,19,4,5,16,77,167
1998,5,CHI,Charlotte Bobcats,Joe Kleine,36.0,46,1.0,397,39,106,0.37,0,0,,39,106,0.37,0.37,15,18,0.83,27,50,77,30,4,5,28,63,93
1998,5,CHI,Charlotte Bobcats,Dickey Simpkins,25.0,21,0.0,237,26,41,0.63,0,1,0.0,26,40,0.65,0.63,26,44,0.59,8,23,31,17,4,3,13,35,78
1998,5,CHI,Charlotte Bobcats,Rusty LaRue,24.0,14,0.0,140,20,49,0.41,4,16,0.25,16,33,0.48,0.45,5,8,0.62,1,7,8,5,3,1,6,12,49
1998,5,CHI,Charlotte Bobcats,Keith Booth,23.0,6,0.0,17,2,6,0.33,0,1,0.0,2,5,0.4,0.33,6,6,1.0,2,2,4,1,0,0,3,3,10
1998,5,CHI,Charlotte Bobcats,David Vaughn,24.0,3,0.0,6,1,1,1.0,0,0,,1,1,1.0,1.0,2,4,0.5,0,1,1,0,0,0,0,1,4
1998,5,CHI,Charlotte Bobcats,Team Totals,,82,,19855,3064,6801,0.45,311,962,0.32,2753,5839,0.47,0.47,1492,2009,0.74,1243,2438,3681,1952,696,353,1178,1691,7931
