Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008,21,806,SEA,Seattle Supersonics,19.0,NBA,SG,80.0,80.0,2768.0,7.6,17.8,0.43,0.8,2.7,0.29,6.9,15.1,0.46,5.1,5.8,0.87,0.9,3.6,4.5,2.5,1.0,1.0,3.0,1.6,21.1
2009,21,806,OKC,Oklahoma City Thunder,20.0,NBA,SF,74.0,74.0,2885.0,8.2,17.3,0.48,1.2,2.9,0.42,7.0,14.5,0.49,5.6,6.5,0.86,1.0,5.1,6.0,2.6,1.2,0.7,2.8,1.7,23.3
2010,21,806,OKC,Oklahoma City Thunder,21.0,NBA,SF,82.0,82.0,3239.0,8.8,18.5,0.48,1.4,3.9,0.36,7.4,14.6,0.51,8.4,9.3,0.9,1.2,5.8,6.9,2.6,1.2,0.9,3.0,1.9,27.5
2011,21,806,OKC,Oklahoma City Thunder,22.0,NBA,SF,78.0,78.0,3038.0,8.4,18.2,0.46,1.7,4.9,0.35,6.7,13.3,0.5,7.0,8.0,0.88,0.7,5.6,6.3,2.5,1.0,0.9,2.6,1.9,25.6
2012,21,806,OKC,Oklahoma City Thunder,23.0,NBA,SF,66.0,66.0,2546.0,9.1,18.3,0.5,1.9,4.9,0.39,7.2,13.5,0.54,6.1,7.1,0.86,0.6,6.9,7.5,3.3,1.2,1.1,3.5,1.9,26.2
2013,21,806,OKC,Oklahoma City Thunder,24.0,NBA,SF,81.0,81.0,3119.0,8.4,16.5,0.51,1.6,3.9,0.42,6.8,12.7,0.54,7.8,8.7,0.9,0.5,6.9,7.4,4.3,1.3,1.2,3.2,1.7,26.3
2014,21,806,OKC,Oklahoma City Thunder,25.0,NBA,SF,81.0,81.0,3122.0,9.8,19.5,0.5,2.2,5.7,0.39,7.6,13.8,0.55,8.1,9.3,0.87,0.7,6.2,6.9,5.1,1.2,0.7,3.3,2.0,29.9
2015,21,806,OKC,Oklahoma City Thunder,26.0,NBA,SF,27.0,27.0,913.0,9.4,18.4,0.51,2.5,6.3,0.4,6.9,12.1,0.56,5.8,6.7,0.85,0.6,6.4,7.0,4.3,0.9,1.0,2.9,1.6,27.0
2016,21,806,OKC,Oklahoma City Thunder,27.0,NBA,SF,72.0,72.0,2578.0,9.7,19.3,0.5,2.6,6.7,0.39,7.1,12.6,0.57,6.2,7.0,0.9,0.6,7.6,8.2,5.0,1.0,1.2,3.5,1.9,28.3
2017,10,806,GSW,Golden State Warriors,28.0,NBA,PF,62.0,62.0,2070.0,9.6,17.8,0.54,2.0,5.4,0.38,7.5,12.4,0.61,5.8,6.7,0.88,0.7,8.2,8.9,5.2,1.1,1.7,2.4,2.0,27.0
2018,10,806,GSW,Golden State Warriors,29.0,NBA,SF,68.0,68.0,2325.0,9.8,18.9,0.52,2.7,6.4,0.42,7.1,12.5,0.56,5.6,6.3,0.89,0.5,6.7,7.2,5.7,0.8,1.8,3.2,2.1,27.7
2019,10,806,GSW,Golden State Warriors,30.0,NBA,SF,78.0,78.0,2702.0,9.6,18.4,0.52,1.8,5.2,0.35,7.8,13.3,0.59,6.0,6.7,0.88,0.4,6.2,6.6,6.1,0.8,1.1,3.0,2.1,27.0
2021,3,806,BRK,Brooklyn Nets,32.0,NBA,PF,17.0,17.0,627.0,10.2,19.1,0.53,2.7,6.0,0.45,7.5,13.1,0.57,7.0,8.0,0.88,0.4,6.9,7.3,5.1,0.7,1.4,3.4,2.2,30.0
