Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2015,31,2476,TOT,Total After Trade,21.0,NBA,"SF,SG",35.0,1.0,261.0,26.0,67.0,0.39,5.0,19.0,0.26,21.0,48.0,0.44,0.42,16.0,24.0,0.67,15.0,24.0,39.0,11.0,6.0,1.0,11.0,15.0,73.0
2015,18,2476,MIN,Minnesota Timberwolves,21.0,NBA,SG,25.0,0.0,108.0,8.0,24.0,0.33,1.0,6.0,0.17,7.0,18.0,0.39,0.35,12.0,16.0,0.75,4.0,10.0,14.0,3.0,3.0,0.0,3.0,5.0,29.0
2015,23,2476,PHI,Philadelphia 76Ers,21.0,NBA,SF,10.0,1.0,153.0,18.0,43.0,0.42,4.0,13.0,0.31,14.0,30.0,0.47,0.46,4.0,8.0,0.5,11.0,14.0,25.0,8.0,3.0,1.0,8.0,10.0,44.0
2016,12,2476,IND,Indiana Pacers,22.0,NBA,SF,45.0,4.0,508.0,65.0,151.0,0.43,14.0,37.0,0.38,51.0,114.0,0.45,0.48,27.0,39.0,0.69,12.0,56.0,68.0,26.0,17.0,9.0,18.0,21.0,171.0
2017,12,2476,IND,Indiana Pacers,23.0,NBA,SF,69.0,27.0,1427.0,158.0,338.0,0.47,49.0,125.0,0.39,109.0,213.0,0.51,0.54,54.0,76.0,0.71,57.0,189.0,246.0,47.0,41.0,20.0,37.0,63.0,419.0
2018,12,2476,IND,Indiana Pacers,24.0,NBA,SF,23.0,1.0,338.0,36.0,85.0,0.42,14.0,34.0,0.41,22.0,51.0,0.43,0.51,9.0,11.0,0.82,11.0,26.0,37.0,17.0,13.0,1.0,5.0,14.0,95.0
2019,9,2476,DET,Detroit Pistons,25.0,NBA,SF,47.0,18.0,610.0,74.0,176.0,0.42,18.0,62.0,0.29,56.0,114.0,0.49,0.47,32.0,40.0,0.8,17.0,54.0,71.0,21.0,14.0,8.0,18.0,45.0,198.0
2020,31,2476,TOT,Total After Trade,26.0,NBA,SF,62.0,52.0,1786.0,288.0,592.0,0.49,77.0,197.0,0.39,211.0,395.0,0.53,0.55,74.0,86.0,0.86,81.0,189.0,270.0,96.0,54.0,16.0,55.0,100.0,727.0
2020,10,2476,GSW,Golden State Warriors,26.0,NBA,SF,48.0,48.0,1516.0,244.0,507.0,0.48,68.0,170.0,0.4,176.0,337.0,0.52,0.55,63.0,74.0,0.85,66.0,160.0,226.0,85.0,45.0,14.0,50.0,82.0,619.0
2020,23,2476,PHI,Philadelphia 76Ers,26.0,NBA,SF,14.0,4.0,270.0,44.0,85.0,0.52,9.0,27.0,0.33,35.0,58.0,0.6,0.57,11.0,12.0,0.92,15.0,29.0,44.0,11.0,9.0,2.0,5.0,18.0,108.0
2021,26,2476,SAC,Sacramento Kings,27.0,NBA,SF,16.0,0.0,260.0,32.0,75.0,0.43,15.0,36.0,0.42,17.0,39.0,0.44,0.53,16.0,18.0,0.89,5.0,21.0,26.0,16.0,1.0,1.0,6.0,15.0,95.0
