Season,Team ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
1986,9,DET,Detroit Pistons,54,Kent Benson,C,6-10,235,1954-12-27,US,8,Indiana
1986,9,DET,Detroit Pistons,0,Tony Campbell,SF,6-7,215,1962-05-07,US,1,Ohio State
1986,9,DET,Detroit Pistons,42,Ron Crevier,C,7-0,235,1958-04-14,CA,R,Boston College
1986,9,DET,Detroit Pistons,23,Earl Cureton,PF,6-9,210,1957-09-03,US,5,"Robert Morris University (PA), Detroit Mercy"
1986,9,DET,Detroit Pistons,4,Joe Dumars,SG,6-3,190,1963-05-24,US,R,McNeese State University
1986,9,DET,Detroit Pistons,35,Mike Gibson,PF,6-10,205,1960-10-27,US,1,USC Upstate
1986,9,DET,Detroit Pistons,15,Vinnie Johnson,SG,6-2,200,1956-09-01,US,6,Baylor
1986,9,DET,Detroit Pistons,40,Bill Laimbeer,C,6-11,245,1957-05-19,US,5,Notre Dame
1986,9,DET,Detroit Pistons,25,John Long,SG,6-5,195,1956-08-28,US,7,Detroit Mercy
1986,9,DET,Detroit Pistons,44,Rick Mahorn,PF,6-10,240,1958-09-21,US,5,Hampton
1986,9,DET,Detroit Pistons,42,Chuck Nevitt,C,7-5,217,1959-06-13,US,2,NC State
1986,9,DET,Detroit Pistons,33,Walker Russell,PG,6-5,195,1960-10-26,US,3,"Houston, Western Michigan"
1986,9,DET,Detroit Pistons,11,Isiah Thomas,PG,6-1,180,1961-04-30,US,4,Indiana
1986,9,DET,Detroit Pistons,7,Kelly Tripucka,SF,6-6,220,1959-02-16,US,4,Notre Dame
