PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Gary Payton,34,6,6,251,10.1,23.6,0.429,0.2,3.2,0.067,9.9,20.4,0.485,2.9,4.2,0.7,0.8,2.9,3.8,10.9,1.7,0.2,2.7,3.8,23.4,,102,113
Sam Cassell,33,6,6,217,9.5,20.2,0.47,2.7,5.1,0.524,6.8,15.1,0.452,3.4,3.7,0.9329999999999999,0.7,3.9,4.6,3.9,0.7,0.2,4.1,4.9,25.1,,102,115
Desmond Mason,25,6,6,204,7.3,14.2,0.509,0.0,1.0,0.0,7.3,13.2,0.5489999999999999,5.7,8.0,0.71,1.6,9.3,10.9,1.3,1.6,1.0,1.8,4.9,20.2,,111,108
Tim Thomas,25,6,5,191,10.0,21.6,0.462,3.3,5.8,0.5710000000000001,6.6,15.8,0.42100000000000004,6.4,8.9,0.7190000000000001,2.2,5.8,8.0,2.2,0.8,1.7,2.2,7.5,29.6,,114,111
Toni Kukoč,34,6,0,184,9.2,18.7,0.49200000000000005,3.2,8.3,0.379,6.0,10.3,0.583,4.0,5.7,0.7,1.7,5.5,7.2,6.3,3.7,0.3,3.2,3.4,25.6,,115,107
Anthony Mason,36,6,0,157,2.4,5.7,0.41200000000000003,0.0,0.0,,2.4,5.7,0.41200000000000003,3.0,4.4,0.6920000000000001,1.3,5.4,6.7,0.3,1.0,0.3,2.7,5.7,7.7,,83,113
Michael Redd,23,6,0,128,8.7,21.5,0.40399999999999997,1.2,5.0,0.25,7.4,16.5,0.45,5.4,5.8,0.929,3.7,5.0,8.7,4.5,0.8,0.4,2.9,6.2,23.9,,104,113
Ervin Johnson,35,6,3,76,2.1,5.6,0.375,0.0,0.0,,2.1,5.6,0.375,0.0,0.0,,4.2,12.5,16.7,2.1,2.1,3.5,2.1,13.9,4.2,,90,101
Joel Przybilla,23,4,3,33,1.6,1.6,1.0,0.0,0.0,,1.6,1.6,1.0,0.0,0.0,,3.2,12.8,16.0,1.6,0.0,3.2,1.6,17.6,3.2,,128,106
Marcus Haislip,22,2,1,24,8.8,13.2,0.667,0.0,0.0,,8.8,13.2,0.667,4.4,8.8,0.5,4.4,4.4,8.8,4.4,4.4,2.2,2.2,11.0,22.0,,126,104
