Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1980,2,246,BOS,Boston Celtics,23.0,NBA,PF,9,,372,11.0,23.4,0.47,0.5,2.0,0.27,10.5,21.5,0.49,2.9,3.3,0.88,2.9,10.5,13.4,5.6,1.9,1.1,4.4,4.0,25.4,,101,96
1981,2,246,BOS,Boston Celtics,24.0,NBA,PF,17,,750,9.8,20.9,0.47,0.2,0.5,0.38,9.6,20.4,0.47,5.1,5.7,0.89,3.3,12.6,15.9,6.9,2.6,1.1,4.1,3.5,24.9,,109,95
1982,2,246,BOS,Boston Celtics,25.0,NBA,PF,12,,490,8.8,20.6,0.43,0.1,0.6,0.17,8.7,20.0,0.44,3.7,4.5,0.82,3.3,11.7,15.0,6.7,2.3,1.7,3.8,4.3,21.4,,103,94
1983,2,246,BOS,Boston Celtics,26.0,NBA,PF,6,,240,10.2,24.1,0.42,0.2,0.8,0.25,10.0,23.3,0.43,5.0,6.0,0.83,4.2,11.4,15.6,8.5,2.7,0.6,3.9,3.1,25.6,,102,97
1984,2,246,BOS,Boston Celtics,27.0,NBA,PF,23,,961,11.7,22.3,0.52,0.4,0.9,0.41,11.3,21.4,0.53,8.5,9.7,0.88,3.2,9.7,12.8,6.9,2.8,1.4,4.4,3.6,32.2,,120,103
1985,2,246,BOS,Boston Celtics,28.0,NBA,SF,20,20.0,815,11.4,24.6,0.46,0.4,1.4,0.28,11.0,23.2,0.47,7.0,7.9,0.89,3.1,7.5,10.5,6.7,2.0,1.1,3.3,3.1,30.1,,113,107
1986,2,246,BOS,Boston Celtics,29.0,NBA,SF,18,18.0,770,10.8,21.0,0.52,1.5,3.5,0.41,9.4,17.4,0.54,6.4,6.9,0.93,2.2,8.5,10.6,9.4,2.3,0.7,3.0,3.5,29.5,,127,103
1987,2,246,BOS,Boston Celtics,30.0,NBA,SF,23,23.0,1015,10.5,22.1,0.48,0.7,2.0,0.34,9.8,20.1,0.49,8.6,9.4,0.91,2.0,9.2,11.2,8.0,1.3,0.9,3.5,2.7,30.3,,119,114
1988,2,246,BOS,Boston Celtics,31.0,NBA,SF,17,17.0,763,10.4,23.0,0.45,0.8,2.2,0.38,9.5,20.9,0.46,6.9,7.7,0.89,2.0,8.3,10.2,7.8,2.5,1.0,3.3,3.1,28.4,,112,106
1990,2,246,BOS,Boston Celtics,33.0,NBA,SF,5,5.0,207,10.2,23.0,0.44,1.2,4.4,0.26,9.1,18.6,0.49,6.7,7.4,0.91,1.6,9.1,10.7,10.2,1.2,1.2,4.2,2.3,28.3,,113,117
1991,2,246,BOS,Boston Celtics,34.0,NBA,SF,10,10.0,396,7.9,19.3,0.41,0.4,2.7,0.14,7.5,16.7,0.45,5.6,6.5,0.86,1.0,8.1,9.2,8.3,1.7,0.4,2.4,3.6,21.7,,108,112
1992,2,246,BOS,Boston Celtics,35.0,NBA,SF,4,2.0,107,10.3,20.6,0.5,0.0,2.4,0.0,10.3,18.1,0.57,1.5,2.0,0.75,1.0,7.8,8.8,10.3,0.5,1.0,2.9,3.4,22.0,,110,116
