Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2017,25,2382,POR,Portland Trail Blazers,Tim Quarterman,1994-10-27,22.0,NBA,SG,16.0,80.0,10.2,0.51,0.45,0.1,5.5,13.9,9.7,21.1,1.2,3.0,26.6,22.8,-0.1,0.1,-0.1,-0.04,-2.0,-0.9,-2.8,0.0
2018,11,2382,HOU,Houston Rockets,Tim Quarterman,1994-10-27,23.0,NBA,SG,3.0,13.0,2.9,0.52,0.67,0.67,0.0,25.8,13.0,10.6,0.0,0.0,34.0,20.0,0.0,0.0,0.0,-0.08,-8.5,-1.2,-9.7,0.0
