PLAYER,AGE,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
Tony Campbell,27.0,82.0,3164.0,0.457,0.46799999999999997,0.16699999999999998,0.46,0.787,0.52,0.36,0.034,96.0,96.0,50.0,94.0,103.0,97.0,110.0,45.0,-90.8,-62.4
Tyrone Corbin,27.0,82.0,3011.0,0.48100000000000004,0.486,0.0,0.48100000000000004,0.77,0.512,0.193,0.01,101.0,100.0,,98.0,101.0,95.0,59.0,13.0,-16.9,-58.0
Sam Mitchell,26.0,80.0,2414.0,0.446,0.451,0.0,0.446,0.768,0.512,0.418,0.011000000000000001,94.0,92.0,,91.0,101.0,95.0,128.0,14.0,-71.4,-47.9
Pooh Richardson,23.0,82.0,2581.0,0.461,0.479,0.27699999999999997,0.473,0.589,0.48200000000000004,0.11599999999999999,0.09,97.0,98.0,84.0,97.0,77.0,90.0,35.0,119.0,-29.4,-105.2
Tod Murphy,26.0,82.0,2493.0,0.47100000000000003,0.479,0.37200000000000005,0.486,0.7090000000000001,0.53,0.368,0.078,99.0,98.0,113.0,99.0,93.0,99.0,112.0,103.0,-3.7,-8.3
Randy Breuer,29.0,51.0,1325.0,0.41600000000000004,0.41600000000000004,0.0,0.41600000000000004,0.662,0.452,0.278,0.002,87.0,85.0,,85.0,87.0,84.0,85.0,3.0,-74.7,-96.4
Scott Roth,26.0,71.0,1061.0,0.379,0.38299999999999995,0.34600000000000003,0.4,0.746,0.478,0.479,0.124,79.0,78.0,105.0,82.0,98.0,89.0,146.0,164.0,-74.7,-59.7
Donald Royal,23.0,66.0,746.0,0.45899999999999996,0.461,0.0,0.45899999999999996,0.777,0.5660000000000001,0.772,0.004,96.0,94.0,,94.0,102.0,106.0,236.0,5.0,-15.3,20.3
Brad Lohaus,25.0,28.0,590.0,0.465,0.5,0.062,0.46799999999999997,0.8079999999999999,0.49200000000000005,0.129,0.079,98.0,102.0,19.0,96.0,106.0,92.0,39.0,105.0,-8.5,-19.1
Sidney Lowe,30.0,80.0,1744.0,0.319,0.32299999999999995,0.222,0.32299999999999995,0.722,0.37,0.23600000000000002,0.039,67.0,66.0,67.0,66.0,95.0,69.0,72.0,52.0,-75.9,-84.3
Doug West,22.0,52.0,378.0,0.39299999999999996,0.40299999999999997,0.273,0.40399999999999997,0.812,0.45299999999999996,0.237,0.08199999999999999,82.0,83.0,83.0,83.0,106.0,84.0,72.0,108.0,-23.0,-25.0
Adrian Branch,26.0,11.0,91.0,0.41,0.4,1.0,0.418,0.636,0.46,0.361,0.016,86.0,82.0,303.0,86.0,83.0,86.0,110.0,22.0,-8.6,-10.9
Brad Sellers,27.0,14.0,113.0,0.33899999999999997,0.35200000000000004,0.0,0.33899999999999997,0.75,0.384,0.214,0.036000000000000004,71.0,72.0,,69.0,98.0,71.0,66.0,47.0,-16.8,-18.8
Gary Leonard,22.0,22.0,127.0,0.419,0.433,0.0,0.419,0.429,0.431,0.452,0.032,88.0,89.0,,86.0,56.0,80.0,138.0,43.0,-4.3,-7.9
Steve Johnson,32.0,4.0,17.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,,-2.0,-2.1
Team,,,,0.449,0.45799999999999996,0.262,0.455,0.752,0.504,0.321,0.045,94.0,94.0,79.0,93.0,98.0,94.0,98.0,59.0,-414.1,-449.1
League Average,,,,0.47600000000000003,0.488,0.331,0.489,0.764,0.537,0.327,0.076,,,,,,,,,,
