Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1980,25,184,POR,Portland Trail Blazers,Billy Ray Bates,"May 31, 1956",23.0,NBA,SG,3.0,,104.0,15.2,29.0,0.52,1.0,3.4,0.29,14.3,25.6,0.56,5.4,6.9,0.79,1.0,3.9,4.9,5.9,2.5,0.5,7.4,6.4,36.9,,105.0,109.0
1981,25,184,POR,Portland Trail Blazers,Billy Ray Bates,"May 31, 1956",24.0,NBA,SG,3.0,,115.0,15.2,27.0,0.56,0.4,0.4,1.0,14.8,26.5,0.56,6.1,7.4,0.82,1.3,1.7,3.0,5.7,2.2,0.4,4.8,4.8,37.0,,115.0,107.0
