Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010,8.0,1709,DEN,Denver Nuggets,Ty Lawson,"November 3, 1987",22.0,NBA,PG,65,8,20.3,3.1,6.0,0.515,0.5,1.3,0.41,2.6,4.7,0.544,0.559,1.6,2.2,0.757,0.6,1.3,1.9,3.1,0.7,0.0,1.3,1.4,8.3
2011,8.0,1709,DEN,Denver Nuggets,Ty Lawson,"November 3, 1987",23.0,NBA,PG,80,31,26.3,4.3,8.6,0.503,0.9,2.1,0.404,3.5,6.5,0.536,0.553,2.2,2.8,0.764,0.8,1.8,2.6,4.7,1.0,0.1,1.7,1.7,11.7
2012,8.0,1709,DEN,Denver Nuggets,Ty Lawson,"November 3, 1987",24.0,NBA,PG,61,61,34.8,6.1,12.6,0.488,1.2,3.3,0.365,4.9,9.3,0.531,0.535,2.9,3.5,0.824,0.9,2.8,3.7,6.6,1.3,0.1,2.4,1.5,16.4
2013,8.0,1709,DEN,Denver Nuggets,Ty Lawson,"November 3, 1987",25.0,NBA,PG,73,71,34.4,6.1,13.3,0.461,1.2,3.2,0.366,5.0,10.1,0.491,0.505,3.2,4.3,0.756,0.5,2.2,2.7,6.9,1.5,0.1,2.5,1.8,16.7
2014,8.0,1709,DEN,Denver Nuggets,Ty Lawson,"November 3, 1987",26.0,NBA,PG,62,61,35.8,5.6,13.0,0.431,1.2,3.3,0.356,4.4,9.7,0.455,0.475,5.2,6.5,0.798,0.6,2.8,3.5,8.8,1.6,0.2,3.2,1.8,17.6
2015,8.0,1709,DEN,Denver Nuggets,Ty Lawson,"November 3, 1987",27.0,NBA,PG,75,75,35.5,5.4,12.3,0.436,0.9,2.7,0.341,4.5,9.6,0.463,0.474,3.5,4.8,0.73,0.6,2.6,3.1,9.6,1.2,0.1,2.5,1.7,15.2
2016,31.0,1709,TOT,Total After Trade,Ty Lawson,"November 3, 1987",28.0,NBA,PG,66,13,21.4,2.1,5.4,0.393,0.5,1.6,0.333,1.6,3.7,0.419,0.444,0.9,1.3,0.686,0.4,1.4,1.8,3.6,0.8,0.1,1.4,1.3,5.7
2016,11.0,1709,HOU,Houston Rockets,Ty Lawson,"November 3, 1987",28.0,NBA,PG,53,12,22.2,2.1,5.4,0.387,0.6,1.8,0.33,1.5,3.6,0.415,0.441,1.1,1.5,0.7,0.4,1.3,1.7,3.4,0.8,0.1,1.5,1.3,5.8
2016,12.0,1709,IND,Indiana Pacers,Ty Lawson,"November 3, 1987",28.0,NBA,PG,13,1,18.1,2.2,5.2,0.418,0.4,1.1,0.357,1.8,4.1,0.434,0.455,0.2,0.5,0.5,0.5,1.9,2.4,4.4,0.8,0.1,1.0,1.2,4.9
2017,26.0,1709,SAC,Sacramento Kings,Ty Lawson,"November 3, 1987",29.0,NBA,PG,69,24,25.1,3.4,7.6,0.454,0.5,1.7,0.288,2.9,5.9,0.502,0.487,2.5,3.1,0.797,0.6,2.0,2.6,4.8,1.1,0.1,1.9,1.7,9.9
