Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003,13.0,857,LAC,Los Angeles Clippers,Melvin Ely,"May 2, 1978",24.0,NBA,C,52,7,15.4,1.8,3.6,0.495,0.0,0.0,,1.8,3.6,0.495,0.495,1.0,1.4,0.703,1.2,2.1,3.3,0.3,0.2,0.6,1.0,1.8,4.5
2004,13.0,857,LAC,Los Angeles Clippers,Melvin Ely,"May 2, 1978",25.0,NBA,PF,42,2,12.1,1.6,3.6,0.431,0.0,0.0,0.0,1.6,3.6,0.434,0.431,0.6,1.0,0.595,1.1,1.3,2.4,0.5,0.2,0.4,0.5,1.6,3.7
2005,4.0,857,CHA,Charlotte Bobcats,Melvin Ely,"May 2, 1978",26.0,NBA,PF,79,17,20.9,2.9,6.7,0.432,0.0,0.0,,2.9,6.7,0.432,0.432,1.5,2.7,0.575,1.8,2.3,4.1,1.0,0.4,0.9,1.5,2.5,7.3
2006,4.0,857,CHA,Charlotte Bobcats,Melvin Ely,"May 2, 1978",27.0,NBA,PF,57,22,23.6,3.8,7.5,0.508,0.0,0.0,0.0,3.8,7.4,0.511,0.508,2.2,3.4,0.667,1.6,3.2,4.9,1.3,0.5,0.8,1.8,2.8,9.8
2007,31.0,857,TOT,Total After Trade,Melvin Ely,"May 2, 1978",28.0,NBA,"C,PF",30,0,10.3,1.0,2.7,0.363,0.0,0.0,,1.0,2.7,0.363,0.363,1.0,1.6,0.66,0.5,1.3,1.8,0.6,0.2,0.3,0.9,1.7,3.0
2007,4.0,857,CHA,Charlotte Bobcats,Melvin Ely,"May 2, 1978",28.0,NBA,PF,24,0,10.2,1.0,2.5,0.383,0.0,0.0,,1.0,2.5,0.383,0.383,1.0,1.5,0.686,0.5,1.1,1.6,0.6,0.1,0.3,1.0,1.6,2.9
2007,27.0,857,SAS,San Antonio Spurs,Melvin Ely,"May 2, 1978",28.0,NBA,C,6,0,10.8,1.0,3.3,0.3,0.0,0.0,,1.0,3.3,0.3,0.3,1.2,2.0,0.583,0.5,1.8,2.3,0.7,0.7,0.3,0.8,2.0,3.2
2008,19.0,857,NOH,New Orleans Hornets,Melvin Ely,"May 2, 1978",29.0,NBA,C,52,1,11.9,1.6,3.5,0.472,0.0,0.0,,1.6,3.5,0.472,0.472,0.6,1.1,0.552,0.5,2.3,2.8,0.4,0.1,0.3,0.8,1.5,3.9
2009,19.0,857,NOH,New Orleans Hornets,Melvin Ely,"May 2, 1978",30.0,NBA,C,31,4,12.0,1.2,3.1,0.389,0.0,0.0,,1.2,3.1,0.389,0.389,0.7,1.2,0.639,1.0,1.1,2.1,0.6,0.1,0.3,0.7,1.9,3.1
2011,8.0,857,DEN,Denver Nuggets,Melvin Ely,"May 2, 1978",32.0,NBA,C,30,2,12.2,0.9,1.7,0.549,0.0,0.0,,0.9,1.7,0.549,0.549,0.4,0.7,0.619,0.9,1.6,2.5,0.5,0.1,0.4,0.5,1.7,2.3
2014,19.0,857,NOP,New Orleans Pelicans,Melvin Ely,"May 2, 1978",35.0,NBA,C,2,0,13.5,1.5,3.0,0.5,0.0,0.0,,1.5,3.0,0.5,0.5,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.5,0.0,2.5,3.0
