PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Artis Gilmore,35,5,5,37.0,5.8,10.4,0.5579999999999999,0.0,0.0,,5.8,10.4,0.5579999999999999,0.5579999999999999,6.2,9.0,0.6890000000000001,2.0,8.0,10.0,1.4,0.4,1.4,4.6,3.6,17.8
George Gervin,32,5,5,36.6,8.4,15.8,0.532,0.0,0.6,0.0,8.4,15.2,0.5529999999999999,0.532,5.4,6.8,0.794,0.6,3.0,3.6,2.8,0.6,0.6,4.0,3.8,22.2
Mike Mitchell,29,5,5,36.0,8.8,15.6,0.564,0.0,0.2,0.0,8.8,15.4,0.5710000000000001,0.564,4.2,4.8,0.875,1.0,2.8,3.8,2.4,0.6,0.8,1.8,3.8,21.8
Johnny Moore,26,5,5,33.6,5.0,10.8,0.46299999999999997,0.2,0.6,0.33299999999999996,4.8,10.2,0.47100000000000003,0.47200000000000003,3.0,4.6,0.652,2.6,3.4,6.0,8.4,2.0,0.4,3.2,3.4,13.2
Marc Iavaroni,28,5,5,23.2,3.0,5.6,0.536,0.0,0.2,0.0,3.0,5.4,0.556,0.536,3.0,4.0,0.75,1.6,3.6,5.2,2.6,1.0,0.4,3.0,4.6,9.0
John Paxson,24,5,0,22.8,4.2,8.4,0.5,0.4,1.8,0.222,3.8,6.6,0.5760000000000001,0.524,1.4,1.8,0.778,0.0,1.0,1.0,4.2,1.0,0.0,1.0,1.8,10.2
Jeff Cook,28,5,0,19.6,1.8,3.6,0.5,0.0,0.2,0.0,1.8,3.4,0.529,0.5,3.4,5.0,0.68,1.2,4.6,5.8,0.8,1.0,1.2,1.2,4.6,7.0
Ozell Jones,24,5,0,14.6,1.6,2.2,0.727,0.0,0.0,,1.6,2.2,0.727,0.727,0.2,1.2,0.16699999999999998,1.0,2.4,3.4,0.8,0.2,0.8,1.4,3.6,3.4
Gene Banks,25,1,0,10.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0
Billy Knight,32,5,0,9.0,1.6,3.0,0.5329999999999999,0.0,0.8,0.0,1.6,2.2,0.727,0.5329999999999999,0.0,0.0,,0.6,0.6,1.2,0.6,0.4,0.0,0.4,0.4,3.2
David Thirdkill,24,5,0,4.4,0.2,0.8,0.25,0.0,0.4,0.0,0.2,0.4,0.5,0.25,0.4,0.8,0.5,0.0,0.4,0.4,0.4,0.0,0.0,0.8,0.8,0.8
Linton Townes,25,2,0,3.0,2.0,4.0,0.5,0.0,0.5,0.0,2.0,3.5,0.5710000000000001,0.5,0.0,0.0,,1.0,0.5,1.5,0.0,0.0,0.0,0.0,0.5,4.0
