PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
John Bagley,24,4,4,42.0,5.5,14.0,0.39299999999999996,0.0,0.8,0.0,5.5,13.3,0.415,0.39299999999999996,1.8,2.5,0.7,0.3,3.8,4.0,10.0,2.5,0.0,4.3,1.8,12.8
World B. Free,31,4,4,37.5,10.3,23.3,0.441,0.0,1.0,0.0,10.3,22.3,0.461,0.441,5.8,6.3,0.92,1.0,1.5,2.5,7.8,1.5,0.0,1.5,3.0,26.3
Roy Hinson,23,4,4,30.0,6.5,12.0,0.542,0.0,0.0,,6.5,12.0,0.542,0.542,3.8,5.8,0.652,2.5,5.0,7.5,0.8,0.8,2.3,2.0,4.5,16.8
Lonnie Shelton,29,4,0,26.5,4.8,8.5,0.5589999999999999,0.0,0.0,,4.8,8.5,0.5589999999999999,0.5589999999999999,2.0,2.5,0.8,1.5,4.0,5.5,1.0,0.5,0.3,1.5,5.0,11.5
Phil Hubbard,28,4,4,25.3,6.0,11.3,0.5329999999999999,0.3,0.3,1.0,5.8,11.0,0.523,0.544,3.3,4.3,0.765,2.8,2.3,5.0,0.8,0.8,0.0,1.8,4.0,15.5
Ben Poquette,29,4,0,22.8,3.3,5.3,0.619,0.0,0.0,,3.3,5.3,0.619,0.619,1.0,1.3,0.8,1.0,2.5,3.5,0.3,0.5,1.5,1.0,4.0,7.5
Mark West,24,4,4,17.0,0.8,1.3,0.6,0.0,0.0,,0.8,1.3,0.6,0.6,0.5,1.3,0.4,1.3,3.3,4.5,1.0,0.5,0.0,1.3,4.8,2.0
Johnny Davis,29,3,0,16.7,4.0,5.3,0.75,0.0,0.3,0.0,4.0,5.0,0.8,0.75,1.3,1.7,0.8,0.3,1.7,2.0,5.0,1.7,0.0,0.7,1.7,9.3
Edgar Jones,28,4,0,11.3,2.3,4.5,0.5,0.0,0.3,0.0,2.3,4.3,0.529,0.5,1.8,2.0,0.875,0.5,1.5,2.0,0.8,0.5,0.0,0.5,1.5,6.3
Melvin Turpin,24,4,0,11.3,3.0,4.8,0.632,0.0,0.0,,3.0,4.8,0.632,0.632,0.3,0.5,0.5,0.8,1.3,2.0,0.0,1.0,0.3,1.3,0.8,6.3
Ron Anderson,26,2,0,4.5,0.0,1.5,0.0,0.0,0.0,,0.0,1.5,0.0,0.0,0.0,0.0,,0.5,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Williams,23,2,0,3.5,0.5,1.0,0.5,0.0,0.0,,0.5,1.0,0.5,0.5,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,1.0
