Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1984,7,1190,DAL,Dallas Mavericks,Derek Harper,1961-10-13,22.0,NBA,PG,82.0,1.0,1712.0,200.0,451.0,0.44,3.0,26.0,0.12,197.0,425.0,0.46,0.45,66.0,98.0,0.67,53.0,119.0,172.0,239.0,95.0,21.0,111.0,143.0,469.0
1985,7,1190,DAL,Dallas Mavericks,Derek Harper,1961-10-13,23.0,NBA,PG,82.0,1.0,2218.0,329.0,633.0,0.52,21.0,61.0,0.34,308.0,572.0,0.54,0.54,111.0,154.0,0.72,47.0,152.0,199.0,360.0,144.0,37.0,123.0,194.0,790.0
1986,7,1190,DAL,Dallas Mavericks,Derek Harper,1961-10-13,24.0,NBA,PG,79.0,39.0,2150.0,390.0,730.0,0.53,12.0,51.0,0.24,378.0,679.0,0.56,0.54,171.0,229.0,0.75,75.0,151.0,226.0,416.0,153.0,23.0,144.0,166.0,963.0
1987,7,1190,DAL,Dallas Mavericks,Derek Harper,1961-10-13,25.0,NBA,PG,77.0,76.0,2556.0,497.0,993.0,0.5,76.0,212.0,0.36,421.0,781.0,0.54,0.54,160.0,234.0,0.68,51.0,148.0,199.0,609.0,167.0,25.0,138.0,195.0,1230.0
1988,7,1190,DAL,Dallas Mavericks,Derek Harper,1961-10-13,26.0,NBA,PG,82.0,82.0,3032.0,536.0,1167.0,0.46,60.0,192.0,0.31,476.0,975.0,0.49,0.48,261.0,344.0,0.76,71.0,175.0,246.0,634.0,168.0,35.0,190.0,164.0,1393.0
1989,7,1190,DAL,Dallas Mavericks,Derek Harper,1961-10-13,27.0,NBA,PG,81.0,81.0,2968.0,538.0,1127.0,0.48,99.0,278.0,0.36,439.0,849.0,0.52,0.52,229.0,284.0,0.81,46.0,182.0,228.0,570.0,172.0,41.0,205.0,219.0,1404.0
1990,7,1190,DAL,Dallas Mavericks,Derek Harper,1961-10-13,28.0,NBA,PG,82.0,82.0,3007.0,567.0,1161.0,0.49,89.0,240.0,0.37,478.0,921.0,0.52,0.53,250.0,315.0,0.79,54.0,190.0,244.0,609.0,187.0,26.0,207.0,224.0,1473.0
1991,7,1190,DAL,Dallas Mavericks,Derek Harper,1961-10-13,29.0,NBA,PG,77.0,77.0,2879.0,572.0,1226.0,0.47,89.0,246.0,0.36,483.0,980.0,0.49,0.5,286.0,391.0,0.73,59.0,174.0,233.0,548.0,147.0,14.0,177.0,222.0,1519.0
1992,7,1190,DAL,Dallas Mavericks,Derek Harper,1961-10-13,30.0,NBA,PG,65.0,64.0,2252.0,448.0,1011.0,0.44,58.0,186.0,0.31,390.0,825.0,0.47,0.47,198.0,261.0,0.76,49.0,121.0,170.0,373.0,101.0,17.0,154.0,150.0,1152.0
1993,7,1190,DAL,Dallas Mavericks,Derek Harper,1961-10-13,31.0,NBA,SG,62.0,60.0,2108.0,393.0,939.0,0.42,101.0,257.0,0.39,292.0,682.0,0.43,0.47,239.0,316.0,0.76,42.0,81.0,123.0,334.0,80.0,16.0,136.0,145.0,1126.0
1994,31,1190,TOT,Total After Trade,Derek Harper,1961-10-13,32.0,NBA,PG,82.0,55.0,2204.0,303.0,744.0,0.41,73.0,203.0,0.36,230.0,541.0,0.42,0.46,112.0,163.0,0.69,20.0,121.0,141.0,334.0,125.0,8.0,135.0,163.0,791.0
1994,7,1190,DAL,Dallas Mavericks,Derek Harper,1961-10-13,32.0,NBA,PG,28.0,28.0,893.0,130.0,342.0,0.38,37.0,105.0,0.35,93.0,237.0,0.39,0.43,28.0,50.0,0.56,10.0,45.0,55.0,98.0,45.0,4.0,54.0,46.0,325.0
1994,20,1190,NYK,New York Knicks,Derek Harper,1961-10-13,32.0,NBA,PG,54.0,27.0,1311.0,173.0,402.0,0.43,36.0,98.0,0.37,137.0,304.0,0.45,0.48,84.0,113.0,0.74,10.0,76.0,86.0,236.0,80.0,4.0,81.0,117.0,466.0
1995,20,1190,NYK,New York Knicks,Derek Harper,1961-10-13,33.0,NBA,PG,80.0,80.0,2716.0,337.0,756.0,0.45,106.0,292.0,0.36,231.0,464.0,0.5,0.52,139.0,192.0,0.72,31.0,163.0,194.0,458.0,79.0,10.0,151.0,219.0,919.0
1996,20,1190,NYK,New York Knicks,Derek Harper,1961-10-13,34.0,NBA,PG,82.0,82.0,2893.0,436.0,939.0,0.46,121.0,325.0,0.37,315.0,614.0,0.51,0.53,156.0,206.0,0.76,32.0,170.0,202.0,352.0,131.0,5.0,178.0,201.0,1149.0
1997,7,1190,DAL,Dallas Mavericks,Derek Harper,1961-10-13,35.0,NBA,PG,75.0,29.0,2210.0,299.0,674.0,0.44,60.0,176.0,0.34,239.0,498.0,0.48,0.49,95.0,128.0,0.74,30.0,107.0,137.0,321.0,92.0,12.0,132.0,144.0,753.0
1998,22,1190,ORL,Orlando Magic,Derek Harper,1961-10-13,36.0,NBA,SG,66.0,45.0,1761.0,226.0,542.0,0.42,59.0,164.0,0.36,167.0,378.0,0.44,0.47,55.0,79.0,0.7,23.0,80.0,103.0,233.0,72.0,10.0,101.0,140.0,566.0
1999,14,1190,LAL,Los Angeles Lakers,Derek Harper,1961-10-13,37.0,NBA,PG,45.0,29.0,1120.0,120.0,291.0,0.41,43.0,117.0,0.37,77.0,174.0,0.44,0.49,26.0,32.0,0.81,13.0,54.0,67.0,187.0,44.0,4.0,52.0,66.0,309.0
