PLAYER,AGE,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
Stephen Curry,26.0,80.0,2613.0,0.48700000000000004,0.528,0.44299999999999995,0.594,0.914,0.638,0.251,0.48200000000000004,108.0,109.0,126.0,120.0,122.0,119.0,92.0,180.0,262.1,308.9
Klay Thompson,24.0,77.0,2455.0,0.46299999999999997,0.48100000000000004,0.439,0.555,0.879,0.591,0.19699999999999998,0.42,103.0,99.0,125.0,112.0,117.0,111.0,72.0,156.0,154.7,159.9
Draymond Green,24.0,79.0,2490.0,0.44299999999999995,0.523,0.337,0.516,0.66,0.54,0.261,0.43,99.0,108.0,96.0,104.0,88.0,101.0,96.0,160.0,30.3,9.7
Harrison Barnes,22.0,82.0,2318.0,0.48200000000000004,0.519,0.405,0.5479999999999999,0.72,0.573,0.22899999999999998,0.32799999999999996,107.0,107.0,116.0,111.0,96.0,107.0,84.0,122.0,68.4,55.7
Marreese Speights,27.0,76.0,1207.0,0.49200000000000005,0.498,0.278,0.496,0.843,0.546,0.276,0.027999999999999997,110.0,103.0,79.0,100.0,112.0,102.0,101.0,10.0,0.3,17.2
Andre Iguodala,31.0,77.0,2069.0,0.466,0.5529999999999999,0.349,0.54,0.597,0.5529999999999999,0.23,0.42700000000000005,104.0,114.0,100.0,109.0,80.0,104.0,84.0,159.0,44.1,20.5
Leandro Barbosa,32.0,66.0,982.0,0.474,0.511,0.384,0.53,0.784,0.5579999999999999,0.192,0.29,106.0,105.0,110.0,107.0,104.0,104.0,70.0,108.0,26.2,19.8
Shaun Livingston,29.0,78.0,1468.0,0.5,0.502,0.0,0.5,0.7140000000000001,0.529,0.23,0.005,111.0,104.0,,101.0,95.0,99.0,84.0,2.0,3.3,-4.8
Andrew Bogut,30.0,67.0,1583.0,0.563,0.563,,0.563,0.524,0.565,0.11800000000000001,0.0,125.0,116.0,,114.0,70.0,106.0,43.0,,47.9,23.0
David Lee,31.0,49.0,904.0,0.511,0.514,0.0,0.511,0.654,0.541,0.332,0.006,114.0,106.0,,103.0,87.0,101.0,122.0,2.0,9.6,4.7
Justin Holiday,25.0,59.0,657.0,0.387,0.444,0.321,0.462,0.8220000000000001,0.498,0.192,0.46399999999999997,86.0,92.0,92.0,93.0,110.0,93.0,70.0,173.0,-16.1,-18.2
Festus Ezeli,25.0,46.0,504.0,0.547,0.547,,0.547,0.628,0.58,0.561,0.0,122.0,113.0,,110.0,84.0,109.0,205.0,,14.1,15.8
James Michael McAdoo,22.0,15.0,137.0,0.545,0.545,,0.545,0.56,0.564,0.568,0.0,122.0,112.0,,110.0,75.0,106.0,208.0,,4.4,3.2
Brandon Rush,29.0,33.0,271.0,0.204,0.29600000000000004,0.111,0.231,0.455,0.255,0.204,0.5,45.0,61.0,32.0,47.0,61.0,48.0,75.0,186.0,-28.6,-32.9
Ognjen Kuzmić,24.0,16.0,72.0,0.667,0.667,,0.667,1.0,0.727,0.33299999999999996,0.0,149.0,137.0,,134.0,133.0,136.0,122.0,,4.1,5.3
Team,,,,0.478,0.514,0.39799999999999996,0.54,0.768,0.5710000000000001,0.239,0.311,106.0,106.0,114.0,109.0,102.0,107.0,88.0,116.0,624.9,587.9
League Average,,,,0.449,0.485,0.35,0.496,0.75,0.534,0.273,0.268,,,,,,,,,,
