Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1989,17,1326,MIL,Milwaukee Bucks,23.0,NBA,C,25.0,0.0,112.0,6.5,20.0,0.33,0.0,0.0,,6.5,20.0,0.33,5.2,8.3,0.63,3.9,5.7,9.6,1.3,0.4,3.0,6.5,6.1,18.3,,73.0,108.0
1990,17,1326,MIL,Milwaukee Bucks,24.0,NBA,C,35.0,0.0,236.0,3.7,12.9,0.29,0.0,0.0,,3.7,12.9,0.29,3.1,5.0,0.62,3.9,8.3,12.2,0.4,1.0,3.3,2.9,6.8,10.6,,77.0,106.0
1994,30,1326,WSB,Washington Bullets,28.0,NBA,C,3.0,0.0,28.0,0.0,3.6,0.0,0.0,0.0,,0.0,3.6,0.0,0.0,0.0,,1.8,3.6,5.4,0.0,1.8,5.4,1.8,5.4,0.0,,22.0,110.0
