Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1999,23,2020,PHI,Philadelphia 76Ers,21.0,NBA,C,3.0,0.0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,116.0
2004,20,2020,NYK,New York Knicks,26.0,NBA,C,4.0,4.0,97.0,8.0,16.0,0.5,0.0,0.0,,8.0,16.0,0.5,5.9,8.5,0.69,5.3,6.9,12.2,0.5,3.2,1.6,3.7,9.6,21.8,,101.0,100.0
2005,27,2020,SAS,San Antonio Spurs,27.0,NBA,C,23.0,23.0,528.0,6.9,13.0,0.53,0.1,0.1,1.0,6.8,12.9,0.52,3.1,4.9,0.64,7.8,8.2,16.0,0.8,1.5,2.4,2.5,6.8,17.0,,116.0,103.0
2006,27,2020,SAS,San Antonio Spurs,28.0,NBA,C,8.0,3.0,94.0,6.4,8.7,0.73,0.6,0.6,1.0,5.8,8.1,0.71,7.5,10.4,0.72,8.7,9.3,17.9,0.6,1.7,3.5,4.6,9.8,20.8,,131.0,107.0
2007,9,2020,DET,Detroit Pistons,29.0,NBA,C,2.0,0.0,6.0,9.3,18.7,0.5,0.0,0.0,,9.3,18.7,0.5,28.0,28.0,1.0,9.3,18.7,28.0,0.0,0.0,0.0,0.0,9.3,46.6,,172.0,97.0
2010,4,2020,CHA,Charlotte Bobcats,32.0,NBA,C,4.0,0.0,48.0,12.9,22.3,0.58,0.0,0.0,,12.9,22.3,0.58,2.3,3.5,0.67,5.9,3.5,9.4,2.3,1.2,2.3,1.2,15.2,28.1,,120.0,111.0
2011,21,2020,OKC,Oklahoma City Thunder,33.0,NBA,C,14.0,0.0,148.0,5.0,12.1,0.41,0.0,0.0,,5.0,12.1,0.41,1.4,3.6,0.4,3.2,8.2,11.4,0.0,1.4,2.1,2.1,9.6,11.4,,86.0,106.0
2012,21,2020,OKC,Oklahoma City Thunder,34.0,NBA,C,8.0,0.0,83.0,5.1,10.2,0.5,0.0,0.0,,5.1,10.2,0.5,1.3,2.6,0.5,4.5,5.7,10.2,0.6,0.0,1.9,1.3,12.1,11.5,,110.0,112.0
2013,5,2020,CHI,Chicago Bulls,35.0,NBA,C,12.0,0.0,114.0,10.1,19.8,0.51,0.0,0.0,,10.1,19.8,0.51,1.9,3.4,0.57,6.7,8.7,15.4,1.9,1.0,3.4,1.4,7.2,22.2,,114.0,107.0
2014,5,2020,CHI,Chicago Bulls,36.0,NBA,C,2.0,0.0,5.0,0.0,11.2,0.0,0.0,0.0,,0.0,11.2,0.0,0.0,0.0,,11.2,11.2,22.4,0.0,0.0,0.0,0.0,33.7,0.0,,59.0,106.0
2015,5,2020,CHI,Chicago Bulls,37.0,NBA,C,3.0,0.0,14.0,7.6,26.6,0.29,0.0,3.8,0.0,7.6,22.8,0.33,0.0,0.0,,11.4,7.6,19.0,0.0,0.0,3.8,0.0,0.0,15.2,,84.0,102.0
2016,21,2020,OKC,Oklahoma City Thunder,38.0,NBA,C,5.0,0.0,10.0,5.0,10.1,0.5,0.0,0.0,,5.0,10.1,0.5,0.0,0.0,,5.0,10.1,15.1,0.0,0.0,5.0,5.0,5.0,10.1,,80.0,103.0
