SEASON,TEAM ID,Team,TEAM
1986,14,Los Angeles Lakers,LAL
1986,7,Dallas Mavericks,DAL
1986,25,Portland Trail Blazers,POR
1986,8,Denver Nuggets,DEN
1986,17,Milwaukee Bucks,MIL
1986,11,Houston Rockets,HOU
1986,9,Detroit Pistons,DET
1986,2,Boston Celtics,BOS
1986,10,Golden State Warriors,GSW
1986,27,San Antonio Spurs,SAS
1986,23,Philadelphia 76Ers,PHI
1986,24,Phoenix Suns,PHO
1986,5,Chicago Bulls,CHI
1986,3,New Jersey Nets,NJN
1986,26,Sacramento Kings,SAC
1986,13,Los Angeles Clippers,LAC
1986,1,Atlanta Hawks,ALT
1986,29,Utah Jazz,UTA
1986,6,Cleveland Cavaliers,CLE
1986,21,Seattle Supersonics,SEA
1986,12,Indiana Pacers,IND
1986,30,Washington Bullets,WAB
1986,20,New York Knicks,NYK
