SEASON,TEAM ID,Team,TEAM
2017,10,Golden State Warriors,GSW
2017,11,Houston Rockets,HOU
2017,8,Denver Nuggets,DEN
2017,6,Cleveland Cavaliers,CLE
2017,30,Washington Wizards,WAS
2017,13,Los Angeles Clippers,LAC
2017,2,Boston Celtics,BOS
2017,25,Portland Trail Blazers,POR
2017,24,Phoenix Suns,PHO
2017,28,Toronto Raptors,TOR
2017,21,Oklahoma City Thunder,OKC
2017,3,Brooklyn Nets,BRK
2017,18,Minnesota Timberwolves,MIN
2017,27,San Antonio Spurs,SAS
2017,12,Indiana Pacers,IND
2017,4,Charlotte Hornets,CHO
2017,14,Los Angeles Lakers,LAL
2017,19,New Orleans Pelicans,NOP
2017,20,New York Knicks,NYK
2017,17,Milwaukee Bucks,MIL
2017,16,Miami Heat,MIA
2017,1,Atlanta Hawks,ALT
2017,5,Chicago Bulls,CHI
2017,26,Sacramento Kings,SAC
2017,23,Philadelphia 76Ers,PHI
2017,9,Detroit Pistons,DET
2017,22,Orlando Magic,ORL
2017,29,Utah Jazz,UTA
2017,15,Memphis Grizzlies,MEM
2017,7,Dallas Mavericks,DAL
