SEASON,TEAM ID,Team,TEAM
2001,26,Sacramento Kings,SAC
2001,17,Milwaukee Bucks,MIL
2001,14,Los Angeles Lakers,LAL
2001,7,Dallas Mavericks,DAL
2001,28,Toronto Raptors,TOR
2001,22,Orlando Magic,ORL
2001,18,Minnesota Timberwolves,MIN
2001,21,Seattle Supersonics,SEA
2001,11,Houston Rockets,HOU
2001,29,Utah Jazz,UTA
2001,8,Denver Nuggets,DEN
2001,27,San Antonio Spurs,SAS
2001,9,Detroit Pistons,DET
2001,25,Portland Trail Blazers,POR
2001,23,Philadelphia 76Ers,PHI
2001,2,Boston Celtics,BOS
2001,24,Phoenix Suns,PHO
2001,30,Washington Wizards,WAS
2001,12,Indiana Pacers,IND
2001,10,Golden State Warriors,GSW
2001,13,Los Angeles Clippers,LAC
2001,6,Cleveland Cavaliers,CLE
2001,3,New Jersey Nets,NJN
2001,4,Charlotte Hornets,CHO
2001,15,Vancouver Grizzlies,VAN
2001,1,Atlanta Hawks,ALT
2001,16,Miami Heat,MIA
2001,20,New York Knicks,NYK
2001,5,Chicago Bulls,CHI
