SEASON,TEAM ID,Team,TEAM
2013,8,Denver Nuggets,DEN
2013,11,Houston Rockets,HOU
2013,21,Oklahoma City Thunder,OKC
2013,27,San Antonio Spurs,SAS
2013,16,Miami Heat,MIA
2013,14,Los Angeles Lakers,LAL
2013,10,Golden State Warriors,GSW
2013,7,Dallas Mavericks,DAL
2013,13,Los Angeles Clippers,LAC
2013,26,Sacramento Kings,SAC
2013,20,New York Knicks,NYK
2013,17,Milwaukee Bucks,MIL
2013,29,Utah Jazz,UTA
2013,1,Atlanta Hawks,ALT
2013,25,Portland Trail Blazers,POR
2013,28,Toronto Raptors,TOR
2013,3,Brooklyn Nets,BRK
2013,6,Cleveland Cavaliers,CLE
2013,18,Minnesota Timberwolves,MIN
2013,2,Boston Celtics,BOS
2013,24,Phoenix Suns,PHO
2013,9,Detroit Pistons,DET
2013,22,Orlando Magic,ORL
2013,19,New Orleans Hornets,NOH
2013,12,Indiana Pacers,IND
2013,4,Charlotte Bobcats,CHA
2013,15,Memphis Grizzlies,MEM
2013,30,Washington Wizards,WAS
2013,5,Chicago Bulls,CHI
2013,23,Philadelphia 76Ers,PHI
