Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2015,23.0,CLE,NBA,PF,20.0,15.0,36.4,3.6,6.5,0.558,0.0,0.0,,3.6,6.5,0.558,0.558,2.4,4.1,0.585,4.4,6.4,10.8,0.5,0.3,1.2,0.8,2.5,9.6
2016,24.0,CLE,NBA,PF,21.0,21.0,29.6,2.3,4.4,0.527,0.0,0.0,,2.3,4.4,0.527,0.527,2.0,3.5,0.575,4.1,4.9,9.0,0.7,0.4,0.9,0.8,2.6,6.7
2017,25.0,CLE,NBA,C,18.0,18.0,31.2,3.0,5.1,0.587,0.0,0.0,,3.0,5.1,0.587,0.587,2.2,3.3,0.667,3.8,4.5,8.3,1.4,0.5,0.7,1.2,2.0,8.2
2018,26.0,CLE,NBA,C,19.0,11.0,21.9,2.6,4.4,0.59,0.0,0.1,0.0,2.6,4.3,0.598,0.59,1.1,1.4,0.741,2.3,3.6,5.9,0.6,0.1,0.4,0.6,1.4,6.2
