SEASON,TEAM ID,TEAM,PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2020,12,IND,T.J. Warren,26,67,2202,18.4,0.61,0.23,0.2,3.4,10.5,7.0,7.1,1.7,1.4,7.2,23.3,4.0,2.6,6.5,0.14,1.2,0.0,1.1,1.7
2020,12,IND,Domantas Sabonis,23,62,2159,20.7,0.59,0.08,0.35,9.7,29.3,19.6,21.7,1.1,1.2,14.8,23.3,4.1,3.4,7.5,0.17,2.0,1.2,3.2,2.9
2020,12,IND,Justin Holiday,30,73,1826,12.1,0.58,0.68,0.14,1.9,12.2,7.1,6.7,2.3,2.2,7.9,13.4,1.6,2.6,4.2,0.11,-0.5,1.8,1.3,1.5
2020,12,IND,Myles Turner,23,62,1826,14.8,0.57,0.43,0.29,5.2,19.1,12.2,5.4,1.2,6.4,11.4,17.9,1.1,3.1,4.2,0.11,-1.0,1.1,0.1,1.0
2020,12,IND,Malcolm Brogdon,27,54,1666,17.7,0.54,0.31,0.25,3.1,14.1,8.6,33.8,1.0,0.5,13.7,25.2,2.3,1.7,4.0,0.11,2.3,-0.5,1.8,1.6
2020,12,IND,Aaron Holiday,23,66,1617,11.6,0.52,0.39,0.16,1.5,9.0,5.3,19.1,1.7,0.9,12.8,18.7,0.4,1.7,2.1,0.06,-1.6,0.0,-1.6,0.2
2020,12,IND,Doug McDermott,28,69,1372,14.4,0.62,0.54,0.11,2.1,11.7,7.0,8.4,0.4,0.3,6.8,19.6,2.3,1.1,3.3,0.12,1.4,-1.3,0.0,0.7
2020,12,IND,T.J. McConnell,27,71,1326,16.5,0.54,0.04,0.1,3.2,12.4,7.8,37.6,2.0,0.7,18.9,17.5,1.7,1.7,3.3,0.12,0.1,0.4,0.5,0.8
2020,12,IND,Jeremy Lamb,27,46,1291,14.0,0.55,0.33,0.23,2.1,14.8,8.5,10.5,2.1,1.5,8.7,19.6,0.9,1.8,2.7,0.1,-1.1,0.8,-0.4,0.5
2020,12,IND,Victor Oladipo,27,19,528,11.3,0.51,0.42,0.24,1.9,13.6,7.8,15.4,1.6,0.7,14.7,26.5,-0.6,0.6,0.0,0.0,-2.2,-1.1,-3.3,-0.2
2020,12,IND,Goga Bitadze,20,54,471,12.1,0.52,0.28,0.22,5.9,18.7,12.3,6.7,1.0,6.9,14.5,17.9,-0.1,0.8,0.7,0.07,-4.1,1.8,-2.3,0.0
2020,12,IND,JaKarr Sampson,26,34,471,12.6,0.62,0.11,0.24,4.7,15.7,10.2,6.1,1.6,2.2,10.6,13.2,0.6,0.7,1.2,0.12,-2.8,1.4,-1.4,0.1
2020,12,IND,Edmond Sumner,24,31,447,10.1,0.49,0.37,0.2,2.7,8.5,5.6,16.7,1.6,1.8,12.4,17.3,-0.1,0.5,0.4,0.05,-3.2,0.2,-3.0,-0.1
2020,12,IND,T.J. Leaf,22,28,222,12.9,0.45,0.21,0.19,11.5,23.5,17.5,5.7,2.2,1.6,7.9,20.0,-0.1,0.4,0.3,0.06,-2.5,0.1,-2.4,0.0
2020,12,IND,Alize Johnson,23,17,118,13.3,0.51,0.28,0.34,15.0,29.4,22.3,7.7,1.2,1.5,17.3,15.0,0.1,0.2,0.3,0.11,-1.8,0.3,-1.5,0.0
2020,12,IND,Naz Mitrou-Long,26,5,47,7.8,0.41,0.71,0.0,0.0,16.2,8.2,22.8,1.0,1.9,15.0,18.7,-0.1,0.1,0.0,-0.02,-3.5,2.1,-1.4,0.0
2020,12,IND,Brian Bowen,21,6,31,0.1,0.3,0.2,0.0,3.6,21.0,12.4,0.0,0.0,2.8,9.1,15.6,-0.1,0.0,-0.1,-0.11,-9.1,-1.6,-10.7,-0.1
