Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002,26,240,SAC,Sacramento Kings,Mike Bibby,"May 13, 1978",23.0,NBA,PG,16.0,16.0,661.0,6.2,14.0,0.44,1.4,3.2,0.42,4.8,10.8,0.45,3.9,4.7,0.83,0.8,2.5,3.3,4.4,1.3,0.2,2.0,1.6,17.6
2003,26,240,SAC,Sacramento Kings,Mike Bibby,"May 13, 1978",24.0,NBA,PG,12.0,12.0,404.0,5.1,12.0,0.42,1.0,3.5,0.28,4.1,8.6,0.48,2.4,3.0,0.79,0.7,2.0,2.8,5.3,1.2,0.4,1.6,2.8,13.5
2004,26,240,SAC,Sacramento Kings,Mike Bibby,"May 13, 1978",25.0,NBA,PG,12.0,12.0,497.0,6.1,14.2,0.43,1.7,4.0,0.44,4.3,10.2,0.43,3.5,4.0,0.87,0.7,3.0,3.6,6.1,1.7,0.4,2.5,2.9,17.4
2005,26,240,SAC,Sacramento Kings,Mike Bibby,"May 13, 1978",26.0,NBA,PG,5.0,5.0,200.0,6.5,16.6,0.39,0.9,4.1,0.22,5.6,12.4,0.45,3.8,4.9,0.78,0.9,3.1,4.0,5.9,1.3,0.4,2.3,2.0,17.6
2006,26,240,SAC,Sacramento Kings,Mike Bibby,"May 13, 1978",27.0,NBA,PG,6.0,6.0,255.0,4.5,13.0,0.35,1.3,3.7,0.35,3.2,9.3,0.35,3.8,4.2,0.9,0.8,2.4,3.2,4.4,1.3,0.0,2.5,2.4,14.1
2008,1,240,ATL,Atlanta Hawks,Mike Bibby,"May 13, 1978",29.0,NBA,PG,7.0,7.0,252.0,3.1,9.3,0.34,1.0,3.4,0.29,2.1,5.9,0.37,3.0,4.6,0.66,0.4,2.7,3.1,3.1,0.6,0.3,1.9,1.7,10.3
2009,1,240,ATL,Atlanta Hawks,Mike Bibby,"May 13, 1978",30.0,NBA,PG,11.0,11.0,390.0,4.5,9.8,0.46,2.4,4.4,0.54,2.1,5.4,0.4,1.9,2.0,0.96,0.6,2.9,3.4,4.2,0.9,0.2,2.2,3.1,13.4
2010,1,240,ATL,Atlanta Hawks,Mike Bibby,"May 13, 1978",31.0,NBA,PG,11.0,11.0,292.0,4.4,9.9,0.45,1.7,4.2,0.41,2.7,5.7,0.48,0.9,1.2,0.7,0.6,2.8,3.5,3.5,1.1,0.0,1.5,3.2,11.5
2011,16,240,MIA,Miami Heat,Mike Bibby,"May 13, 1978",32.0,NBA,PG,20.0,20.0,415.0,2.3,8.3,0.28,1.5,5.7,0.26,0.9,2.6,0.33,0.2,0.3,0.5,0.4,2.7,3.1,2.0,1.0,0.5,1.5,2.6,6.3
2012,20,240,NYK,New York Knicks,Mike Bibby,"May 13, 1978",33.0,NBA,PG,5.0,1.0,118.0,2.7,7.0,0.39,2.1,5.2,0.41,0.6,1.8,0.33,0.6,0.9,0.67,0.9,5.5,6.4,4.0,0.3,0.0,1.2,2.1,8.2
