Season,Team ID,Team ABV,Team,PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1989,11,HOU,Houston Rockets,Hakeem Olajuwon,26,4,162,24.1,0.55,0.0,0.31,9.9,26.8,18.4,12.9,3.0,4.2,9.8,26.2,0.3,0.4,0.6,0.18,4.0,2.9,6.9,0.4
1989,11,HOU,Houston Rockets,Sleepy Floyd,28,4,160,15.3,0.59,0.33,0.3,2.2,10.7,6.4,23.4,2.4,0.4,16.1,16.1,0.2,0.2,0.4,0.12,1.2,0.5,1.7,0.1
1989,11,HOU,Houston Rockets,Otis Thorpe,26,4,152,13.0,0.69,0.0,0.57,4.5,10.5,7.5,11.7,1.6,0.4,24.5,16.7,0.1,0.1,0.3,0.09,-0.9,0.9,0.0,0.1
1989,11,HOU,Houston Rockets,Mike Woodson,30,4,137,8.7,0.43,0.18,0.24,3.4,4.2,3.8,18.5,1.4,0.9,14.2,19.2,-0.1,0.1,0.0,-0.01,-1.6,-1.1,-2.7,0.0
1989,11,HOU,Houston Rockets,Buck Johnson,25,4,118,11.6,0.5,0.02,0.35,6.8,7.7,7.3,16.4,1.2,1.1,11.5,18.4,0.1,0.1,0.2,0.06,-1.2,0.1,-1.0,0.0
1989,11,HOU,Houston Rockets,Walter Berry,24,4,57,15.1,0.56,0.0,0.31,6.1,12.0,9.0,14.5,1.7,1.1,16.9,25.9,0.0,0.1,0.1,0.07,-0.6,0.5,-0.2,0.0
1989,11,HOU,Houston Rockets,Tim McCormick,26,4,53,17.6,0.65,0.08,0.69,4.3,23.7,14.1,0.0,2.8,2.4,0.0,13.3,0.2,0.1,0.3,0.24,0.7,3.3,4.0,0.1
1989,11,HOU,Houston Rockets,Derrick Chievous,21,4,40,8.3,0.42,0.0,0.59,14.4,2.9,8.6,7.1,1.2,1.6,12.3,25.3,0.0,0.0,0.0,-0.02,-3.8,-2.6,-6.5,0.0
1989,11,HOU,Houston Rockets,Purvis Short,31,4,37,10.0,0.41,0.1,0.24,18.6,9.3,13.9,4.4,0.0,0.0,4.1,27.2,0.0,0.0,0.0,0.0,-2.6,-4.1,-6.7,0.0
1989,11,HOU,Houston Rockets,Frank Johnson,30,4,36,8.5,0.48,0.17,1.67,3.2,12.7,8.0,25.0,1.4,0.0,27.8,16.6,0.0,0.0,0.0,-0.0,-3.6,-1.4,-5.0,0.0
1989,11,HOU,Houston Rockets,Allen Leavell,31,2,5,24.1,0.52,0.0,0.67,0.0,0.0,0.0,31.6,0.0,0.0,0.0,32.2,0.0,0.0,0.0,0.23,2.2,-3.5,-1.2,0.0
1989,11,HOU,Houston Rockets,Chuck Nevitt,29,2,3,5.2,,,,0.0,38.1,19.1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.08,-0.5,0.2,-0.3,0.0
