SEASON,TEAM ID,TEAM,PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1989,20,NYK,Patrick Ewing,26,9,340,19.1,0.54,0.0,0.36,7.6,24.1,15.4,9.5,1.3,3.6,8.2,23.0,0.6,0.4,1.0,0.14,1.5,0.6,2.2,0.4
1989,20,NYK,Mark Jackson,23,9,336,17.7,0.59,0.28,0.28,2.3,8.7,5.4,40.3,1.5,0.6,20.0,18.0,0.6,0.2,0.8,0.11,4.6,-0.2,4.3,0.5
1989,20,NYK,Charles Oakley,25,9,299,12.5,0.52,0.03,0.33,16.1,23.7,19.7,5.2,2.0,0.2,20.8,15.2,0.0,0.3,0.4,0.06,-1.0,-0.9,-1.9,0.0
1989,20,NYK,Gerald Wilkins,25,9,290,15.2,0.51,0.08,0.18,3.5,10.1,6.6,23.9,2.1,0.7,13.5,24.2,0.1,0.2,0.4,0.06,-0.4,0.8,0.4,0.2
1989,20,NYK,Johnny Newman,25,9,258,15.0,0.56,0.26,0.46,5.6,5.7,5.7,10.5,1.6,0.3,12.3,24.4,0.4,0.1,0.5,0.09,1.1,-0.5,0.6,0.2
1989,20,NYK,Trent Tucker,29,9,159,16.5,0.59,0.55,0.07,6.3,7.7,7.0,13.5,3.2,0.9,9.1,17.8,0.3,0.2,0.5,0.14,3.2,2.5,5.8,0.3
1989,20,NYK,Kiki Vandeweghe,30,9,159,14.5,0.63,0.16,0.43,1.4,6.9,4.0,6.6,1.0,0.9,7.9,17.1,0.4,0.1,0.4,0.13,1.2,0.2,1.4,0.1
1989,20,NYK,Sidney Green,28,9,128,9.0,0.5,0.0,0.47,12.2,21.0,16.4,5.4,0.8,0.5,16.2,14.5,0.0,0.1,0.1,0.05,-3.7,-1.1,-4.8,-0.1
1989,20,NYK,Rod Strickland,22,9,111,12.4,0.48,0.02,0.35,6.0,7.7,6.8,36.0,1.8,0.6,18.7,26.9,-0.1,0.1,0.0,0.0,-1.1,-1.1,-2.2,0.0
1989,20,NYK,Kenny Walker,24,9,90,4.2,0.47,0.0,1.46,6.2,14.9,10.4,2.8,0.6,2.3,15.8,12.1,0.0,0.1,0.1,0.03,-6.5,0.1,-6.4,-0.1
1989,20,NYK,Eddie Lee Wilkins,26,7,26,12.1,0.49,0.0,0.91,21.5,28.2,24.7,0.0,0.0,0.0,20.6,32.1,-0.1,0.0,0.0,-0.07,-4.3,-4.6,-8.9,0.0
1989,20,NYK,Pete Myers,25,4,14,16.5,0.76,,,8.0,17.4,12.5,8.7,0.0,4.9,0.0,8.1,0.1,0.0,0.1,0.24,1.6,2.7,4.3,0.0
