Season,Team ID,Team ABV,Team,PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1989,21,SEA,Seattle Supersonics,Dale Ellis,28,8,304,14.6,0.52,0.23,0.21,4.9,7.1,6.0,5.5,1.8,0.2,10.7,26.7,0.2,0.1,0.3,0.06,2.4,-2.0,0.4,0.2
1989,21,SEA,Seattle Supersonics,Derrick McKey,22,8,286,12.1,0.54,0.1,0.24,7.9,13.0,10.3,9.3,1.1,3.4,19.0,17.6,0.0,0.2,0.2,0.04,-0.4,0.1,-0.3,0.1
1989,21,SEA,Seattle Supersonics,Xavier McDaniel,25,8,281,13.2,0.46,0.06,0.28,9.1,18.4,13.5,12.5,0.4,1.2,12.0,27.2,0.0,0.2,0.1,0.02,0.2,-2.3,-2.2,0.0
1989,21,SEA,Seattle Supersonics,Sedale Threatt,27,8,201,19.8,0.53,0.05,0.24,1.6,6.0,3.7,38.3,4.3,0.0,10.8,21.0,0.5,0.2,0.7,0.16,2.6,2.7,5.3,0.4
1989,21,SEA,Seattle Supersonics,Nate McMillan,24,8,200,15.8,0.53,0.05,0.62,4.8,9.6,7.1,42.8,2.5,1.6,27.1,14.5,0.2,0.2,0.3,0.08,1.9,1.4,3.2,0.3
1989,21,SEA,Seattle Supersonics,Michael Cage,27,8,175,14.6,0.57,0.02,0.55,13.4,16.5,14.9,4.1,2.0,1.1,13.9,13.7,0.2,0.1,0.3,0.09,0.6,-0.7,-0.1,0.1
1989,21,SEA,Seattle Supersonics,Olden Polynice,24,8,162,16.9,0.61,0.0,0.32,17.8,26.0,21.7,0.9,1.9,1.6,9.7,13.2,0.3,0.2,0.5,0.16,0.2,-0.1,0.1,0.1
1989,21,SEA,Seattle Supersonics,Alton Lister,30,8,160,13.9,0.56,0.0,0.67,8.7,18.8,13.5,1.7,0.6,8.6,15.1,15.4,0.2,0.2,0.3,0.1,-2.8,2.0,-0.8,0.0
1989,21,SEA,Seattle Supersonics,Russ Schoene,28,3,43,5.6,0.33,0.41,0.35,7.5,5.6,6.6,6.3,2.3,0.0,0.0,18.9,0.0,0.0,0.0,-0.0,-4.8,-3.9,-8.7,-0.1
1989,21,SEA,Seattle Supersonics,Jerry Reynolds,26,4,40,11.3,0.42,0.18,0.46,2.7,12.0,7.1,3.8,2.5,9.8,13.2,31.5,-0.1,0.1,0.0,-0.05,-2.2,1.3,-1.0,0.0
1989,21,SEA,Seattle Supersonics,John Lucas,35,4,37,2.3,0.31,0.18,0.12,0.0,3.3,1.5,31.1,0.0,0.0,10.1,22.3,-0.1,0.0,-0.1,-0.12,-5.6,-6.4,-12.0,-0.1
1989,21,SEA,Seattle Supersonics,Avery Johnson,23,6,31,19.8,0.43,0.33,0.17,6.9,7.8,7.3,24.1,6.5,0.0,0.0,17.2,0.0,0.0,0.1,0.15,1.7,4.1,5.8,0.1
