PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
David Wesley,26,74,73,2991,5.5,11.7,0.46799999999999997,1.2,3.4,0.36,4.2,8.3,0.513,2.7,3.5,0.7809999999999999,0.8,2.4,3.2,6.5,1.9,0.2,2.5,2.7,14.9
Antoine Walker,20,82,68,2970,7.0,16.4,0.425,0.6,1.9,0.327,6.4,14.5,0.43799999999999994,2.8,4.4,0.631,3.5,5.5,9.0,3.2,1.3,0.6,2.8,3.3,17.4
Rick Fox,27,76,75,2650,5.9,12.9,0.456,1.4,3.8,0.363,4.5,9.1,0.494,2.8,3.6,0.787,1.5,3.8,5.4,3.9,2.3,0.5,2.4,3.8,15.9
Eric Williams,24,72,67,2435,5.5,12.1,0.456,0.0,0.1,0.25,5.5,12.0,0.45799999999999996,4.8,6.4,0.752,1.9,3.0,4.9,1.9,1.1,0.2,2.1,3.1,15.9
Todd Day,27,81,27,2277,6.3,15.8,0.39799999999999996,2.0,5.5,0.36200000000000004,4.3,10.3,0.418,4.0,5.2,0.773,1.7,3.5,5.2,1.8,1.7,0.8,2.0,3.3,18.6
Marty Conlon,29,74,15,1614,4.8,10.1,0.47100000000000003,0.0,0.2,0.2,4.7,9.9,0.47700000000000004,3.2,3.8,0.8420000000000001,2.9,4.3,7.2,2.3,1.0,0.4,2.4,3.4,12.8
Dino Radja,29,25,25,874,6.1,14.0,0.44,0.0,0.0,0.0,6.1,13.9,0.441,2.1,2.9,0.718,1.8,6.9,8.7,2.0,0.9,2.0,2.9,3.1,14.4
Dana Barros,29,24,8,708,5.6,12.9,0.435,2.2,5.3,0.41,3.4,7.5,0.45299999999999996,1.9,2.2,0.86,0.3,2.2,2.4,4.1,1.3,0.3,2.0,1.7,15.3
Brett Szabo,28,70,24,662,2.9,6.6,0.446,0.0,0.1,0.0,2.9,6.5,0.45,2.4,3.3,0.738,3.0,5.9,9.0,0.9,0.9,1.7,2.2,6.5,8.3
Greg Minor,25,23,15,547,6.2,12.9,0.48,0.1,0.5,0.125,6.1,12.4,0.495,2.0,2.4,0.861,2.0,3.3,5.3,2.2,1.0,0.1,1.4,3.0,14.5
Dee Brown,28,21,2,522,4.2,11.4,0.36700000000000005,1.4,4.5,0.308,2.8,7.0,0.406,1.2,1.5,0.818,0.6,2.8,3.3,4.6,2.1,0.5,1.7,3.1,11.0
Alton Lister,38,53,2,516,2.2,5.4,0.41600000000000004,0.0,0.0,,2.2,5.4,0.41600000000000004,1.6,2.2,0.742,4.6,7.1,11.7,0.9,0.6,1.0,2.1,6.6,6.1
Michael Hawkins,24,29,0,326,3.2,7.5,0.426,1.1,3.4,0.32299999999999995,2.1,4.1,0.514,1.3,1.7,0.8,1.0,2.4,3.4,7.1,1.8,0.1,3.1,4.4,8.8
Steve Hamer,23,35,3,268,4.0,7.7,0.526,0.0,0.3,0.0,4.0,7.4,0.545,2.1,3.9,0.552,2.3,5.8,8.1,0.9,0.3,0.5,1.7,5.2,10.2
Frank Brickowski,37,17,2,255,4.5,10.3,0.43799999999999994,1.0,2.8,0.35,3.5,7.5,0.47200000000000003,1.4,2.0,0.7140000000000001,0.8,4.0,4.8,2.1,0.7,0.6,2.7,5.9,11.4
Nate Driggers,23,15,0,132,3.5,11.7,0.302,0.0,2.5,0.0,3.5,9.3,0.382,2.7,3.8,0.7140000000000001,3.3,2.7,6.0,1.6,0.8,0.5,1.6,2.7,9.8
Pervis Ellison,29,6,4,125,1.7,4.6,0.375,0.0,0.0,,1.7,4.6,0.375,0.9,1.4,0.6,2.6,4.9,7.5,1.2,1.4,2.6,2.0,6.0,4.3
Stacey King,30,5,0,33,5.5,7.6,0.7140000000000001,0.0,0.0,,5.5,7.6,0.7140000000000001,2.2,3.3,0.667,1.1,8.7,9.8,1.1,0.0,1.1,1.1,3.3,13.1
