SEASON,TEAM ID,TEAM,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
2006,23,PHI,21,Matt Barnes,PF,6-7,226,1980-03-09,US,2,UCLA
2006,23,PHI,5,Michael Bradley,PF,6-10,245,1979-04-18,US,4,"Kentucky, Villanova"
2006,23,PHI,1,Samuel Dalembert,C,6-11,255,1981-05-10,HT,3,Seton Hall
2006,23,PHI,35,Deng Gai,C,6-9,250,1982-03-22,SS,R,Fairfield
2006,23,PHI,33,Willie Green,SG,6-4,200,1981-07-28,US,2,Detroit Mercy
2006,23,PHI,31,Zendon Hamilton,C,6-11,250,1975-04-27,US,5,St. John's
2006,23,PHI,45,Steven Hunter,C,7-0,220,1981-10-31,US,4,DePaul
2006,23,PHI,9,Andre Iguodala,SF,6-6,215,1984-01-28,US,1,Arizona
2006,23,PHI,3,Allen Iverson,PG,6-0,165,1975-06-07,US,9,Georgetown
2006,23,PHI,26,Kyle Korver,SF,6-7,212,1981-03-17,US,2,Creighton
2006,23,PHI,54,Lee Nailon,PF,6-9,238,1975-02-22,US,5,"Butler County Community College, TCU"
2006,23,PHI,12,Kevin Ollie,SG,6-4,195,1972-12-27,US,8,UConn
2006,23,PHI,42,Shavlik Randolph,PF,6-10,240,1983-11-24,US,R,Duke
2006,23,PHI,7,John Salmons,SG,6-7,210,1979-12-12,US,3,Miami (FL)
2006,23,PHI,30,James Thomas,PF,6-8,235,1980-11-22,US,1,Texas
2006,23,PHI,4,Chris Webber,PF,6-9,245,1973-03-01,US,12,Michigan
2006,23,PHI,23,Lou Williams,PG,6-1,175,1986-10-27,US,R,
