Season,Team ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
1994,22,ORL,Orlando Magic,25,Nick Anderson,SG,6-6,205,1968-01-20,US,4,Illinois
1994,22,ORL,Orlando Magic,0,Anthony Avent,PF,6-9,235,1969-10-18,US,1,Seton Hall
1994,22,ORL,Orlando Magic,14,Anthony Bowie,SG,6-6,190,1963-11-09,US,4,Oklahoma
1994,22,ORL,Orlando Magic,0,Anthony Cook,PF,6-9,205,1967-03-19,US,2,Arizona
1994,22,ORL,Orlando Magic,11,Litterial Green,PG,6-1,185,1970-03-07,US,1,Georgia
1994,22,ORL,Orlando Magic,43,Geert Hammink,C,7-0,262,1969-07-12,NL,R,LSU
1994,22,ORL,Orlando Magic,1,Anfernee Hardaway,PG,6-7,195,1971-07-18,US,R,Memphis
1994,22,ORL,Orlando Magic,34,Greg Kite,C,6-11,250,1961-08-05,US,10,BYU
1994,22,ORL,Orlando Magic,42,Larry Krystkowiak,PF,6-9,220,1964-09-23,US,7,Montana
1994,22,ORL,Orlando Magic,24,Todd Lichti,SG,6-4,205,1967-01-08,US,4,Stanford
1994,22,ORL,Orlando Magic,32,Shaquille O'Neal,C,7-1,325,1972-03-06,US,1,LSU
1994,22,ORL,Orlando Magic,30,Tree Rollins,C,7-1,235,1955-06-16,US,16,Clemson
1994,22,ORL,Orlando Magic,5,Donald Royal,SF,6-8,210,1966-05-22,US,3,Notre Dame
1994,22,ORL,Orlando Magic,3,Dennis Scott,SF,6-8,229,1968-09-05,US,3,Georgia Tech
1994,22,ORL,Orlando Magic,4,Scott Skiles,PG,6-1,180,1964-03-05,US,7,Michigan State
1994,22,ORL,Orlando Magic,55,Keith Tower,C,6-11,250,1970-05-15,US,R,Notre Dame
1994,22,ORL,Orlando Magic,31,Jeff Turner,PF,6-9,230,1962-04-09,US,7,Vanderbilt
1994,22,ORL,Orlando Magic,43,Lorenzo Williams,PF,6-9,200,1969-07-15,US,1,Stetson University
