Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2011,20.0,WAS,NBA,PG,69.0,64.0,2606.0,398.0,972.0,0.409,34.0,115.0,0.296,364.0,857.0,0.425,0.427,301.0,393.0,0.766,35.0,282.0,317.0,574.0,121.0,35.0,261.0,175.0,1131.0,,1.0
2012,21.0,WAS,NBA,PG,66.0,66.0,2386.0,378.0,894.0,0.423,3.0,42.0,0.071,375.0,852.0,0.44,0.424,317.0,402.0,0.789,48.0,252.0,300.0,530.0,95.0,57.0,255.0,137.0,1076.0,,0.0
2013,22.0,WAS,NBA,PG,49.0,42.0,1602.0,324.0,735.0,0.441,12.0,45.0,0.267,312.0,690.0,0.452,0.449,246.0,306.0,0.804,35.0,161.0,196.0,373.0,65.0,37.0,157.0,117.0,906.0,,0.0
2014,23.0,WAS,NBA,PG,82.0,82.0,2980.0,579.0,1337.0,0.433,108.0,308.0,0.351,471.0,1029.0,0.458,0.473,317.0,394.0,0.805,38.0,295.0,333.0,721.0,149.0,40.0,295.0,219.0,1583.0,,2.0
2015,24.0,WAS,NBA,PG,79.0,79.0,2837.0,519.0,1166.0,0.445,65.0,217.0,0.3,454.0,949.0,0.478,0.473,284.0,362.0,0.785,36.0,330.0,366.0,792.0,138.0,45.0,304.0,180.0,1387.0,,0.0
2016,25.0,WAS,NBA,PG,77.0,77.0,2784.0,572.0,1349.0,0.424,115.0,328.0,0.351,457.0,1021.0,0.448,0.467,272.0,344.0,0.791,42.0,337.0,379.0,789.0,145.0,59.0,318.0,159.0,1531.0,,4.0
2017,26.0,WAS,NBA,PG,78.0,78.0,2836.0,647.0,1435.0,0.451,89.0,272.0,0.327,558.0,1163.0,0.48,0.482,422.0,527.0,0.801,59.0,267.0,326.0,831.0,157.0,49.0,322.0,151.0,1805.0,,0.0
2018,27.0,WAS,NBA,PG,41.0,41.0,1410.0,280.0,667.0,0.42,62.0,167.0,0.371,218.0,500.0,0.436,0.466,175.0,241.0,0.726,22.0,128.0,150.0,393.0,57.0,45.0,158.0,80.0,797.0,,0.0
2019,28.0,WAS,NBA,PG,32.0,32.0,1104.0,245.0,552.0,0.444,51.0,169.0,0.302,194.0,383.0,0.507,0.49,122.0,175.0,0.697,15.0,101.0,116.0,279.0,49.0,29.0,121.0,71.0,663.0,,0.0
2021,30.0,HOU,NBA,PG,7.0,7.0,237.0,49.0,108.0,0.454,10.0,31.0,0.323,39.0,77.0,0.506,0.5,22.0,26.0,0.846,5.0,28.0,33.0,36.0,9.0,7.0,24.0,9.0,130.0,,0.0
