SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1990,20,NYK,Patrick Ewing,27,10,10,39.5,11.4,21.9,0.52,0.1,0.2,0.5,11.3,21.7,0.52,0.52,6.5,7.9,0.82,2.1,8.4,10.5,3.1,1.3,2.0,2.7,4.1,29.4
1990,20,NYK,Maurice Cheeks,33,10,10,38.8,5.0,10.4,0.48,0.0,0.4,0.0,5.0,10.0,0.5,0.48,2.8,3.1,0.9,1.2,2.7,3.9,8.5,1.7,0.2,1.9,2.1,12.8
1990,20,NYK,Charles Oakley,26,10,8,33.6,4.3,8.4,0.51,0.1,0.1,1.0,4.2,8.3,0.51,0.52,3.4,5.2,0.65,3.9,7.1,11.0,2.7,1.1,0.2,2.2,3.3,12.1
1990,20,NYK,Gerald Wilkins,26,10,10,31.9,6.3,13.7,0.46,0.2,0.8,0.25,6.1,12.9,0.47,0.47,1.8,2.2,0.82,1.4,2.2,3.6,5.2,1.4,0.1,1.8,2.3,14.6
1990,20,NYK,Kiki Vandeweghe,31,10,10,23.6,3.1,7.4,0.42,0.6,1.3,0.46,2.5,6.1,0.41,0.46,0.8,1.0,0.8,0.7,0.5,1.2,1.4,0.5,0.2,0.7,1.4,7.6
1990,20,NYK,Johnny Newman,26,10,0,23.1,3.8,8.5,0.45,0.4,1.0,0.4,3.4,7.5,0.45,0.47,3.7,4.9,0.76,1.1,1.0,2.1,1.0,0.9,0.3,1.7,4.1,11.7
1990,20,NYK,Trent Tucker,30,10,0,17.8,2.2,5.5,0.4,1.0,2.7,0.37,1.2,2.8,0.43,0.49,0.6,0.6,1.0,0.5,0.9,1.4,2.0,1.0,0.0,0.6,1.9,6.0
1990,20,NYK,Kenny Walker,25,10,2,15.4,1.6,2.9,0.55,0.0,0.1,0.0,1.6,2.8,0.57,0.55,0.9,1.4,0.64,0.7,1.8,2.5,0.6,0.0,0.4,0.1,2.2,4.1
1990,20,NYK,Mark Jackson,24,9,0,9.0,1.4,3.4,0.42,0.0,0.2,0.0,1.4,3.2,0.45,0.42,0.9,1.2,0.73,0.1,0.4,0.6,2.3,0.2,0.0,0.8,0.6,3.8
1990,20,NYK,Eddie Lee Wilkins,27,7,0,7.7,1.3,2.6,0.5,0.0,0.0,,1.3,2.6,0.5,0.5,0.9,1.6,0.55,0.7,0.9,1.6,0.0,0.3,0.0,0.3,1.0,3.4
1990,20,NYK,Brian Quinnett,23,3,0,5.3,0.7,1.3,0.5,0.3,0.3,1.0,0.3,1.0,0.33,0.62,0.0,0.0,,1.7,1.0,2.7,0.7,0.0,0.0,0.3,0.7,1.7
1990,20,NYK,Stuart Gray,26,4,0,3.0,0.5,1.3,0.4,0.0,0.0,,0.5,1.3,0.4,0.4,0.0,0.0,,0.8,1.3,2.0,0.0,0.3,0.0,0.8,0.8,1.0
