Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1981,8,DEN,Denver Nuggets,Alex English,27.0,81,,3093,768,1555,0.49,3,5,0.6,765,1550,0.49,0.5,390,459,0.85,273,373,646,290,106,100,241,255,1929
1981,8,DEN,Denver Nuggets,Dan Issel,32.0,80,,2641,614,1220,0.5,2,12,0.17,612,1208,0.51,0.5,519,684,0.76,229,447,676,158,83,53,130,249,1749
1981,8,DEN,Denver Nuggets,David Thompson,26.0,77,,2620,734,1451,0.51,10,39,0.26,724,1412,0.51,0.51,489,615,0.8,107,180,287,231,53,60,250,231,1967
1981,8,DEN,Denver Nuggets,Dave Robisch,31.0,73,,1744,293,642,0.46,0,0,,293,642,0.46,0.46,171,211,0.81,130,284,414,129,30,28,69,152,757
1981,8,DEN,Denver Nuggets,Kenny Higgs,26.0,72,,1689,209,474,0.44,4,34,0.12,205,440,0.47,0.44,140,172,0.81,24,121,145,408,101,6,166,243,562
1981,8,DEN,Denver Nuggets,Cedrick Hordges,24.0,68,,1599,221,480,0.46,0,3,0.0,221,477,0.46,0.46,130,186,0.7,120,338,458,104,33,19,120,226,572
1981,8,DEN,Denver Nuggets,T.R. Dunn,25.0,82,,1427,146,354,0.41,0,2,0.0,146,352,0.42,0.41,79,121,0.65,133,168,301,81,66,29,56,141,371
1981,8,DEN,Denver Nuggets,Kiki Vandeweghe,22.0,51,,1376,229,537,0.43,0,7,0.0,229,530,0.43,0.43,130,159,0.82,86,184,270,94,29,24,86,116,588
1981,8,DEN,Denver Nuggets,Billy McKinney,25.0,49,,1134,203,412,0.49,1,10,0.1,202,402,0.5,0.49,118,140,0.84,24,86,110,203,61,7,88,124,525
1981,8,DEN,Denver Nuggets,Glen Gondrezick,25.0,73,,1077,155,329,0.47,0,2,0.0,155,327,0.47,0.47,112,137,0.82,136,171,307,83,91,20,69,185,422
1981,8,DEN,Denver Nuggets,John Roche,31.0,26,,611,82,179,0.46,9,27,0.33,73,152,0.48,0.48,58,77,0.75,5,32,37,140,17,8,52,44,231
1981,8,DEN,Denver Nuggets,Carl Nicks,22.0,27,,493,65,149,0.44,0,1,0.0,65,148,0.44,0.44,35,59,0.59,13,36,49,80,28,2,63,52,165
1981,8,DEN,Denver Nuggets,Kim Hughes,28.0,8,,159,11,25,0.44,0,0,,11,25,0.44,0.44,1,2,0.5,19,31,50,11,11,14,11,33,23
1981,8,DEN,Denver Nuggets,James Ray,23.0,18,,148,15,49,0.31,0,1,0.0,15,48,0.31,0.31,7,10,0.7,13,24,37,11,4,4,13,31,37
1981,8,DEN,Denver Nuggets,Ronnie Valentine,23.0,24,,123,37,98,0.38,1,2,0.5,36,96,0.38,0.38,9,19,0.47,10,20,30,7,7,4,16,23,84
1981,8,DEN,Denver Nuggets,Jawann Oldham,23.0,4,,21,2,6,0.33,0,0,,2,6,0.33,0.33,0,0,,3,2,5,0,0,2,2,3,4
1981,8,DEN,Denver Nuggets,Team Totals,,82,,19955,3784,7960,0.48,30,145,0.21,3754,7815,0.48,0.48,2388,3051,0.78,1325,2497,3822,2030,720,380,1444,2108,9986
