Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1984,9,DET,Detroit Pistons,Kelly Tripucka,24,5,,208,48,102,0.47,0,1,0.0,48,101,0.48,0.47,41,51,0.8,10,13,23,15,11,0,18,22,137
1984,9,DET,Detroit Pistons,Isiah Thomas,22,5,,198,39,83,0.47,2,6,0.33,37,77,0.48,0.48,27,35,0.77,7,12,19,55,13,6,23,22,107
1984,9,DET,Detroit Pistons,Bill Laimbeer,26,5,,165,29,51,0.57,0,0,,29,51,0.57,0.57,18,20,0.9,14,48,62,12,4,3,12,23,76
1984,9,DET,Detroit Pistons,John Long,27,5,,149,20,55,0.36,0,1,0.0,20,54,0.37,0.36,15,15,1.0,7,4,11,2,7,0,10,15,55
1984,9,DET,Detroit Pistons,Vinnie Johnson,27,5,,132,17,46,0.37,0,1,0.0,17,45,0.38,0.37,17,19,0.9,5,9,14,12,1,1,4,9,51
1984,9,DET,Detroit Pistons,Kent Benson,29,5,,129,16,37,0.43,0,0,,16,37,0.43,0.43,6,10,0.6,9,21,30,7,5,7,3,14,38
1984,9,DET,Detroit Pistons,Cliff Levingston,23,5,,101,15,19,0.79,0,0,,15,19,0.79,0.79,10,16,0.62,11,13,24,1,1,2,3,15,40
1984,9,DET,Detroit Pistons,Earl Cureton,26,5,,93,15,31,0.48,0,0,,15,31,0.48,0.48,2,6,0.33,14,19,33,2,2,1,5,9,32
1984,9,DET,Detroit Pistons,Terry Tyler,27,5,,42,10,24,0.42,0,0,,10,24,0.42,0.42,5,9,0.56,5,2,7,1,0,3,1,4,25
1984,9,DET,Detroit Pistons,Lionel Hollins,30,2,,6,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,0,0,0,0,1,2,0,0
1984,9,DET,Detroit Pistons,Ray Tolbert,25,1,,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
