Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
2010,21,3084,OKC,Oklahoma City Thunder,Russell Westbrook,1988-11-12,21.0,NBA,PG,6.0,6.0,212.0,43.0,91.0,0.47,5.0,12.0,0.42,38.0,79.0,0.48,0.5,32.0,38.0,0.84,10.0,26.0,36.0,36.0,10.0,1.0,14.0,13.0,123.0,0.0
2011,21,3084,OKC,Oklahoma City Thunder,Russell Westbrook,1988-11-12,22.0,NBA,PG,17.0,17.0,638.0,135.0,343.0,0.39,14.0,48.0,0.29,121.0,295.0,0.41,0.41,121.0,142.0,0.85,36.0,55.0,91.0,108.0,24.0,6.0,78.0,56.0,405.0,1.0
2012,21,3084,OKC,Oklahoma City Thunder,Russell Westbrook,1988-11-12,23.0,NBA,PG,20.0,20.0,767.0,177.0,407.0,0.44,18.0,65.0,0.28,159.0,342.0,0.46,0.46,89.0,111.0,0.8,22.0,87.0,109.0,117.0,31.0,8.0,45.0,49.0,461.0,0.0
2013,21,3084,OKC,Oklahoma City Thunder,Russell Westbrook,1988-11-12,24.0,NBA,PG,2.0,2.0,68.0,17.0,41.0,0.42,2.0,9.0,0.22,15.0,32.0,0.47,0.44,12.0,14.0,0.86,1.0,12.0,13.0,14.0,6.0,0.0,8.0,5.0,48.0,0.0
2014,21,3084,OKC,Oklahoma City Thunder,Russell Westbrook,1988-11-12,25.0,NBA,PG,19.0,19.0,735.0,167.0,398.0,0.42,28.0,100.0,0.28,139.0,298.0,0.47,0.46,145.0,164.0,0.88,45.0,93.0,138.0,153.0,41.0,6.0,83.0,62.0,507.0,3.0
2016,21,3084,OKC,Oklahoma City Thunder,Russell Westbrook,1988-11-12,27.0,NBA,PG,18.0,18.0,674.0,159.0,393.0,0.4,34.0,105.0,0.32,125.0,288.0,0.43,0.45,116.0,140.0,0.83,41.0,83.0,124.0,198.0,46.0,2.0,78.0,43.0,468.0,1.0
2017,21,3084,OKC,Oklahoma City Thunder,Russell Westbrook,1988-11-12,28.0,NBA,PG,5.0,5.0,194.0,59.0,152.0,0.39,13.0,49.0,0.26,46.0,103.0,0.45,0.43,56.0,70.0,0.8,9.0,49.0,58.0,54.0,12.0,2.0,30.0,16.0,187.0,3.0
2018,21,3084,OKC,Oklahoma City Thunder,Russell Westbrook,1988-11-12,29.0,NBA,PG,6.0,6.0,235.0,64.0,161.0,0.4,15.0,42.0,0.36,49.0,119.0,0.41,0.44,33.0,40.0,0.82,11.0,61.0,72.0,45.0,9.0,0.0,31.0,21.0,176.0,0.0
2019,21,3084,OKC,Oklahoma City Thunder,Russell Westbrook,1988-11-12,30.0,NBA,PG,5.0,5.0,197.0,40.0,111.0,0.36,11.0,34.0,0.32,29.0,77.0,0.38,0.41,23.0,26.0,0.88,7.0,37.0,44.0,53.0,5.0,3.0,23.0,19.0,114.0,2.0
2020,11,3084,HOU,Houston Rockets,Russell Westbrook,1988-11-12,31.0,NBA,PG,8.0,8.0,262.0,59.0,140.0,0.42,8.0,33.0,0.24,51.0,107.0,0.48,0.45,17.0,32.0,0.53,11.0,45.0,56.0,37.0,12.0,2.0,30.0,23.0,143.0,0.0
