Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
1980,31.0,1789,TOT,Total After Trade,Maurice Lucas,1952-02-18,27.0,NBA,PF,63.0,,1884.0,371.0,813.0,0.46,2.0,9.0,0.22,369.0,804.0,0.46,0.46,179.0,239.0,0.75,143.0,394.0,537.0,208.0,42.0,62.0,218.0,223.0,923.0,1.0
1980,25.0,1789,POR,Portland Trail Blazers,Maurice Lucas,1952-02-18,27.0,NBA,PF,41.0,,1176.0,243.0,552.0,0.44,2.0,5.0,0.4,241.0,547.0,0.44,0.44,100.0,137.0,0.73,85.0,240.0,325.0,125.0,23.0,35.0,148.0,141.0,588.0,0.0
1980,3.0,1789,NJN,New Jersey Nets,Maurice Lucas,1952-02-18,27.0,NBA,PF,22.0,,708.0,128.0,261.0,0.49,0.0,4.0,0.0,128.0,257.0,0.5,0.49,79.0,102.0,0.78,58.0,154.0,212.0,83.0,19.0,27.0,70.0,82.0,335.0,1.0
1981,3.0,1789,NJN,New Jersey Nets,Maurice Lucas,1952-02-18,28.0,NBA,PF,68.0,,2162.0,404.0,835.0,0.48,0.0,2.0,0.0,404.0,833.0,0.48,0.48,191.0,254.0,0.75,153.0,422.0,575.0,173.0,57.0,59.0,176.0,260.0,999.0,0.0
1982,20.0,1789,NYK,New York Knicks,Maurice Lucas,1952-02-18,29.0,NBA,PF,80.0,74.0,2671.0,505.0,1001.0,0.5,0.0,3.0,0.0,505.0,998.0,0.51,0.5,253.0,349.0,0.72,274.0,629.0,903.0,179.0,68.0,70.0,173.0,309.0,1263.0,0.0
1983,24.0,1789,PHO,Phoenix Suns,Maurice Lucas,1952-02-18,30.0,NBA,PF,77.0,71.0,2586.0,495.0,1045.0,0.47,1.0,3.0,0.33,494.0,1042.0,0.47,0.47,278.0,356.0,0.78,201.0,598.0,799.0,219.0,56.0,43.0,221.0,274.0,1269.0,0.0
1984,24.0,1789,PHO,Phoenix Suns,Maurice Lucas,1952-02-18,31.0,NBA,PF,75.0,69.0,2309.0,451.0,908.0,0.5,0.0,5.0,0.0,451.0,903.0,0.5,0.5,293.0,383.0,0.76,208.0,517.0,725.0,203.0,55.0,39.0,177.0,235.0,1195.0,0.0
1985,24.0,1789,PHO,Phoenix Suns,Maurice Lucas,1952-02-18,32.0,NBA,PF,63.0,22.0,1670.0,346.0,727.0,0.48,0.0,4.0,0.0,346.0,723.0,0.48,0.48,150.0,200.0,0.75,138.0,419.0,557.0,145.0,39.0,17.0,151.0,183.0,842.0,0.0
1986,14.0,1789,LAL,Los Angeles Lakers,Maurice Lucas,1952-02-18,33.0,NBA,PF,77.0,8.0,1750.0,302.0,653.0,0.46,1.0,2.0,0.5,301.0,651.0,0.46,0.46,180.0,230.0,0.78,164.0,402.0,566.0,84.0,45.0,24.0,121.0,253.0,785.0,0.0
1987,21.0,1789,SEA,Seattle Supersonics,Maurice Lucas,1952-02-18,34.0,NBA,PF,63.0,0.0,1120.0,175.0,388.0,0.45,0.0,5.0,0.0,175.0,383.0,0.46,0.45,150.0,187.0,0.8,88.0,219.0,307.0,65.0,34.0,21.0,75.0,171.0,500.0,0.0
1988,25.0,1789,POR,Portland Trail Blazers,Maurice Lucas,1952-02-18,35.0,NBA,PF,73.0,0.0,1191.0,168.0,373.0,0.45,0.0,3.0,0.0,168.0,370.0,0.45,0.45,109.0,148.0,0.74,101.0,214.0,315.0,94.0,33.0,10.0,73.0,188.0,445.0,0.0
