Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1998,12,636,IND,Indiana Pacers,Austin Croshere,"May 1, 1975",22.0,NBA,PF,26.0,0.0,9.3,1.2,3.3,0.37,0.2,0.5,0.31,1.1,2.8,0.38,0.4,0.3,0.5,0.57,0.4,1.3,1.7,0.3,0.3,0.2,0.5,1.2,2.9
1999,12,636,IND,Indiana Pacers,Austin Croshere,"May 1, 1975",23.0,NBA,PF,27.0,0.0,9.2,1.2,2.8,0.43,0.3,1.1,0.28,0.9,1.7,0.52,0.48,0.7,0.9,0.87,0.6,1.1,1.7,0.4,0.3,0.3,0.9,1.2,3.4
2001,12,636,IND,Indiana Pacers,Austin Croshere,"May 1, 1975",25.0,NBA,PF,81.0,23.0,23.1,3.4,8.7,0.39,0.9,2.6,0.34,2.5,6.1,0.42,0.44,2.5,2.9,0.87,1.5,3.3,4.8,1.1,0.4,0.6,1.7,2.2,10.1
2002,12,636,IND,Indiana Pacers,Austin Croshere,"May 1, 1975",26.0,NBA,PF,76.0,1.0,16.9,2.4,5.9,0.41,0.6,1.9,0.34,1.8,4.0,0.45,0.47,1.3,1.5,0.85,1.0,2.9,3.9,1.0,0.3,0.4,0.9,1.4,6.8
2003,12,636,IND,Indiana Pacers,Austin Croshere,"May 1, 1975",27.0,NBA,PF,49.0,0.0,12.9,1.8,4.3,0.41,0.6,1.4,0.39,1.2,2.9,0.42,0.48,1.1,1.3,0.82,0.8,2.3,3.2,1.1,0.1,0.3,0.6,1.0,5.1
2004,12,636,IND,Indiana Pacers,Austin Croshere,"May 1, 1975",28.0,NBA,PF,77.0,0.0,13.6,1.5,4.0,0.39,0.7,1.9,0.39,0.8,2.1,0.39,0.48,1.2,1.4,0.89,0.8,2.4,3.2,0.7,0.3,0.2,0.7,1.3,5.0
2005,12,636,IND,Indiana Pacers,Austin Croshere,"May 1, 1975",29.0,NBA,PF,73.0,22.0,25.0,2.6,6.8,0.38,0.6,2.4,0.26,2.0,4.4,0.44,0.42,3.1,3.5,0.88,1.4,3.7,5.1,1.3,0.7,0.2,1.4,2.1,8.9
2006,12,636,IND,Indiana Pacers,Austin Croshere,"May 1, 1975",30.0,NBA,PF,50.0,26.0,23.0,2.6,5.7,0.46,1.1,2.8,0.39,1.6,2.9,0.54,0.56,1.8,2.0,0.88,1.2,4.1,5.3,1.2,0.4,0.1,1.0,2.1,8.2
2007,7,636,DAL,Dallas Mavericks,Austin Croshere,"May 1, 1975",31.0,NBA,PF,61.0,2.0,11.9,1.3,3.6,0.35,0.4,1.5,0.29,0.9,2.1,0.4,0.41,0.7,0.9,0.86,0.5,2.5,3.0,0.7,0.2,0.1,0.5,1.1,3.7
2008,10,636,GSW,Golden State Warriors,Austin Croshere,"May 1, 1975",32.0,NBA,PF,44.0,0.0,10.4,1.4,3.1,0.44,0.5,1.4,0.36,0.9,1.7,0.51,0.53,0.7,0.7,0.91,0.8,1.6,2.4,0.7,0.2,0.1,0.5,1.4,3.9
2009,31,636,TOT,Total After Trade,Austin Croshere,"May 1, 1975",33.0,NBA,PF,14.0,0.0,7.1,1.0,2.8,0.36,0.4,1.1,0.33,0.6,1.7,0.38,0.42,0.5,0.9,0.58,0.8,1.6,2.4,0.6,0.1,0.1,0.4,0.4,2.9
2009,17,636,MIL,Milwaukee Bucks,Austin Croshere,"May 1, 1975",33.0,NBA,PF,11.0,0.0,7.0,1.1,2.7,0.4,0.5,1.0,0.46,0.6,1.7,0.37,0.48,0.6,1.0,0.64,0.6,1.5,2.2,0.5,0.1,0.1,0.4,0.4,3.3
2009,27,636,SAS,San Antonio Spurs,Austin Croshere,"May 1, 1975",33.0,NBA,PF,3.0,0.0,7.7,0.7,3.0,0.22,0.0,1.3,0.0,0.7,1.7,0.4,0.22,0.0,0.3,0.0,1.3,2.0,3.3,1.0,0.0,0.0,0.7,0.3,1.3
