Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2005,22,1338,ORL,Orlando Magic,19.0,NBA,PF,82.0,82.0,2670.0,352.0,677.0,0.52,0.0,2.0,0.0,352.0,675.0,0.52,0.52,277.0,413.0,0.67,287.0,536.0,823.0,75.0,77.0,136.0,165.0,232.0,981.0,,0.0
2006,22,1338,ORL,Orlando Magic,20.0,NBA,PF,82.0,81.0,3021.0,468.0,881.0,0.53,0.0,2.0,0.0,468.0,879.0,0.53,0.53,356.0,598.0,0.6,288.0,734.0,1022.0,125.0,65.0,115.0,217.0,277.0,1292.0,,0.0
2007,22,1338,ORL,Orlando Magic,21.0,NBA,C,82.0,82.0,3023.0,526.0,873.0,0.6,1.0,2.0,0.5,525.0,871.0,0.6,0.6,390.0,666.0,0.59,283.0,725.0,1008.0,158.0,70.0,156.0,317.0,245.0,1443.0,,0.0
2008,22,1338,ORL,Orlando Magic,22.0,NBA,C,82.0,82.0,3088.0,583.0,974.0,0.6,0.0,4.0,0.0,583.0,970.0,0.6,0.6,529.0,897.0,0.59,279.0,882.0,1161.0,110.0,74.0,176.0,263.0,274.0,1695.0,,0.0
2009,22,1338,ORL,Orlando Magic,23.0,NBA,C,79.0,79.0,2821.0,560.0,979.0,0.57,0.0,2.0,0.0,560.0,977.0,0.57,0.57,504.0,849.0,0.59,336.0,757.0,1093.0,112.0,77.0,231.0,240.0,270.0,1624.0,,1.0
2010,22,1338,ORL,Orlando Magic,24.0,NBA,C,82.0,82.0,2843.0,510.0,834.0,0.61,0.0,7.0,0.0,510.0,827.0,0.62,0.61,483.0,816.0,0.59,284.0,798.0,1082.0,144.0,75.0,228.0,274.0,287.0,1503.0,,0.0
2011,22,1338,ORL,Orlando Magic,25.0,NBA,C,78.0,78.0,2935.0,619.0,1044.0,0.59,0.0,7.0,0.0,619.0,1037.0,0.6,0.59,546.0,916.0,0.6,309.0,789.0,1098.0,107.0,107.0,186.0,279.0,258.0,1784.0,,0.0
2012,22,1338,ORL,Orlando Magic,26.0,NBA,C,54.0,54.0,2070.0,416.0,726.0,0.57,0.0,7.0,0.0,416.0,719.0,0.58,0.57,281.0,572.0,0.49,200.0,585.0,785.0,104.0,81.0,116.0,175.0,159.0,1113.0,,0.0
2013,14,1338,LAL,Los Angeles Lakers,27.0,NBA,C,76.0,76.0,2722.0,470.0,813.0,0.58,1.0,6.0,0.17,469.0,807.0,0.58,0.58,355.0,721.0,0.49,251.0,694.0,945.0,108.0,84.0,186.0,225.0,291.0,1296.0,,0.0
2014,11,1338,HOU,Houston Rockets,28.0,NBA,C,71.0,71.0,2396.0,473.0,800.0,0.59,2.0,7.0,0.29,471.0,793.0,0.59,0.59,349.0,638.0,0.55,231.0,635.0,866.0,131.0,60.0,128.0,229.0,240.0,1297.0,,0.0
2015,11,1338,HOU,Houston Rockets,29.0,NBA,C,41.0,41.0,1223.0,251.0,423.0,0.59,1.0,2.0,0.5,250.0,421.0,0.59,0.6,143.0,271.0,0.53,110.0,321.0,431.0,50.0,28.0,53.0,115.0,137.0,646.0,,0.0
2016,11,1338,HOU,Houston Rockets,30.0,NBA,C,71.0,71.0,2280.0,372.0,600.0,0.62,0.0,6.0,0.0,372.0,594.0,0.63,0.62,232.0,474.0,0.49,238.0,597.0,835.0,98.0,69.0,113.0,166.0,219.0,976.0,,0.0
2017,1,1338,ATL,Atlanta Hawks,31.0,NBA,C,74.0,74.0,2199.0,388.0,613.0,0.63,0.0,2.0,0.0,388.0,611.0,0.64,0.63,226.0,424.0,0.53,296.0,644.0,940.0,104.0,64.0,92.0,170.0,203.0,1002.0,,0.0
2018,4,1338,CHO,Charlotte Hornets,32.0,NBA,C,81.0,81.0,2463.0,506.0,911.0,0.56,1.0,7.0,0.14,505.0,904.0,0.56,0.56,334.0,582.0,0.57,255.0,757.0,1012.0,105.0,48.0,131.0,208.0,249.0,1347.0,,0.0
2019,30,1338,WAS,Washington Wizards,33.0,NBA,C,9.0,9.0,230.0,43.0,69.0,0.62,0.0,0.0,,43.0,69.0,0.62,0.62,29.0,48.0,0.6,24.0,59.0,83.0,4.0,7.0,4.0,16.0,34.0,115.0,,0.0
2020,14,1338,LAL,Los Angeles Lakers,34.0,NBA,C,69.0,2.0,1306.0,202.0,277.0,0.73,3.0,5.0,0.6,199.0,272.0,0.73,0.74,110.0,214.0,0.51,172.0,335.0,507.0,45.0,31.0,79.0,84.0,222.0,517.0,,0.0
2021,23,1338,PHI,Philadelphia 76Ers,35.0,NBA,C,23.0,4.0,396.0,51.0,89.0,0.57,3.0,7.0,0.43,48.0,82.0,0.58,0.59,33.0,70.0,0.47,60.0,123.0,183.0,15.0,12.0,21.0,46.0,74.0,138.0,,0.0
