Player_ID,Player_Name,Team_ABV
7,"Alex Abrines",OKC
17,"Steven Adams",OKC
33,"Cole Aldrich",OKC
54,"Ray Allen",SEA
69,"Antonio Anderson",OKC
77,"Kenny Anderson",SEA
93,"Carmelo Anthony",OKC
95,"Greg Anthony",SEA
115,"Vincent Askew",SEA
117,"Chucky Atkins",OKC
119,"D.J. Augustin",OKC
126,"Dennis Awtrey",SEA
141,"James Bailey",SEA
148,"Vin Baker",SEA
154,"Greg Ballard",SEA
173,"Dana Barros",SEA
174,"Brent Barry",SEA
175,"Drew Barry",SEA
199,"Darius Bazley",OKC
217,"Benoit Benjamin",SEA
256,"Cory Blackwell",SEA
297,"Calvin Booth",SEA
301,"Lazaro Borrell",SEA
310,"Ryan Bowen",OKC
323,"Charles Bradley",SEA
342,"Corey Brewer",OKC
346,"Ronnie Brewer",OKC
348,"Frank Brickowski",SEA
367,"Andre Brown",SEA
379,"Fred Brown",SEA
401,"Tony Brown",SEA
405,"Rick Brunson",SEA
432,"Deonte Burton",OKC
436,"Caron Butler",OKC
451,"Michael Cage",SEA
463,"Elden Campbell",SEA
495,"Bill Cartwright",SEA
512,"Tom Chambers",SEA
513,"Mike Champion",SEA
536,"Semaj Christon",OKC
553,"Mateen Cleaves",SEA
561,"Norris Cole",OKC
579,"Nick Collison",SEA
579,"Nick Collison",OKC
586,"Marty Conlon",SEA
592,"Daequan Cook",OKC
602,"Joe Cooper",SEA
611,"Dave Corzine",SEA
614,"James Cotton",SEA
639,"John Crotty",SEA
644,"Terry Cummings",SEA
659,"Quintin Dailey",SEA
663,"Antonio Daniels",SEA
686,"Emanual Davis",SEA
701,"Tyler Davis",OKC
738,"Hamidou Diallo",OKC
756,"James Donaldson",SEA
761,"Jacky Dorsey",SEA
764,"Luguentz Dort",OKC
777,"PJ Dozier",OKC
788,"Predrag Drobnjak",SEA
805,"Ronald Dupree",SEA
806,"Kevin Durant",SEA
806,"Kevin Durant",OKC
838,"Craig Ehlo",SEA
849,"Dale Ellis",SEA
854,"Pervis Ellison",SEA
856,"Francisco Elson",SEA
876,"Jawun Evans",OKC
880,"Reggie Evans",SEA
883,"Patrick Ewing",SEA
891,"Desmon Farmer",SEA
892,"Jim Farmer",SEA
902,"Noel Felix",SEA
903,"Raymond Felton",OKC
905,"Terrance Ferguson",OKC
919,"Derek Fisher",OKC
932,"Alphonso Ford",SEA
938,"Sherell Ford",SEA
941,"Joseph Forte",SEA
943,"Danny Fortson",SEA
944,"Greg Foster",SEA
952,"Randy Foye",OKC
954,"Richie Frahm",SEA
983,"Danilo Gallinari",OKC
1017,"Mickael Gelabale",SEA
1019,"Paul George",OKC
1029,"Taj Gibson",OKC
1033,"Shai Gilgeous-Alexander",OKC
1035,"Eddie Gill",SEA
1036,"Kendall Gill",SEA
1048,"Andreas Glyniadakis",SEA
1053,"Ryan Gomes",OKC
1069,"Greg Graham",SEA
1083,"Horace Grant",SEA
1084,"Jerami Grant",OKC
1088,"Donte Grantham",OKC
1106,"Jeff Green",SEA
1106,"Jeff Green",OKC
1122,"John Greig",SEA
1124,"Adrian Griffin",SEA
1152,"Devon Hall",OKC
1158,"Daniel Hamilton",OKC
1178,"Bill Hanzlik",SEA
1183,"James Harden",OKC
1219,"Antonio Harvey",SEA
1228,"Steve Hawes",SEA
1229,"Hersey Hawkins",SEA
1238,"Steve Hayes",SEA
1240,"Lazar Hayward",OKC
1252,"Gerald Henderson",SEA
1274,"Kevin Hervey",OKC
1282,"Rod Higgins",SEA
1288,"Armond Hill",SEA
1293,"Steven Hill",OKC
1336,"Byron Houston",SEA
1343,"Stephen Howard",SEA
1350,"Josh Huestis",OKC
1376,"Serge Ibaka",OKC
1381,"Ersan Ilyasova",OKC
1392,"Royal Ivey",OKC
1416,"Reggie Jackson",OKC
1427,"Jerome James",SEA
1457,"Grant Jerrett",OKC
1467,"Avery Johnson",SEA
1476,"Clay Johnson",SEA
1477,"Clemon Johnson",SEA
1478,"Dakari Johnson",OKC
1482,"Dennis Johnson",SEA
1484,"Edward Lee Johnson",SEA
1485,"Edward Arnet Johnson",SEA
1487,"Ervin Johnson",SEA
1489,"George Thomas Johnson",SEA
1495,"John Johnson",SEA
1514,"Steve Johnson",SEA
1517,"Vinnie Johnson",SEA
1557,"Perry Jones",OKC
1580,"Enes Kanter",OKC
1592,"Greg Kelser",SEA
1593,"Shawn Kemp",SEA
1600,"Jerome Kersey",SEA
1617,"Chris King",SEA
1623,"Reggie King",SEA
1624,"Rich King",SEA
1629,"Curtis Kitchen",SEA
1644,"Bart Kofoed",SEA
1658,"Nenad Krstic",OKC
1667,"Ibo Kutluay",SEA
1672,"Tom LaGarde",SEA
1681,"Jeremy Lamb",OKC
1703,"Joffrey Lauvergne",OKC
1748,"Rashard Lewis",SEA
1752,"DeAndre Liggins",OKC
1756,"Alton Lister",SEA
1758,"Randy Livingston",SEA
1759,"Shaun Livingston",OKC
1769,"Art Long",SEA
1784,"John Lucas",SEA
1786,"Maurice Lucas",SEA
1789,"Timothe Luwawu-Cabarrot",OKC
1796,"Don MacLean",SEA
1837,"Sarunas Marciulionis",SEA
1844,"Donyell Marshall",SEA
1850,"Brian Martin",SEA
1863,"Kevin Martin",OKC
1867,"Desmond Mason",SEA
1867,"Desmond Mason",OKC
1881,"Vernon Maxwell",SEA
1887,"Eric Maynor",OKC
1910,"Tim McCormick",SEA
1911,"Jelani McCoy",SEA
