Player_ID,Player_Name,Team_ABV
66,"Chris Andersen",NOK
110,"Hilton Armstrong",NOK
180,"Brandon Bass",NOK
377,"Devin Brown",NOK
393,"P.J. Brown",NOK
441,"Rasual Butler",NOK
514,"Tyson Chandler",NOK
551,"Speedy Claxton",NOK
921,"Marcus Fizer",NOK
1396,"Bobby Jackson",NOK
1408,"Marc Jackson",NOK
1503,"Linton Johnson",NOK
1684,"Maciej Lampe",NOK
1798,"Arvydas Macijauskas",NOK
1867,"Desmond Mason",NOK
2107,"Bostjan Nachbar",NOK
2158,"Moochie Norris",NOK
2244,"Jannero Pargo",NOK
2264,"Chris Paul",NOK
2637,"Cedric Simmons",NOK
2682,"J.R. Smith",NOK
2717,"Kirk Snyder",NOK
2764,"Peja Stojakovic",NOK
2977,"Marcus Vinicius",NOK
2987,"Jackson Vroman",NOK
3074,"David West",NOK
3128,"Aaron Williams",NOK
