Player_ID,Player_Name,Team_ID
6,"Tom Abernethy",10
21,"Jeff Adrien",10
35,"Chuck Aleksinas",10
43,"Victor Alexander",10
45,"Steve Alford",10
65,"Lou Amundson",10
104,"Gilbert Arenas",10
107,"B.J. Armstrong",10
110,"Hilton Armstrong",10
115,"Vincent Askew",10
130,"Kelenna Azubuike",10
154,"Greg Ballard",10
161,"Leandro Barbosa",10
167,"Harrison Barnes",10
169,"Matt Barnes",10
172,"Earl Barron",10
175,"Drew Barry",10
176,"Jon Barry",10
191,"Kenny Battle",10
198,"Kent Bazemore",10
208,"Marco Belinelli",10
209,"Charlie Bell",10
210,"Jordan Bell",10
211,"Raja Bell",10
214,"Dragan Bender",10
226,"Keith Benson",10
241,"Andris Biedrins",10
251,"Uwe Blab",10
260,"Steve Blake",10
266,"Mookie Blaylock",10
270,"Corie Blount",10
278,"Muggsy Bogues",10
279,"Andrew Bogut",10
282,"Manute Bol",10
293,"Melvin Booker",10
305,"Chris Boucher",10
314,"Ky Bowman",10
316,"Earl Boykins",10
337,"Mike Bratz",10
340,"J.R. Bremer",10
345,"Ron Brewer",10
364,"MarShon Brooks",10
372,"Chucky Brown",10
385,"Kwame Brown",10
396,"Rickey Brown",10
417,"Jud Buechler",10
424,"Alec Burks",10
430,"Scott Burrell",10
434,"Steve Burtt",10
445,"Will Bynum",10
447,"Zarko Cabarkapa",10
450,"Jason Caffey",10
469,"Brian Cardinal",10
473,"Rodney Carney",10
476,"Chris Carr",10
482,"Joe Barry Carroll",10
498,"Omri Casspi",10
503,"Willie Cauley-Stein",10
520,"Calbert Cheaney",10
523,"Phil Chenier",10
532,"Marquese Chriss",10
538,"Robert Churchwell",10
542,"Ian Clark",10
551,"Speedy Claxton",10
560,"John Coker",10
565,"Bimbo Coles",10
568,"Don Collins",10
588,"Lester Conner",10
596,"Quinn Cook",10
604,"Wayne Cooper",10
615,"John Coughran",10
616,"Joe Courtney",10
618,"DeMarcus Cousins",10
625,"Jamal Crawford",10
627,"Jordan Crawford",10
