Season,Team ID,Team ABV,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,ORB%,DRB%,Arena,Attend.,Attend./G
2003,7,DAL,Dallas Mavericks,28.1,60.0,22.0,62,20,7.78,0.12,7.9,110.7,102.3,8.4,92.5,0.26,0.24,0.54,25.4,70.9,American Airlines Center,816429,19913
2003,26,SAC,Sacramento Kings,28.3,59.0,23.0,59,23,6.5,0.18,6.68,105.9,99.1,6.8,95.4,0.26,0.18,0.54,25.6,70.6,ARCO Arena (II),709997,17317
2003,27,SAS,San Antonio Spurs,28.4,60.0,22.0,57,25,5.41,0.23,5.65,105.6,99.7,5.9,90.0,0.35,0.2,0.54,28.8,71.3,SBC Center,735970,17950
2003,3,NJN,New Jersey Nets,27.3,49.0,33.0,56,26,5.22,-0.8,4.42,103.8,98.1,5.7,91.6,0.33,0.16,0.52,28.7,73.1,Continental Airlines Arena,622574,15185
2003,9,DET,Detroit Pistons,29.0,50.0,32.0,52,30,3.68,-0.71,2.97,104.1,99.9,4.2,86.8,0.32,0.24,0.52,25.9,74.0,The Palace of Auburn Hills,839278,20470
2003,25,POR,Portland Trail Blazers,29.2,50.0,32.0,49,33,2.61,0.36,2.97,105.5,102.6,2.9,89.4,0.3,0.18,0.53,30.2,72.3,Rose Garden Arena,796258,19421
2003,12,IND,Indiana Pacers,25.9,48.0,34.0,51,31,3.49,-0.7,2.79,104.6,100.8,3.8,91.6,0.34,0.17,0.52,29.0,72.3,Conseco Fieldhouse,670461,16353
2003,29,UTA,Utah Jazz,30.9,47.0,35.0,48,34,2.39,0.37,2.76,105.5,102.8,2.7,89.3,0.38,0.1,0.54,32.5,70.2,Delta Center,786034,19172
2003,14,LAL,Los Angeles Lakers,28.1,50.0,32.0,48,34,2.33,0.38,2.71,107.2,104.7,2.5,92.5,0.31,0.2,0.53,30.2,72.7,STAPLES Center,777888,18973
2003,18,MIN,Minnesota Timberwolves,28.2,51.0,31.0,47,35,2.07,0.39,2.46,106.1,103.8,2.3,91.9,0.27,0.12,0.53,28.2,72.9,Target Center,643684,15700
2003,11,HOU,Houston Rockets,25.9,43.0,39.0,46,36,1.48,0.42,1.89,104.3,102.6,1.7,88.8,0.32,0.2,0.52,30.3,72.4,Compaq Center,565166,13785
2003,23,PHI,Philadelphia 76Ers,28.3,48.0,34.0,48,34,2.3,-0.55,1.76,105.0,102.5,2.5,91.4,0.34,0.12,0.52,30.3,72.7,First Union Center,807097,19685
2003,24,PHO,Phoenix Suns,25.2,44.0,38.0,44,38,1.13,0.43,1.57,103.7,102.5,1.2,91.5,0.28,0.17,0.51,29.7,70.3,America West Arena,666559,16258
2003,19,NOH,New Orleans Hornets,29.1,47.0,35.0,47,35,2.11,-0.59,1.52,103.9,101.6,2.3,89.4,0.28,0.16,0.51,31.7,73.1,New Orleans Arena,641683,15651
2003,21,SEA,Seattle Supersonics,26.9,40.0,42.0,41,41,-0.12,0.49,0.37,103.7,103.9,-0.2,88.0,0.27,0.2,0.51,28.1,71.8,KeyArena at Seattle Center,637194,15541
