Season,Team ID,Team ABV,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,DRB%,Arena,Attend.,Attend./G
2019,17,MIL,Milwaukee Bucks,26.9,60.0,22.0,61,21,8.87,-0.82,8.04,113.8,105.2,8.6,103.3,0.26,0.42,0.58,0.55,12.0,20.8,0.2,80.3,Fiserv Forum,721692,17602
2019,10,GSW,Golden State Warriors,28.4,57.0,25.0,56,26,6.46,-0.04,6.42,115.9,109.5,6.4,100.9,0.23,0.38,0.6,0.56,12.6,22.5,0.18,77.1,Oracle Arena,803436,19596
2019,28,TOR,Toronto Raptors,27.3,58.0,24.0,56,26,6.09,-0.6,5.49,113.1,107.1,6.0,100.2,0.25,0.38,0.58,0.54,12.4,21.9,0.2,77.1,Scotiabank Arena,812822,19825
2019,29,UTA,Utah Jazz,27.3,50.0,32.0,54,28,5.26,0.03,5.28,110.9,105.7,5.2,100.3,0.3,0.39,0.57,0.54,13.4,22.9,0.22,80.3,Vivint Smart Home Arena,750546,18306
2019,11,HOU,Houston Rockets,29.2,53.0,29.0,53,29,4.77,0.19,4.96,115.5,110.7,4.8,97.9,0.28,0.52,0.58,0.54,12.0,22.8,0.22,74.4,Toyota Center,740392,18058
2019,25,POR,Portland Trail Blazers,26.2,53.0,29.0,51,31,4.2,0.24,4.43,114.7,110.5,4.2,99.1,0.26,0.34,0.57,0.53,12.1,26.6,0.21,77.9,Moda Center,799345,19496
2019,8,DEN,Denver Nuggets,24.9,54.0,28.0,51,31,3.95,0.24,4.19,113.0,108.9,4.1,97.7,0.23,0.35,0.56,0.53,11.9,26.6,0.18,78.0,Pepsi Center,756457,18450
2019,2,BOS,Boston Celtics,25.7,49.0,33.0,52,30,4.44,-0.54,3.9,112.2,107.8,4.4,99.6,0.22,0.38,0.57,0.53,11.5,21.6,0.17,77.0,TD Garden,763584,18624
2019,21,OKC,Oklahoma City Thunder,25.7,49.0,33.0,50,32,3.4,0.15,3.56,110.3,107.0,3.3,102.8,0.27,0.35,0.55,0.51,11.7,26.0,0.19,78.2,Chesapeake Energy Arena,746323,18203
2019,12,IND,Indiana Pacers,27.0,48.0,34.0,50,32,3.33,-0.57,2.76,109.9,106.5,3.4,98.1,0.24,0.29,0.56,0.53,12.4,21.9,0.18,76.2,Bankers Life Fieldhouse,689310,16812
2019,23,PHI,Philadelphia 76Ers,26.4,51.0,31.0,48,34,2.7,-0.44,2.25,112.6,110.0,2.6,101.6,0.31,0.34,0.57,0.53,12.9,24.5,0.24,78.6,Wells Fargo Center,838342,20447
2019,27,SAS,San Antonio Spurs,28.8,48.0,34.0,45,37,1.68,0.12,1.8,112.9,111.2,1.7,98.3,0.24,0.29,0.57,0.53,11.0,21.0,0.19,79.4,AT&T Center,750616,18308
2019,13,LAC,Los Angeles Clippers,27.2,48.0,34.0,43,39,0.85,0.23,1.09,112.4,111.5,0.9,101.7,0.33,0.3,0.57,0.53,12.7,22.0,0.26,76.0,STAPLES Center,710327,17325
2019,22,ORL,Orlando Magic,25.7,42.0,40.0,43,39,0.71,-0.43,0.28,108.9,108.1,0.8,98.1,0.22,0.36,0.55,0.52,11.9,22.0,0.17,79.7,Amway Center,720024,17431
2019,3,BRK,Brooklyn Nets,25.4,42.0,40.0,41,41,-0.07,-0.33,-0.4,109.6,109.7,-0.1,100.8,0.28,0.4,0.56,0.52,13.0,23.8,0.21,76.4,Barclays Center,612597,14941
2019,16,MIA,Miami Heat,27.0,39.0,43.0,40,42,-0.23,-0.22,-0.45,107.3,107.6,-0.3,98.2,0.25,0.37,0.54,0.52,13.1,24.8,0.17,77.6,AmericanAirlines Arena,805264,19641
2019,9,DET,Detroit Pistons,26.9,41.0,41.0,40,42,-0.24,-0.31,-0.56,109.0,109.2,-0.2,97.4,0.26,0.39,0.54,0.51,12.3,24.8,0.2,78.7,Little Caesars Arena,675963,16487
