Season,Team ID,Team ABV,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,ORB%,DRB%,Arena,Attend.,Attend./G
2006,27,SAS,San Antonio Spurs,29.8,63.0,19.0,61,21,6.82,-0.13,6.69,107.3,99.6,7.7,88.5,0.3,0.22,0.55,26.0,74.2,SBC Center,770677,18797
2006,9,DET,Detroit Pistons,28.5,64.0,18.0,60,22,6.67,-0.44,6.24,110.8,103.1,7.7,86.8,0.3,0.22,0.54,28.9,71.2,The Palace of Auburn Hills,905116,22076
2006,7,DAL,Dallas Mavericks,27.5,60.0,22.0,58,24,6.07,-0.11,5.96,111.8,105.0,6.8,87.8,0.36,0.18,0.55,31.8,72.2,American Airlines Center,824693,20114
2006,24,PHO,Phoenix Suns,27.5,54.0,28.0,55,27,5.55,-0.07,5.48,111.5,105.8,5.7,95.8,0.21,0.29,0.57,22.1,72.1,America West Arena,730179,17809
2006,15,MEM,Memphis Grizzlies,28.1,49.0,33.0,52,30,3.7,0.05,3.74,105.9,101.6,4.3,86.3,0.34,0.26,0.54,25.8,72.0,FedEx Forum,647533,15793
2006,16,MIA,Miami Heat,29.2,52.0,30.0,52,30,3.87,-0.27,3.59,108.7,104.5,4.2,91.6,0.36,0.23,0.56,26.7,76.4,AmericanAirlines Arena,818149,19955
2006,14,LAL,Los Angeles Lakers,25.1,45.0,37.0,48,34,2.5,0.03,2.53,108.4,105.7,2.7,90.9,0.33,0.24,0.54,28.8,73.6,STAPLES Center,774189,18883
2006,6,CLE,Cleveland Cavaliers,27.1,50.0,32.0,48,34,2.23,-0.06,2.17,107.8,105.4,2.4,89.8,0.36,0.23,0.54,28.4,75.7,Gund Arena,792391,19327
2006,13,LAC,Los Angeles Clippers,26.8,47.0,35.0,46,36,1.57,0.18,1.75,105.3,103.6,1.7,91.7,0.33,0.13,0.54,25.4,75.9,STAPLES Center,712409,17376
2006,12,IND,Indiana Pacers,27.3,41.0,41.0,47,35,1.89,-0.27,1.62,104.5,102.4,2.1,89.7,0.34,0.24,0.53,27.1,72.6,Conseco Fieldhouse,663368,16180
2006,26,SAC,Sacramento Kings,27.2,44.0,38.0,45,37,1.54,0.07,1.61,106.7,105.0,1.7,91.9,0.33,0.22,0.54,25.4,72.2,ARCO Arena (II),709997,17317
2006,30,WAS,Washington Wizards,26.5,42.0,40.0,46,36,1.85,-0.29,1.57,109.3,107.3,2.0,92.3,0.38,0.21,0.54,29.5,70.9,MCI Center,705062,17197
2006,3,NJN,New Jersey Nets,28.6,49.0,33.0,45,37,1.37,-0.26,1.11,103.9,102.4,1.5,89.8,0.35,0.23,0.53,24.0,76.3,Continental Airlines Arena,691543,16867
2006,5,CHI,Chicago Bulls,24.1,41.0,41.0,43,39,0.63,-0.12,0.51,104.0,103.4,0.6,92.9,0.29,0.22,0.53,26.3,74.7,United Center,868720,21188
2006,8,DEN,Denver Nuggets,27.4,44.0,38.0,42,40,0.23,0.13,0.36,105.5,105.2,0.3,93.9,0.35,0.16,0.54,26.8,72.0,Pepsi Center,702555,17135
2006,17,MIL,Milwaukee Bucks,25.5,40.0,42.0,38,44,-1.04,-0.04,-1.07,106.3,107.4,-1.1,91.2,0.32,0.2,0.54,27.3,74.6,Bradley Center,681337,16618
