Season,Team ID,Team ABV,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,ORB%,DRB%,Arena,Attend.,Attend./G
1993,21,SEA,Seattle Supersonics,27.7,55.0,27.0,59,23,7.07,-0.42,6.66,112.3,104.9,7.4,96.0,0.32,0.08,0.55,35.5,67.7,Seattle Center Coliseum,646589,
1993,6,CLE,Cleveland Cavaliers,28.8,54.0,28.0,58,24,6.45,-0.15,6.3,112.7,106.0,6.7,94.8,0.31,0.11,0.56,28.1,69.1,Coliseum at Richfield,751465,
1993,24,PHO,Phoenix Suns,28.2,62.0,20.0,57,25,6.66,-0.39,6.27,113.3,106.7,6.6,99.8,0.36,0.15,0.57,33.0,69.2,America West Arena,779943,
1993,5,CHI,Chicago Bulls,28.1,57.0,25.0,58,24,6.29,-0.1,6.19,112.9,106.1,6.8,92.5,0.27,0.09,0.54,36.3,68.7,Chicago Stadium,759656,
1993,20,NYK,New York Knicks,28.3,60.0,22.0,58,24,6.16,-0.29,5.87,106.1,99.7,6.4,94.5,0.34,0.09,0.53,33.1,72.1,Madison Square Garden (IV),804840,
1993,11,HOU,Houston Rockets,27.4,55.0,27.0,53,29,4.23,-0.66,3.57,109.6,105.2,4.4,94.4,0.31,0.16,0.56,30.0,68.5,The Summit,554210,
1993,25,POR,Portland Trail Blazers,28.2,51.0,31.0,49,33,3.11,-0.19,2.92,108.3,105.2,3.1,99.1,0.35,0.12,0.53,32.7,71.0,Memorial Coliseum,528408,12888.0
1993,27,SAS,San Antonio Spurs,27.5,49.0,33.0,48,34,2.67,-0.46,2.21,109.6,106.8,2.8,95.4,0.35,0.1,0.56,27.8,70.1,HemisFair Arena,658337,
1993,12,IND,Indiana Pacers,26.8,41.0,41.0,46,36,1.7,0.08,1.77,111.9,110.1,1.8,96.0,0.34,0.11,0.55,34.2,67.4,Market Square Arena,530891,
1993,29,UTA,Utah Jazz,29.3,47.0,35.0,47,35,2.17,-0.43,1.74,109.6,107.4,2.2,96.5,0.36,0.06,0.55,31.0,68.7,Delta Center,815892,
1993,22,ORL,Orlando Magic,25.8,41.0,41.0,45,37,1.32,0.03,1.35,108.5,107.1,1.4,96.3,0.37,0.13,0.55,31.4,68.8,Orlando Arena,621191,
1993,3,NJN,New Jersey Nets,27.3,43.0,39.0,45,37,1.26,-0.05,1.2,106.5,105.2,1.3,96.0,0.32,0.07,0.52,35.5,69.5,Brendan Byrne Arena,620416,
1993,2,BOS,Boston Celtics,28.6,48.0,34.0,43,39,0.89,0.04,0.93,108.7,107.8,0.9,94.9,0.27,0.05,0.54,31.2,69.0,Boston Garden,608495,
1993,13,LAC,Los Angeles Clippers,26.7,41.0,41.0,42,40,0.35,-0.03,0.33,107.4,107.1,0.3,99.1,0.3,0.07,0.53,32.7,66.7,Los Angeles Memorial Sports Arena,532625,
1993,4,CHO,Charlotte Hornets,25.7,44.0,38.0,40,42,-0.24,0.22,-0.02,109.5,109.7,-0.2,100.2,0.33,0.07,0.55,31.3,65.0,Charlotte Coliseum,971880,
1993,1,ATL,Atlanta Hawks,27.1,43.0,39.0,39,43,-0.87,0.2,-0.67,109.3,110.2,-0.9,97.6,0.3,0.15,0.53,34.8,68.5,Omni Coliseum,491229,
1993,16,MIA,Miami Heat,25.2,36.0,46.0,38,44,-1.15,0.21,-0.93,107.7,108.9,-1.2,94.6,0.36,0.14,0.54,31.9,69.8,Miami Arena,614915,
1993,10,GSW,Golden State Warriors,25.0,34.0,48.0,38,44,-0.99,0.05,-0.94,109.2,110.2,-1.0,99.5,0.34,0.12,0.54,34.2,67.0,Oakland-Alameda County Coliseum Arena,616025,
1993,9,DET,Detroit Pistons,29.9,40.0,42.0,37,45,-1.39,0.29,-1.1,107.4,108.9,-1.5,93.2,0.27,0.13,0.51,34.6,67.8,The Palace of Auburn Hills,889614,
1993,14,LAL,Los Angeles Lakers,28.0,39.0,43.0,38,44,-1.27,0.06,-1.2,107.6,108.9,-1.3,96.2,0.33,0.09,0.53,31.4,66.4,Great Western Forum,633655,
1993,8,DEN,Denver Nuggets,24.8,36.0,46.0,36,46,-1.74,-0.4,-2.14,104.6,106.3,-1.7,99.8,0.32,0.06,0.52,33.6,68.9,McNichols Sports Arena,586407,
1993,26,SAC,Sacramento Kings,26.5,25.0,57.0,33,49,-3.17,0.17,-3.0,106.5,109.6,-3.1,100.8,0.34,0.11,0.53,30.7,66.7,ARCO Arena (II),709997,
1993,17,MIL,Milwaukee Bucks,26.9,28.0,54.0,31,51,-3.73,0.47,-3.26,106.2,110.1,-3.9,96.1,0.3,0.14,0.54,30.5,62.5,Bradley Center,660939,
1993,23,PHI,Philadelphia 76Ers,27.1,26.0,56.0,26,56,-5.77,0.51,-5.25,104.6,110.4,-5.8,98.5,0.32,0.13,0.53,28.1,65.9,The Spectrum,515284,
1993,30,WAB,Washington Bullets,26.1,22.0,60.0,23,59,-7.04,0.55,-6.49,103.6,110.8,-7.2,97.7,0.3,0.08,0.52,28.8,67.1,Capital Centre,558966,
1993,18,MIN,Minnesota Timberwolves,25.8,19.0,63.0,21,61,-7.78,0.16,-7.62,103.6,111.8,-8.2,93.8,0.34,0.09,0.54,28.7,66.3,Target Center,754593,
1993,7,DAL,Dallas Mavericks,24.9,11.0,71.0,10,72,-15.2,0.52,-14.68,99.5,114.7,-15.2,99.5,0.3,0.12,0.5,31.1,68.1,Reunion Arena,554724,
