Season,Team ID,Team ABV,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,DRB%,Arena,Attend.,Attend./G
2004,27,SAS,San Antonio Spurs,27.3,57.0,25.0,62,20,7.22,0.29,7.51,102.2,94.1,8.1,89.2,0.32,0.18,0.51,0.47,14.1,29.5,0.22,74.6,SBC Center,739706,18042
2004,18,MIN,Minnesota Timberwolves,29.7,58.0,24.0,57,25,5.49,0.37,5.86,105.9,99.7,6.2,89.0,0.26,0.14,0.53,0.49,12.4,26.7,0.21,72.5,Target Center,723071,17636
2004,26,SAC,Sacramento Kings,29.3,55.0,27.0,55,27,5.01,0.4,5.41,110.3,104.9,5.4,92.8,0.3,0.22,0.55,0.51,13.0,26.0,0.24,69.8,ARCO Arena (II),709997,17317
2004,9,DET,Detroit Pistons,27.4,54.0,28.0,59,23,5.84,-0.81,5.04,102.0,95.4,6.6,87.9,0.33,0.15,0.51,0.46,14.7,30.1,0.25,71.8,The Palace of Auburn Hills,872902,21290
2004,12,IND,Indiana Pacers,27.1,61.0,21.0,58,24,5.76,-0.82,4.93,103.8,97.2,6.6,87.5,0.32,0.2,0.52,0.47,14.1,28.5,0.24,73.9,Conseco Fieldhouse,678326,16545
2004,7,DAL,Dallas Mavericks,27.4,52.0,30.0,53,29,4.44,0.42,4.86,112.1,107.4,4.7,93.2,0.26,0.2,0.54,0.5,11.1,31.4,0.2,71.6,American Airlines Center,825594,20136
2004,14,LAL,Los Angeles Lakers,29.8,56.0,26.0,52,30,3.9,0.45,4.35,105.5,101.3,4.2,92.3,0.35,0.17,0.52,0.48,12.8,28.1,0.24,73.3,STAPLES Center,777757,18970
2004,15,MEM,Memphis Grizzlies,26.0,50.0,32.0,48,34,2.44,0.52,2.95,104.8,102.2,2.6,91.4,0.32,0.2,0.52,0.48,13.9,29.5,0.23,68.4,Pyramid Arena,622723,15188
2004,11,HOU,Houston Rockets,28.3,45.0,37.0,47,35,1.73,0.55,2.28,100.9,99.0,1.9,87.8,0.29,0.23,0.53,0.48,16.4,26.5,0.22,74.5,Toyota Center,640794,15629
2004,3,NJN,New Jersey Nets,27.7,47.0,35.0,49,33,2.5,-0.63,1.88,100.8,98.0,2.8,89.4,0.29,0.18,0.52,0.47,14.4,25.9,0.22,73.9,Continental Airlines Arena,613051,14952
2004,8,DEN,Denver Nuggets,25.6,43.0,39.0,44,38,1.07,0.58,1.65,103.9,102.7,1.2,93.3,0.32,0.15,0.52,0.47,14.2,30.5,0.24,69.3,Pepsi Center,721476,17597
2004,17,MIL,Milwaukee Bucks,26.5,41.0,41.0,44,38,1.06,-0.64,0.42,106.5,105.4,1.1,91.6,0.33,0.17,0.53,0.48,12.7,27.6,0.26,71.8,Bradley Center,690180,16834
2004,21,SEA,Seattle Supersonics,26.0,37.0,45.0,39,43,-0.63,0.66,0.02,107.3,108.0,-0.7,89.9,0.27,0.29,0.54,0.5,13.9,27.2,0.21,68.5,KeyArena at Seattle Center,625474,15154
2004,10,GSW,Golden State Warriors,28.1,37.0,45.0,39,43,-0.73,0.66,-0.07,103.0,103.8,-0.8,89.8,0.31,0.2,0.52,0.48,14.1,28.4,0.23,72.1,The Arena in Oakland,665648,16235
2004,16,MIA,Miami Heat,26.4,42.0,40.0,43,39,0.52,-0.65,-0.13,102.2,101.7,0.5,88.0,0.3,0.21,0.51,0.46,13.5,27.4,0.23,73.4,AmericanAirlines Arena,624809,15239
2004,29,UTA,Utah Jazz,24.9,42.0,40.0,37,45,-1.22,0.69,-0.53,101.9,103.3,-1.4,86.6,0.36,0.13,0.51,0.46,16.1,34.1,0.27,72.4,Delta Center,785330,19154
2004,25,POR,Portland Trail Blazers,27.6,41.0,41.0,37,45,-1.27,0.69,-0.58,103.7,105.1,-1.4,86.2,0.27,0.17,0.52,0.48,14.4,31.2,0.2,70.0,Rose Garden Arena,684038,16684
