Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2001,7,2161,DAL,Dallas Mavericks,22.0,NBA,PF,10,399,22.3,0.57,0.28,0.58,3.7,19.5,11.3,7.0,1.5,1.5,6.4,25.3,,1.4,0.3,1.7,0.21,,5.3,1.0,6.3,0.8
2002,7,2161,DAL,Dallas Mavericks,23.0,NBA,C,8,357,24.8,0.58,0.17,0.45,5.1,26.1,15.7,8.2,2.2,1.2,10.1,26.7,,1.1,0.3,1.4,0.19,,5.8,0.6,6.4,0.8
2003,7,2161,DAL,Dallas Mavericks,24.0,NBA,PF,17,722,23.2,0.59,0.2,0.36,2.3,27.7,14.9,8.7,1.5,1.7,9.9,25.1,,1.9,0.6,2.6,0.17,,4.7,0.3,5.0,1.3
2004,7,2161,DAL,Dallas Mavericks,25.0,NBA,C,5,212,27.5,0.56,0.15,0.42,5.3,23.5,13.4,5.7,1.6,4.4,4.8,23.4,,1.0,0.2,1.3,0.29,,6.9,2.6,9.5,0.6
2005,7,2161,DAL,Dallas Mavericks,26.0,NBA,PF,13,551,20.1,0.5,0.12,0.43,5.0,22.4,13.4,13.0,1.7,2.9,9.8,27.0,,0.9,0.3,1.2,0.1,,3.3,0.4,3.7,0.8
2006,7,2161,DAL,Dallas Mavericks,27.0,NBA,PF,23,983,26.8,0.6,0.16,0.55,5.6,28.0,16.5,12.6,1.4,1.2,8.6,26.9,,3.8,1.6,5.4,0.26,,7.8,1.5,9.2,2.8
2007,7,2161,DAL,Dallas Mavericks,28.0,NBA,PF,6,239,20.9,0.51,0.2,0.53,11.5,20.5,15.9,10.4,2.4,3.2,10.8,23.7,,0.5,0.1,0.6,0.13,,3.3,-0.2,3.1,0.3
2008,7,2161,DAL,Dallas Mavericks,29.0,NBA,PF,5,211,26.3,0.59,0.2,0.57,5.0,27.9,15.8,20.9,0.3,2.4,8.1,27.2,,0.8,0.0,0.9,0.2,,7.7,1.9,9.6,0.6
2009,7,2161,DAL,Dallas Mavericks,30.0,NBA,PF,10,394,28.4,0.64,0.12,0.55,3.9,26.6,15.8,15.2,1.2,1.7,9.8,28.2,,1.7,0.2,2.0,0.24,,6.2,0.6,6.9,0.9
2010,7,2161,DAL,Dallas Mavericks,31.0,NBA,PF,6,233,28.3,0.64,0.07,0.4,3.4,20.1,11.8,16.8,1.2,1.3,7.4,27.0,,1.1,0.3,1.4,0.29,,8.1,2.6,10.7,0.8
2011,7,2161,DAL,Dallas Mavericks,32.0,NBA,PF,21,826,25.2,0.61,0.13,0.47,1.8,23.2,12.7,13.3,0.8,1.3,12.0,32.0,,2.7,0.9,3.6,0.21,,4.7,0.8,5.5,1.6
2012,7,2161,DAL,Dallas Mavericks,33.0,NBA,PF,4,154,22.5,0.56,0.08,0.55,2.2,18.4,9.8,10.4,1.0,0.0,9.5,31.5,,0.5,0.0,0.4,0.14,,3.7,-0.5,3.2,0.2
2014,7,2161,DAL,Dallas Mavericks,35.0,NBA,PF,7,263,13.9,0.48,0.1,0.25,2.1,24.6,12.4,6.9,1.2,1.8,9.7,26.5,,-0.2,0.2,0.1,0.01,,-0.5,-0.8,-1.3,0.0
2015,7,2161,DAL,Dallas Mavericks,36.0,NBA,PF,5,181,18.0,0.55,0.2,0.33,2.2,28.3,14.8,10.1,0.5,0.9,9.4,24.0,,0.4,0.1,0.4,0.11,,2.1,-0.4,1.7,0.2
2016,7,2161,DAL,Dallas Mavericks,37.0,NBA,PF,5,170,18.7,0.56,0.13,0.2,2.0,15.0,8.2,9.5,0.6,1.5,7.2,26.6,,0.3,-0.2,0.1,0.03,,3.2,-1.0,2.2,0.2
