SEASON,TEAM ID,TEAM,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,DRB%,ARENA,ATTENDANCE,ATTENDANCE/G
2010,22,ORL,27.9,59.0,23.0,61,21,7.49,-0.37,7.12,111.4,103.3,8.1,92.0,0.34,0.35,0.57,0.54,13.6,24.6,0.25,77.4,Amway Arena,715901,17461
2010,6,CLE,28.0,61.0,21.0,59,23,6.52,-0.36,6.17,111.2,104.1,7.1,91.4,0.34,0.25,0.57,0.53,13.4,25.1,0.25,77.2,Quicken Loans Arena,843042,20562
2010,29,UTA,25.6,53.0,29.0,55,27,5.34,-0.01,5.33,110.7,105.0,5.7,93.8,0.34,0.18,0.56,0.52,14.2,26.8,0.25,75.6,EnergySolutions Arena,794512,19378
2010,27,SAS,28.7,50.0,32.0,55,27,5.09,-0.02,5.07,110.0,104.5,5.5,91.7,0.3,0.23,0.55,0.52,12.9,26.8,0.22,76.3,AT&T Center,741676,18090
2010,14,LAL,28.4,57.0,25.0,54,28,4.72,0.06,4.78,108.8,103.7,5.1,92.8,0.29,0.23,0.54,0.5,12.4,27.6,0.22,74.4,STAPLES Center,778877,18997
2010,24,PHO,28.5,54.0,28.0,54,28,4.9,-0.23,4.67,115.3,110.2,5.1,95.3,0.31,0.26,0.58,0.55,13.6,27.6,0.24,70.8,US Airways Center,723582,17648
2010,1,ALT,26.5,53.0,29.0,54,28,4.66,-0.22,4.44,111.9,106.7,5.2,90.1,0.28,0.21,0.55,0.51,11.4,28.2,0.21,72.7,Philips Arena,678375,16546
2010,8,DEN,27.7,53.0,29.0,52,30,4.09,0.06,4.15,111.8,107.5,4.3,94.8,0.38,0.23,0.56,0.51,12.7,26.1,0.29,72.4,Pepsi Center,737301,17983
2010,21,OKC,23.2,50.0,32.0,51,31,3.49,0.06,3.55,108.3,104.6,3.7,93.1,0.33,0.18,0.55,0.49,13.9,28.6,0.27,73.6,Oklahoma City Arena,738149,18004
2010,2,BOS,29.4,50.0,32.0,52,30,3.66,-0.29,3.37,107.7,103.8,3.9,91.6,0.33,0.23,0.56,0.52,14.5,22.8,0.25,73.8,TD Garden,763584,18624
2010,25,POR,26.6,50.0,32.0,51,31,3.3,-0.13,3.18,110.8,107.1,3.7,87.7,0.32,0.22,0.55,0.5,12.1,28.2,0.25,74.8,Rose Garden Arena,840371,20497
2010,7,DAL,30.7,55.0,27.0,49,33,2.72,-0.06,2.66,109.2,106.3,2.9,92.5,0.28,0.22,0.55,0.51,12.3,24.3,0.23,73.7,American Airlines Center,819770,19994
2010,16,MIA,27.1,47.0,35.0,48,34,2.28,-0.29,1.99,106.6,104.1,2.5,89.6,0.3,0.22,0.54,0.5,12.8,26.1,0.22,74.9,AmericanAirlines Arena,726935,17730
2010,17,MIL,26.4,46.0,36.0,46,36,1.7,-0.32,1.37,104.9,103.1,1.8,91.7,0.24,0.26,0.52,0.48,12.3,26.2,0.18,76.4,Bradley Center,619453,15109
2010,4,CHA,27.4,44.0,38.0,45,37,1.46,-0.17,1.3,104.4,102.8,1.6,90.4,0.35,0.21,0.54,0.49,15.1,26.5,0.26,74.2,Time Warner Cable Arena,648520,15818
2010,11,HOU,26.0,42.0,40.0,40,42,-0.37,0.35,-0.02,107.6,108.0,-0.4,94.0,0.29,0.26,0.54,0.49,13.2,26.9,0.22,73.8,Toyota Center,677658,16528
2010,15,MEM,24.1,40.0,42.0,37,45,-1.51,0.13,-1.39,108.3,109.9,-1.6,93.6,0.32,0.15,0.54,0.49,13.7,31.3,0.24,73.3,FedEx Forum,552914,13486
2010,5,CHI,26.2,41.0,41.0,36,46,-1.63,0.0,-1.64,103.5,105.3,-1.8,93.1,0.29,0.16,0.52,0.48,13.3,26.6,0.22,74.8,United Center,849760,20726
2010,28,TOR,25.2,40.0,42.0,36,46,-1.78,-0.05,-1.83,111.3,113.2,-1.9,93.1,0.32,0.21,0.56,0.52,12.7,24.7,0.24,72.9,Air Canada Centre,733784,17897
